country,variant,freq,year,mortality15to60per1000aliveat15
446,estimates,5yearly,1950,252.84827080749
446,estimates,5yearly,1955,225.253285246765
446,estimates,5yearly,1960,201.33097438567
446,estimates,5yearly,1965,180.394184238077
446,estimates,5yearly,1970,153.044819825794
446,estimates,5yearly,1975,128.490504655508
446,estimates,5yearly,1980,111.54428911404
446,estimates,5yearly,1985,96.0985580123741
446,estimates,5yearly,1990,84.2620644698315
446,estimates,5yearly,1995,70.6166191830373
446,estimates,5yearly,2000,61.3588703833142
446,estimates,5yearly,2005,53.3158141741298
446,estimates,5yearly,2010,45.0244572544972
446,medium_variant,5yearly,2015,40.8171460549888
446,medium_variant,5yearly,2020,37.4007620509292
446,medium_variant,5yearly,2025,34.7778562883138
446,medium_variant,5yearly,2030,32.5159848947811
446,medium_variant,5yearly,2035,30.2194555618157
446,medium_variant,5yearly,2040,27.9101925141447
446,medium_variant,5yearly,2045,25.9933290277623
446,medium_variant,5yearly,2050,24.1774672849686
446,medium_variant,5yearly,2055,22.3750983197905
446,medium_variant,5yearly,2060,20.6186802301805
446,medium_variant,5yearly,2065,18.9630243374128
446,medium_variant,5yearly,2070,17.3772723063231
446,medium_variant,5yearly,2075,15.9359592778343
446,medium_variant,5yearly,2080,14.5715372748714
446,medium_variant,5yearly,2085,13.3388723553549
446,medium_variant,5yearly,2090,12.1812022774117
446,medium_variant,5yearly,2095,11.0949547346696
446,estimates,5yearly,Regi,"China, Macao SAR"
446,medium_variant,5yearly,Regi,"China, Macao SAR"
