country,variant,freq,year,mortality15to60per1000aliveat15
84,estimates,5yearly,1950,295.244637476312
84,estimates,5yearly,1955,262.277535186308
84,estimates,5yearly,1960,229.255624024851
84,estimates,5yearly,1965,195.928794387879
84,estimates,5yearly,1970,167.686040358263
84,estimates,5yearly,1975,153.346494156245
84,estimates,5yearly,1980,142.115503543198
84,estimates,5yearly,1985,133.984678104185
84,estimates,5yearly,1990,167.573364908026
84,estimates,5yearly,1995,191.063344242718
84,estimates,5yearly,2000,198.171471370645
84,estimates,5yearly,2005,183.315877202818
84,estimates,5yearly,2010,182.813278191217
84,medium_variant,5yearly,2015,170.628879249113
84,medium_variant,5yearly,2020,158.827549470178
84,medium_variant,5yearly,2025,149.33751012162
84,medium_variant,5yearly,2030,140.489505319187
84,medium_variant,5yearly,2035,132.315434164485
84,medium_variant,5yearly,2040,124.319795154566
84,medium_variant,5yearly,2045,116.705725041983
84,medium_variant,5yearly,2050,109.15640131885
84,medium_variant,5yearly,2055,101.798632038936
84,medium_variant,5yearly,2060,94.7073253292831
84,medium_variant,5yearly,2065,87.267912446537
84,medium_variant,5yearly,2070,80.2575719738502
84,medium_variant,5yearly,2075,73.5398742187023
84,medium_variant,5yearly,2080,67.238964227393
84,medium_variant,5yearly,2085,61.2133886173882
84,medium_variant,5yearly,2090,55.6271378448538
84,medium_variant,5yearly,2095,50.5587795901921
84,estimates,5yearly,Regi,Belize
84,medium_variant,5yearly,Regi,Belize
