country,variant,freq,year,mortality15to60per1000aliveat15
344,estimates,5yearly,1950,226.485200176295
344,estimates,5yearly,1955,203.937831873428
344,estimates,5yearly,1960,180.848722579955
344,estimates,5yearly,1965,162.361939872035
344,estimates,5yearly,1970,152.198297300449
344,estimates,5yearly,1975,134.332600400427
344,estimates,5yearly,1980,114.34304114911
344,estimates,5yearly,1985,97.1837937314024
344,estimates,5yearly,1990,87.2574437388372
344,estimates,5yearly,1995,73.395790676431
344,estimates,5yearly,2000,64.2315865466612
344,estimates,5yearly,2005,57.1583930241839
344,estimates,5yearly,2010,53.5068730067656
344,medium_variant,5yearly,2015,49.0343131927132
344,medium_variant,5yearly,2020,44.9136238975207
344,medium_variant,5yearly,2025,41.2812657614334
344,medium_variant,5yearly,2030,38.122922649783
344,medium_variant,5yearly,2035,35.3552854859631
344,medium_variant,5yearly,2040,32.9974642023905
344,medium_variant,5yearly,2045,30.9236135715135
344,medium_variant,5yearly,2050,28.8929922676437
344,medium_variant,5yearly,2055,26.8574614621478
344,medium_variant,5yearly,2060,24.8219863807081
344,medium_variant,5yearly,2065,22.8307242100545
344,medium_variant,5yearly,2070,20.9069745648
344,medium_variant,5yearly,2075,19.0643820088076
344,medium_variant,5yearly,2080,17.3875978175221
344,medium_variant,5yearly,2085,15.830447430503
344,medium_variant,5yearly,2090,14.3929170865226
344,medium_variant,5yearly,2095,13.0482332628714
