country,variant,freq,year,mortality15to60per1000aliveat15
434,estimates,5yearly,1950,455.40115438123
434,estimates,5yearly,1955,437.21198971789
434,estimates,5yearly,1960,366.440643689447
434,estimates,5yearly,1965,310.016937609908
434,estimates,5yearly,1970,264.316433745234
434,estimates,5yearly,1975,227.274354912769
434,estimates,5yearly,1980,198.463180373893
434,estimates,5yearly,1985,179.080876404014
434,estimates,5yearly,1990,159.719302159446
434,estimates,5yearly,1995,150.471410679781
434,estimates,5yearly,2000,143.600142162748
434,estimates,5yearly,2005,132.214333966756
434,estimates,5yearly,2010,139.260960194729
434,medium_variant,5yearly,2015,133.201686669956
434,medium_variant,5yearly,2020,127.316831771851
434,medium_variant,5yearly,2025,121.222432275541
434,medium_variant,5yearly,2030,114.745933570763
434,medium_variant,5yearly,2035,108.153788180206
434,medium_variant,5yearly,2040,101.583110586428
434,medium_variant,5yearly,2045,95.2889221347675
434,medium_variant,5yearly,2050,88.9218712396601
434,medium_variant,5yearly,2055,82.1642373778818
434,medium_variant,5yearly,2060,75.7882606638696
434,medium_variant,5yearly,2065,69.2065399761924
434,medium_variant,5yearly,2070,63.1830628686887
434,medium_variant,5yearly,2075,57.3899385116562
434,medium_variant,5yearly,2080,52.0553164667447
434,medium_variant,5yearly,2085,46.9832755524074
434,medium_variant,5yearly,2090,42.3550227426154
434,medium_variant,5yearly,2095,37.4518979476165
