country,year,variant,gender,freq,age1yearinterval,survivorage
440,1950,estimates,female,5yearly,"Region, subregion, country or area *",Lithuania
440,1950,estimates,male,5yearly,"Region, subregion, country or area *",Lithuania
440,1950,estimates,female,5yearly,0,100000
440,1950,estimates,male,5yearly,0,100000
440,1950,estimates,female,5yearly,1,90276.462
440,1950,estimates,male,5yearly,1,88221.881
440,1950,estimates,female,5yearly,5,87323.011
440,1950,estimates,male,5yearly,5,85154.506
440,1950,estimates,female,5yearly,10,86602.092
440,1950,estimates,male,5yearly,10,84424.047
440,1950,estimates,female,5yearly,15,86085.325
440,1950,estimates,male,5yearly,15,83801.612
440,1950,estimates,female,5yearly,20,85485.607
440,1950,estimates,male,5yearly,20,82874.161
440,1950,estimates,female,5yearly,25,84684.001
440,1950,estimates,male,5yearly,25,81574.999
440,1950,estimates,female,5yearly,30,83839.627
440,1950,estimates,male,5yearly,30,80048.611
440,1950,estimates,female,5yearly,35,82860.947
440,1950,estimates,male,5yearly,35,78438.872
440,1950,estimates,female,5yearly,40,81709.962
440,1950,estimates,male,5yearly,40,76539.948
440,1950,estimates,female,5yearly,45,80345.473
440,1950,estimates,male,5yearly,45,74085.172
440,1950,estimates,female,5yearly,50,78622.514
440,1950,estimates,male,5yearly,50,70785.324
440,1950,estimates,female,5yearly,55,76132.452
440,1950,estimates,male,5yearly,55,66117.738
440,1950,estimates,female,5yearly,60,72624.361
440,1950,estimates,male,5yearly,60,60754.008
440,1950,estimates,female,5yearly,65,67321.117
440,1950,estimates,male,5yearly,65,53047.087
440,1950,estimates,female,5yearly,70,60175.441
440,1950,estimates,male,5yearly,70,44794.41
440,1950,estimates,female,5yearly,75,49348.191
440,1950,estimates,male,5yearly,75,34695.688
440,1950,estimates,female,5yearly,80,35704.288
440,1950,estimates,male,5yearly,80,23493.932
440,1950,estimates,female,5yearly,85,21294.752
440,1950,estimates,male,5yearly,85,13030.683
440,1950,estimates,female,5yearly,90,9997.5826
440,1950,estimates,male,5yearly,90,5425.7644
440,1950,estimates,female,5yearly,95,3448.0295
440,1950,estimates,male,5yearly,95,1740.2899
440,1950,estimates,female,5yearly,100plus,649.26893
440,1950,estimates,male,5yearly,100plus,293.92778
440,1955,estimates,female,5yearly,"Region, subregion, country or area *",Lithuania
440,1955,estimates,male,5yearly,"Region, subregion, country or area *",Lithuania
440,1955,estimates,female,5yearly,0,100000
440,1955,estimates,male,5yearly,0,100000
440,1955,estimates,female,5yearly,1,94306.508
440,1955,estimates,male,5yearly,1,92953.407
440,1955,estimates,female,5yearly,5,92980.568
440,1955,estimates,male,5yearly,5,91558.136
440,1955,estimates,female,5yearly,10,92550.6
440,1955,estimates,male,5yearly,10,91057.768
440,1955,estimates,female,5yearly,15,92236.001
440,1955,estimates,male,5yearly,15,90628.534
440,1955,estimates,female,5yearly,20,91839.28
440,1955,estimates,male,5yearly,20,89865.704
440,1955,estimates,female,5yearly,25,91303.076
440,1955,estimates,male,5yearly,25,88807.223
440,1955,estimates,female,5yearly,30,90697.866
440,1955,estimates,male,5yearly,30,87477.747
440,1955,estimates,female,5yearly,35,89944.918
440,1955,estimates,male,5yearly,35,85983.962
440,1955,estimates,female,5yearly,40,88989.649
440,1955,estimates,male,5yearly,40,84258.395
440,1955,estimates,female,5yearly,45,87768.763
440,1955,estimates,male,5yearly,45,82027.228
440,1955,estimates,female,5yearly,50,86154.788
440,1955,estimates,male,5yearly,50,79149.346
440,1955,estimates,female,5yearly,55,83776.194
440,1955,estimates,male,5yearly,55,74780.975
440,1955,estimates,female,5yearly,60,80326.907
440,1955,estimates,male,5yearly,60,69231.493
440,1955,estimates,female,5yearly,65,75109.367
440,1955,estimates,male,5yearly,65,61157.558
440,1955,estimates,female,5yearly,70,67688.409
440,1955,estimates,male,5yearly,70,52019.955
440,1955,estimates,female,5yearly,75,56313.247
440,1955,estimates,male,5yearly,75,40713.727
440,1955,estimates,female,5yearly,80,41528.449
440,1955,estimates,male,5yearly,80,27766.117
440,1955,estimates,female,5yearly,85,25225.049
440,1955,estimates,male,5yearly,85,15479.876
440,1955,estimates,female,5yearly,90,12061.052
440,1955,estimates,male,5yearly,90,6426.0673
440,1955,estimates,female,5yearly,95,4296.1236
440,1955,estimates,male,5yearly,95,1982.0036
440,1955,estimates,female,5yearly,100plus,836.44141
440,1955,estimates,male,5yearly,100plus,326.04389
440,1960,estimates,female,5yearly,"Region, subregion, country or area *",Lithuania
440,1960,estimates,male,5yearly,"Region, subregion, country or area *",Lithuania
440,1960,estimates,female,5yearly,0,100000
440,1960,estimates,male,5yearly,0,100000
440,1960,estimates,female,5yearly,1,96299.316
440,1960,estimates,male,5yearly,1,95192.915
440,1960,estimates,female,5yearly,5,95745.985
440,1960,estimates,male,5yearly,5,94571.897
440,1960,estimates,female,5yearly,10,95463.924
440,1960,estimates,male,5yearly,10,94205.964
440,1960,estimates,female,5yearly,15,95237.273
440,1960,estimates,male,5yearly,15,93875.663
440,1960,estimates,female,5yearly,20,94939.45
440,1960,estimates,male,5yearly,20,93184.153
440,1960,estimates,female,5yearly,25,94505.904
440,1960,estimates,male,5yearly,25,92176.01
440,1960,estimates,female,5yearly,30,94031.775
440,1960,estimates,male,5yearly,30,90925.035
440,1960,estimates,female,5yearly,35,93409.836
440,1960,estimates,male,5yearly,35,89455.993
440,1960,estimates,female,5yearly,40,92596.701
440,1960,estimates,male,5yearly,40,87714.47
440,1960,estimates,female,5yearly,45,91468.963
440,1960,estimates,male,5yearly,45,85551.016
440,1960,estimates,female,5yearly,50,89961.019
440,1960,estimates,male,5yearly,50,82805.384
440,1960,estimates,female,5yearly,55,87678.587
440,1960,estimates,male,5yearly,55,78867.661
440,1960,estimates,female,5yearly,60,84481.945
440,1960,estimates,male,5yearly,60,73555.503
440,1960,estimates,female,5yearly,65,79254.406
440,1960,estimates,male,5yearly,65,65338.772
440,1960,estimates,female,5yearly,70,71762.54
440,1960,estimates,male,5yearly,70,55800.175
440,1960,estimates,female,5yearly,75,60140.793
440,1960,estimates,male,5yearly,75,43821.707
440,1960,estimates,female,5yearly,80,44701.681
440,1960,estimates,male,5yearly,80,29977.096
440,1960,estimates,female,5yearly,85,27324.118
440,1960,estimates,male,5yearly,85,16812.165
440,1960,estimates,female,5yearly,90,13106.805
440,1960,estimates,male,5yearly,90,7035.9168
440,1960,estimates,female,5yearly,95,4728.2468
440,1960,estimates,male,5yearly,95,2198.9557
440,1960,estimates,female,5yearly,100plus,1154.498
440,1960,estimates,male,5yearly,100plus,452.03416
440,1965,estimates,female,5yearly,"Region, subregion, country or area *",Lithuania
440,1965,estimates,male,5yearly,"Region, subregion, country or area *",Lithuania
440,1965,estimates,female,5yearly,0,100000
440,1965,estimates,male,5yearly,0,100000
440,1965,estimates,female,5yearly,1,97644.975
440,1965,estimates,male,5yearly,1,96967.781
440,1965,estimates,female,5yearly,5,97177.778
440,1965,estimates,male,5yearly,5,96387.454
440,1965,estimates,female,5yearly,10,96975.895
440,1965,estimates,male,5yearly,10,96063.343
440,1965,estimates,female,5yearly,15,96804.085
440,1965,estimates,male,5yearly,15,95789.753
440,1965,estimates,female,5yearly,20,96542.386
440,1965,estimates,male,5yearly,20,95150.346
440,1965,estimates,female,5yearly,25,96187.083
440,1965,estimates,male,5yearly,25,94193.657
440,1965,estimates,female,5yearly,30,95812.863
440,1965,estimates,male,5yearly,30,92799.939
440,1965,estimates,female,5yearly,35,95334.877
440,1965,estimates,male,5yearly,35,91251.285
440,1965,estimates,female,5yearly,40,94578.024
440,1965,estimates,male,5yearly,40,89453.409
440,1965,estimates,female,5yearly,45,93545.833
440,1965,estimates,male,5yearly,45,87141.204
440,1965,estimates,female,5yearly,50,91948.677
440,1965,estimates,male,5yearly,50,84101.278
440,1965,estimates,female,5yearly,55,89733.034
440,1965,estimates,male,5yearly,55,80006.539
440,1965,estimates,female,5yearly,60,86619.03
440,1965,estimates,male,5yearly,60,74562.8
440,1965,estimates,female,5yearly,65,81714.58
440,1965,estimates,male,5yearly,65,66489.94
440,1965,estimates,female,5yearly,70,74128.69
440,1965,estimates,male,5yearly,70,55681.303
440,1965,estimates,female,5yearly,75,62270.322
440,1965,estimates,male,5yearly,75,43094.105
440,1965,estimates,female,5yearly,80,46462.45
440,1965,estimates,male,5yearly,80,29620.731
440,1965,estimates,female,5yearly,85,29248.193
440,1965,estimates,male,5yearly,85,17109.304
440,1965,estimates,female,5yearly,90,14384.288
440,1965,estimates,male,5yearly,90,7563.8395
440,1965,estimates,female,5yearly,95,5254.4046
440,1965,estimates,male,5yearly,95,2443.0974
440,1965,estimates,female,5yearly,100plus,1271.6503
440,1965,estimates,male,5yearly,100plus,516.2467
440,1970,estimates,female,5yearly,"Region, subregion, country or area *",Lithuania
440,1970,estimates,male,5yearly,"Region, subregion, country or area *",Lithuania
440,1970,estimates,female,5yearly,0,100000
440,1970,estimates,male,5yearly,0,100000
440,1970,estimates,female,5yearly,1,98087.806
440,1970,estimates,male,5yearly,1,97510.138
440,1970,estimates,female,5yearly,5,97646.658
440,1970,estimates,male,5yearly,5,97019.447
440,1970,estimates,female,5yearly,10,97437.858
440,1970,estimates,male,5yearly,10,96712.687
440,1970,estimates,female,5yearly,15,97294.144
440,1970,estimates,male,5yearly,15,96447.866
440,1970,estimates,female,5yearly,20,97045.294
440,1970,estimates,male,5yearly,20,95754.151
440,1970,estimates,female,5yearly,25,96696.218
440,1970,estimates,male,5yearly,25,94334.149
440,1970,estimates,female,5yearly,30,96279.324
440,1970,estimates,male,5yearly,30,92708.716
440,1970,estimates,female,5yearly,35,95758.096
440,1970,estimates,male,5yearly,35,90924.554
440,1970,estimates,female,5yearly,40,95077.735
440,1970,estimates,male,5yearly,40,88746.542
440,1970,estimates,female,5yearly,45,94021.138
440,1970,estimates,male,5yearly,45,86142.541
440,1970,estimates,female,5yearly,50,92408.571
440,1970,estimates,male,5yearly,50,82624.404
440,1970,estimates,female,5yearly,55,90169.353
440,1970,estimates,male,5yearly,55,78155.544
440,1970,estimates,female,5yearly,60,87058.827
440,1970,estimates,male,5yearly,60,72184.021
440,1970,estimates,female,5yearly,65,82479.414
440,1970,estimates,male,5yearly,65,64330.727
440,1970,estimates,female,5yearly,70,75315.285
440,1970,estimates,male,5yearly,70,54083.218
440,1970,estimates,female,5yearly,75,63674.975
440,1970,estimates,male,5yearly,75,41418.766
440,1970,estimates,female,5yearly,80,47262.3
440,1970,estimates,male,5yearly,80,27963.501
440,1970,estimates,female,5yearly,85,29768.938
440,1970,estimates,male,5yearly,85,16159.138
440,1970,estimates,female,5yearly,90,14785.146
440,1970,estimates,male,5yearly,90,7347.5545
440,1970,estimates,female,5yearly,95,5375.1715
440,1970,estimates,male,5yearly,95,2481.1367
440,1970,estimates,female,5yearly,100plus,1305.6426
440,1970,estimates,male,5yearly,100plus,570.09252
440,1975,estimates,female,5yearly,"Region, subregion, country or area *",Lithuania
440,1975,estimates,male,5yearly,"Region, subregion, country or area *",Lithuania
440,1975,estimates,female,5yearly,0,100000
440,1975,estimates,male,5yearly,0,100000
440,1975,estimates,female,5yearly,1,98109.069
440,1975,estimates,male,5yearly,1,97417.807
440,1975,estimates,female,5yearly,5,97708.943
440,1975,estimates,male,5yearly,5,96890.702
440,1975,estimates,female,5yearly,10,97490.926
