region,year,variant,gender,freq,age1yearinterval,survivorage
1500,1950,estimates,female,5yearly,"Region, subregion, country or area *",Low-income countries
1500,1950,estimates,male,5yearly,"Region, subregion, country or area *",Low-income countries
1500,1950,estimates,female,5yearly,0,100000
1500,1950,estimates,male,5yearly,0,100000
1500,1950,estimates,female,5yearly,1,81877.912521818
1500,1950,estimates,male,5yearly,1,79193.5655624332
1500,1950,estimates,female,5yearly,5,69027.0590001296
1500,1950,estimates,male,5yearly,5,66384.1450463385
1500,1950,estimates,female,5yearly,10,64741.8273934629
1500,1950,estimates,male,5yearly,10,62288.0590037721
1500,1950,estimates,female,5yearly,15,62660.9350156066
1500,1950,estimates,male,5yearly,15,60535.2482330047
1500,1950,estimates,female,5yearly,20,60121.0459693397
1500,1950,estimates,male,5yearly,20,58123.0342198416
1500,1950,estimates,female,5yearly,25,57111.8497324152
1500,1950,estimates,male,5yearly,25,54749.4940142386
1500,1950,estimates,female,5yearly,30,53903.8470661679
1500,1950,estimates,male,5yearly,30,51114.5245742893
1500,1950,estimates,female,5yearly,35,50583.7089678337
1500,1950,estimates,male,5yearly,35,47636.1119560864
1500,1950,estimates,female,5yearly,40,47206.4816068621
1500,1950,estimates,male,5yearly,40,44064.5657854306
1500,1950,estimates,female,5yearly,45,43865.8450171895
1500,1950,estimates,male,5yearly,45,40265.244553296
1500,1950,estimates,female,5yearly,50,40463.3760151887
1500,1950,estimates,male,5yearly,50,36109.344079896
1500,1950,estimates,female,5yearly,55,36619.2835563461
1500,1950,estimates,male,5yearly,55,31461.6838345386
1500,1950,estimates,female,5yearly,60,31828.707745848
1500,1950,estimates,male,5yearly,60,26225.0528813409
1500,1950,estimates,female,5yearly,65,25839.7345230522
1500,1950,estimates,male,5yearly,65,20324.0981242249
1500,1950,estimates,female,5yearly,70,18875.4740442196
1500,1950,estimates,male,5yearly,70,14012.4899140554
1500,1950,estimates,female,5yearly,75,11640.6831487029
1500,1950,estimates,male,5yearly,75,8015.41868751563
1500,1950,estimates,female,5yearly,80,5582.46017314886
1500,1950,estimates,male,5yearly,80,3496.05634136618
1500,1950,estimates,female,5yearly,85,1885.39386520914
1500,1950,estimates,male,5yearly,85,1056.50090883749
1500,1950,estimates,female,5yearly,90,403.204719044466
1500,1950,estimates,male,5yearly,90,200.726509285308
1500,1950,estimates,female,5yearly,95,49.9365292919659
1500,1950,estimates,male,5yearly,95,22.2360791622217
