region,year,variant,gender,freq,age1yearinterval,survivorage
912,1960,estimates,male,5yearly,80,12278.6857152316
912,1960,estimates,female,5yearly,85,8360.67001361348
912,1960,estimates,male,5yearly,85,4856.35024106098
912,1960,estimates,female,5yearly,90,2553.41970882391
912,1960,estimates,male,5yearly,90,1229.87490082375
912,1960,estimates,female,5yearly,95,455.489598391254
912,1960,estimates,male,5yearly,95,178.323984485271
912,1960,estimates,female,5yearly,100plus,43.2655219158477
912,1960,estimates,male,5yearly,100plus,13.8541761006559
912,1965,estimates,female,5yearly,0,100000
912,1965,estimates,male,5yearly,0,100000
912,1965,estimates,female,5yearly,1,85982.6807791087
912,1965,estimates,male,5yearly,1,85290.2289202343
912,1965,estimates,female,5yearly,5,78528.5675439552
912,1965,estimates,male,5yearly,5,78408.1661463669
912,1965,estimates,female,5yearly,10,76946.3520640375
912,1965,estimates,male,5yearly,10,76838.769812742
912,1965,estimates,female,5yearly,15,76345.4007131072
912,1965,estimates,male,5yearly,15,76205.7023987214
912,1965,estimates,female,5yearly,20,75318.9230187407
912,1965,estimates,male,5yearly,20,75080.6599531783
912,1965,estimates,female,5yearly,25,74048.9117323484
912,1965,estimates,male,5yearly,25,73561.1329239699
912,1965,estimates,female,5yearly,30,72585.7125149874
912,1965,estimates,male,5yearly,30,71861.4205385508
912,1965,estimates,female,5yearly,35,70989.5018826229
912,1965,estimates,male,5yearly,35,70057.8236835601
912,1965,estimates,female,5yearly,40,69230.8755899683
912,1965,estimates,male,5yearly,40,67984.1935663512
912,1965,estimates,female,5yearly,45,67291.7256793744
912,1965,estimates,male,5yearly,45,65482.1052119624
912,1965,estimates,female,5yearly,50,64938.8548251818
912,1965,estimates,male,5yearly,50,62162.769674959
912,1965,estimates,female,5yearly,55,61804.215943111
912,1965,estimates,male,5yearly,55,57692.2850601352
912,1965,estimates,female,5yearly,60,57564.7787975605
912,1965,estimates,male,5yearly,60,51967.5591798268
912,1965,estimates,female,5yearly,65,51610.3070665194
912,1965,estimates,male,5yearly,65,44639.2300409634
912,1965,estimates,female,5yearly,70,43216.1364577302
912,1965,estimates,male,5yearly,70,35388.309945952
912,1965,estimates,female,5yearly,75,32365.2145537433
912,1965,estimates,male,5yearly,75,24470.483262537
912,1965,estimates,female,5yearly,80,20294.6065244687
912,1965,estimates,male,5yearly,80,13633.4201528279
912,1965,estimates,female,5yearly,85,9720.57810807797
912,1965,estimates,male,5yearly,85,5529.33058032557
912,1965,estimates,female,5yearly,90,3165.23317365226
912,1965,estimates,male,5yearly,90,1448.65327416562
912,1965,estimates,female,5yearly,95,618.82629146959
912,1965,estimates,male,5yearly,95,218.925072101422
912,1965,estimates,female,5yearly,100plus,65.8984858883992
912,1965,estimates,male,5yearly,100plus,17.7872646349601
912,1970,estimates,female,5yearly,0,100000
912,1970,estimates,male,5yearly,0,100000
912,1970,estimates,female,5yearly,1,87096.7302136562
912,1970,estimates,male,5yearly,1,86297.2829463505
912,1970,estimates,female,5yearly,5,80610.3342014007
912,1970,estimates,male,5yearly,5,80248.7025252281
912,1970,estimates,female,5yearly,10,79202.9421240657
912,1970,estimates,male,5yearly,10,78850.0678229835
912,1970,estimates,female,5yearly,15,78648.3421124871
912,1970,estimates,male,5yearly,15,78270.4444280295
912,1970,estimates,female,5yearly,20,77687.9833464181
912,1970,estimates,male,5yearly,20,77210.4536539819
912,1970,estimates,female,5yearly,25,76540.0604924174
912,1970,estimates,male,5yearly,25,75825.6507697004
912,1970,estimates,female,5yearly,30,75229.3432398888
912,1970,estimates,male,5yearly,30,74280.1853486076
912,1970,estimates,female,5yearly,35,73720.1730464566
912,1970,estimates,male,5yearly,35,72573.7311574139
912,1970,estimates,female,5yearly,40,72052.8113223143
912,1970,estimates,male,5yearly,40,70609.1124188532
912,1970,estimates,female,5yearly,45,70182.1069866545
912,1970,estimates,male,5yearly,45,68204.6664303847
912,1970,estimates,female,5yearly,50,67856.1270344136
912,1970,estimates,male,5yearly,50,64949.8762492098
912,1970,estimates,female,5yearly,55,64741.6746739432
912,1970,estimates,male,5yearly,55,60490.9434746758
912,1970,estimates,female,5yearly,60,60535.0130230994
912,1970,estimates,male,5yearly,60,54732.7345989914
912,1970,estimates,female,5yearly,65,54595.7283188365
912,1970,estimates,male,5yearly,65,47305.840963096
912,1970,estimates,female,5yearly,70,46133.4274245212
912,1970,estimates,male,5yearly,70,37888.2891465861
912,1970,estimates,female,5yearly,75,34923.5669685807
912,1970,estimates,male,5yearly,75,26627.6881967968
912,1970,estimates,female,5yearly,80,22217.0116047609
912,1970,estimates,male,5yearly,80,15200.3243793487
912,1970,estimates,female,5yearly,85,10834.647584425
912,1970,estimates,male,5yearly,85,6381.35486172257
912,1970,estimates,female,5yearly,90,3600.06352544875
912,1970,estimates,male,5yearly,90,1749.58998329545
912,1970,estimates,female,5yearly,95,717.726166206732
912,1970,estimates,male,5yearly,95,279.104689996598
912,1970,estimates,female,5yearly,100plus,77.6003617823337
912,1970,estimates,male,5yearly,100plus,24.0119296371635
912,1975,estimates,female,5yearly,0,100000
912,1975,estimates,male,5yearly,0,100000
912,1975,estimates,female,5yearly,1,89222.3893328439
912,1975,estimates,male,5yearly,1,88476.6695433959
912,1975,estimates,female,5yearly,5,84030.76319806
912,1975,estimates,male,5yearly,5,83563.8220395892
912,1975,estimates,female,5yearly,10,82831.6401066193
912,1975,estimates,male,5yearly,10,82347.7367502513
912,1975,estimates,female,5yearly,15,82291.7156650916
912,1975,estimates,male,5yearly,15,81783.0327030625
912,1975,estimates,female,5yearly,20,81430.5029898539
