region,year,variant,gender,freq,age1yearinterval,survivorage
928,1950,estimates,female,5yearly,0,100000
928,1950,estimates,male,5yearly,0,100000
928,1950,estimates,female,5yearly,1,87599.2338703558
928,1950,estimates,male,5yearly,1,85100.3742044956
928,1950,estimates,female,5yearly,5,79421.2829611285
928,1950,estimates,male,5yearly,5,76581.3835756757
928,1950,estimates,female,5yearly,10,76699.1912984926
928,1950,estimates,male,5yearly,10,73646.4521780032
928,1950,estimates,female,5yearly,15,75025.3026817929
928,1950,estimates,male,5yearly,15,71852.4930717446
928,1950,estimates,female,5yearly,20,72477.6187938647
928,1950,estimates,male,5yearly,20,69225.2080954687
928,1950,estimates,female,5yearly,25,69062.196573633
928,1950,estimates,male,5yearly,25,65783.8091396333
928,1950,estimates,female,5yearly,30,65276.3247230644
928,1950,estimates,male,5yearly,30,61965.5634280226
928,1950,estimates,female,5yearly,35,61430.5141720694
928,1950,estimates,male,5yearly,35,57851.0325665608
928,1950,estimates,female,5yearly,40,57340.2403668823
928,1950,estimates,male,5yearly,40,53183.4369986683
928,1950,estimates,female,5yearly,45,52856.3096568811
928,1950,estimates,male,5yearly,45,47880.5503595082
928,1950,estimates,female,5yearly,50,47929.0625327917
928,1950,estimates,male,5yearly,50,41834.8617721013
928,1950,estimates,female,5yearly,55,42325.2078500238
928,1950,estimates,male,5yearly,55,35252.2516222881
928,1950,estimates,female,5yearly,60,35876.9335284582
928,1950,estimates,male,5yearly,60,28359.7859700612
928,1950,estimates,female,5yearly,65,28709.7105820775
928,1950,estimates,male,5yearly,65,21014.7146479621
928,1950,estimates,female,5yearly,70,21110.5052297052
928,1950,estimates,male,5yearly,70,13704.5021073266
928,1950,estimates,female,5yearly,75,13701.2729057992
928,1950,estimates,male,5yearly,75,7551.45976721959
928,1950,estimates,female,5yearly,80,7483.68647517391
928,1950,estimates,male,5yearly,80,3319.01471564183
928,1950,estimates,female,5yearly,85,3252.13018087919
928,1950,estimates,male,5yearly,85,1091.47324925812
928,1950,estimates,female,5yearly,90,1054.5121747884
928,1950,estimates,male,5yearly,90,251.354832004557
928,1950,estimates,female,5yearly,95,238.827094056106
928,1950,estimates,male,5yearly,95,38.2250061342722
928,1950,estimates,female,5yearly,100plus,35.6498727944909
928,1950,estimates,male,5yearly,100plus,3.69004703772701
928,1955,estimates,female,5yearly,0,100000
928,1955,estimates,male,5yearly,0,100000
928,1955,estimates,female,5yearly,1,88680.9391238435
928,1955,estimates,male,5yearly,1,86584.5608550127
928,1955,estimates,female,5yearly,5,81539.5625622978
928,1955,estimates,male,5yearly,5,79202.4381281435
928,1955,estimates,female,5yearly,10,79088.8943280733
928,1955,estimates,male,5yearly,10,76561.3710303703
928,1955,estimates,female,5yearly,15,77587.0270898579
928,1955,estimates,male,5yearly,15,74931.6663041763
928,1955,estimates,female,5yearly,20,75240.899198877
928,1955,estimates,male,5yearly,20,72530.8106382267
928,1955,estimates,female,5yearly,25,72056.0059648434
928,1955,estimates,male,5yearly,25,69316.4820360791
928,1955,estimates,female,5yearly,30,68490.4384057693
928,1955,estimates,male,5yearly,30,65713.3202600872
928,1955,estimates,female,5yearly,35,64756.6145521002
928,1955,estimates,male,5yearly,35,61875.3209840433
928,1955,estimates,female,5yearly,40,60732.4494061785
928,1955,estimates,male,5yearly,40,57525.9874990368
928,1955,estimates,female,5yearly,45,56395.3910387588
928,1955,estimates,male,5yearly,45,52494.3583410154
928,1955,estimates,female,5yearly,50,51614.832135453
928,1955,estimates,male,5yearly,50,46682.9507995435
928,1955,estimates,female,5yearly,55,46008.5410635096
928,1955,estimates,male,5yearly,55,39933.8954680724
928,1955,estimates,female,5yearly,60,39352.6040400485
928,1955,estimates,male,5yearly,60,32612.6588915653
928,1955,estimates,female,5yearly,65,31848.5406673095
928,1955,estimates,male,5yearly,65,25024.539449849
928,1955,estimates,female,5yearly,70,23797.2975280886
928,1955,estimates,male,5yearly,70,17274.1495936974
928,1955,estimates,female,5yearly,75,15704.2716251372
928,1955,estimates,male,5yearly,75,10285.9595465902
928,1955,estimates,female,5yearly,80,8697.6311604915
928,1955,estimates,male,5yearly,80,5020.2511203962
928,1955,estimates,female,5yearly,85,3805.58482981742
928,1955,estimates,male,5yearly,85,1892.20733739818
928,1955,estimates,female,5yearly,90,1226.87264915735
928,1955,estimates,male,5yearly,90,516.254983741786
928,1955,estimates,female,5yearly,95,271.227981888189
928,1955,estimates,male,5yearly,95,95.8192420206208
928,1955,estimates,female,5yearly,100plus,38.6381962174077
928,1955,estimates,male,5yearly,100plus,11.5231597033593
928,1960,estimates,female,5yearly,0,100000
928,1960,estimates,male,5yearly,0,100000
928,1960,estimates,female,5yearly,1,89671.0142309626
