continent,year,variant,agebroad,sexratio_maleper100female
908,1950,estimates,"Region, subregion, country or area *",EUROPE
908,1950,estimates,total,87.5742858614625
908,1950,estimates,0_1,104.221421871064
908,1950,estimates,0_4,103.894695900545
908,1950,estimates,0_14,102.764363677772
908,1950,estimates,0_17,102.313004995765
908,1950,estimates,0_19,101.910371044329
908,1950,estimates,0_24,100.375976752384
908,1950,estimates,3_4,103.456076553455
908,1950,estimates,3_5,103.326276497352
908,1950,estimates,3_6,103.202919042477
908,1950,estimates,4_5,103.182640955568
908,1950,estimates,4_6,103.061513445341
908,1950,estimates,5_10,102.543840226869
908,1950,estimates,5_11,102.455479199019
908,1950,estimates,5_14,102.140601975417
908,1950,estimates,6_9,102.534062521649
908,1950,estimates,6_10,102.44978973538
908,1950,estimates,6_11,102.366105113752
908,1950,estimates,6_12,102.276997751185
908,1950,estimates,7_10,102.366609126473
908,1950,estimates,7_12,102.200027916239
908,1950,estimates,11_16,101.236520246575
908,1950,estimates,11_17,100.982933946752
908,1950,estimates,11_18,100.703541731573
908,1950,estimates,12_14,101.521543470361
908,1950,estimates,12_16,101.079089542059
908,1950,estimates,12_17,100.80620075062
908,1950,estimates,12_18,100.509250608458
908,1950,estimates,13_17,100.583639082546
908,1950,estimates,13_18,100.268057700514
908,1950,estimates,13_19,99.9337253208177
908,1950,estimates,15plus,82.6842237094668
908,1950,estimates,15_17,100.014905081826
908,1950,estimates,15_24,96.8824864362199
908,1950,estimates,15_49,87.1401337815048
908,1950,estimates,15_59,85.392847080856
908,1950,estimates,15_64,84.5805692246651
908,1950,estimates,16plus,82.2833630864082
908,1950,estimates,17plus,81.8954590236442
908,1950,estimates,18plus,81.5144849932821
908,1950,estimates,18_23,96.5149090041839
908,1950,estimates,20plus,80.7188054084723
908,1950,estimates,20_64,82.5766225195594
908,1950,estimates,20_69,81.9787958481234
908,1950,estimates,21plus,80.2965007544926
908,1950,estimates,25plus,78.6774942582133
908,1950,estimates,25_49,82.563026855677
908,1950,estimates,25_64,80.4948182783331
908,1950,estimates,25_69,79.9336206304153
908,1950,estimates,50plus,72.8331785755391
