continent,year,variant,agebroad,sexratio_maleper100female
935,1960,estimates,7_12,105.017207631762
935,1960,estimates,11_16,105.062368151739
935,1960,estimates,11_17,105.291980689772
935,1960,estimates,11_18,105.486210709498
935,1960,estimates,12_14,104.673102693713
935,1960,estimates,12_16,105.191549713215
935,1960,estimates,12_17,105.445941664766
935,1960,estimates,12_18,105.652806136267
935,1960,estimates,13_17,105.700157969026
935,1960,estimates,13_18,105.906725298102
935,1960,estimates,13_19,106.049812418822
935,1960,estimates,15plus,103.988265419698
935,1960,estimates,15_17,106.307822339825
935,1960,estimates,15_24,106.72687901155
935,1960,estimates,15_49,106.75512825742
935,1960,estimates,15_59,106.044539298219
935,1960,estimates,15_64,105.61362599593
935,1960,estimates,16plus,103.93276361548
935,1960,estimates,17plus,103.855767187029
935,1960,estimates,18plus,103.760629644335
935,1960,estimates,18_23,106.961907361988
935,1960,estimates,20plus,103.545944746264
935,1960,estimates,20_64,105.43471977680301
935,1960,estimates,20_69,104.901990489891
935,1960,estimates,21plus,103.429801177189
935,1960,estimates,25plus,102.905548987456
935,1960,estimates,25_49,106.771419406099
935,1960,estimates,25_64,105.127536797776
935,1960,estimates,25_69,104.500225230162
935,1960,estimates,50plus,94.4773499922546
935,1960,estimates,60plus,87.1011285515016
935,1960,estimates,65plus,81.6282167965451
935,1960,estimates,70plus,74.6356155883849
935,1960,estimates,75plus,66.7978870200187
935,1960,estimates,80plus,61.077086466017
935,1960,estimates,85plus,52.826376898705
935,1960,estimates,90plus,41.5932338484701
935,1965,estimates,"Region, subregion, country or area *",ASIA
935,1965,estimates,total,104.314208343461
935,1965,estimates,0_1,105.325274093819
935,1965,estimates,0_4,105.310191865451
935,1965,estimates,0_14,105.414328248194
935,1965,estimates,0_17,105.287355436584
935,1965,estimates,0_19,105.238703931953
935,1965,estimates,0_24,105.373824067139
935,1965,estimates,3_4,105.303737395632
935,1965,estimates,3_5,105.319797885498
935,1965,estimates,3_6,105.339427079627
935,1965,estimates,4_5,105.334368008043
935,1965,estimates,4_6,105.35638629138
935,1965,estimates,5_10,105.474491776581
935,1965,estimates,5_11,105.503988825339
935,1965,estimates,5_14,105.48037199368
935,1965,estimates,6_9,105.476147922813
935,1965,estimates,6_10,105.500151131302
935,1965,estimates,6_11,105.5307140927
935,1965,estimates,6_12,105.549127032584
935,1965,estimates,7_10,105.525593803334
935,1965,estimates,7_12,105.574806937784
935,1965,estimates,11_16,105.208392495197
935,1965,estimates,11_17,105.07577067184
935,1965,estimates,11_18,104.998110825876
935,1965,estimates,12_14,105.419883662072
935,1965,estimates,12_16,105.100598501566
935,1965,estimates,12_17,104.957855690263
935,1965,estimates,12_18,104.881228956647
935,1965,estimates,13_17,104.792456078801
935,1965,estimates,13_18,104.724382729214
935,1965,estimates,13_19,104.74057049118
935,1965,estimates,15plus,103.560128163843
935,1965,estimates,15_17,104.408115271165
935,1965,estimates,15_24,105.27720998929
935,1965,estimates,15_49,106.352040350508
935,1965,estimates,15_59,105.633040632565
935,1965,estimates,15_64,105.139452702216
935,1965,estimates,16plus,103.516656779612
935,1965,estimates,17plus,103.488209113748
935,1965,estimates,18plus,103.466966080101
935,1965,estimates,18_23,105.572922824529
935,1965,estimates,20plus,103.389633188653
935,1965,estimates,20_64,105.274647738536
935,1965,estimates,20_69,104.728824370816
935,1965,estimates,21plus,103.322185597334
935,1965,estimates,25plus,102.867720240562
935,1965,estimates,25_49,106.987660536129
935,1965,estimates,25_64,105.078067160446
935,1965,estimates,25_69,104.435709107722
935,1965,estimates,50plus,94.0364198845639
935,1965,estimates,60plus,86.7003954581114
935,1965,estimates,65plus,81.8260752982679
935,1965,estimates,70plus,74.9886863861441
935,1965,estimates,75plus,66.9672635384482
935,1965,estimates,80plus,58.5306127468437
935,1965,estimates,85plus,51.4751716682263
935,1965,estimates,90plus,41.6620630390081
935,1970,estimates,"Region, subregion, country or area *",ASIA
935,1970,estimates,total,104.224878714713
935,1970,estimates,0_1,104.225025868746
935,1970,estimates,0_4,104.586145368501
