continent,year,variant,agebroad,sexratio_maleper100female
909,1950,estimates,"Region, subregion, country or area *",OCEANIA
909,1950,estimates,total,103.557813340175
909,1950,estimates,0_1,105.176494802923
909,1950,estimates,0_4,105.088223665253
909,1950,estimates,0_14,104.931240495329
909,1950,estimates,0_17,105.069422921375
909,1950,estimates,0_19,105.234319356405
909,1950,estimates,0_24,105.719382797064
909,1950,estimates,3_4,104.984697214423
909,1950,estimates,3_5,104.948101490419
909,1950,estimates,3_6,104.913228722851
909,1950,estimates,4_5,104.909120507608
909,1950,estimates,4_6,104.873920962607
909,1950,estimates,5_10,104.747975793793
909,1950,estimates,5_11,104.740642207434
909,1950,estimates,5_14,104.824283046522
909,1950,estimates,6_9,104.73067382061
909,1950,estimates,6_10,104.720489716445
909,1950,estimates,6_11,104.715942312886
909,1950,estimates,6_12,104.726208693494
909,1950,estimates,7_10,104.698938639466
909,1950,estimates,7_12,104.712458958409
909,1950,estimates,11_16,105.233179128712
909,1950,estimates,11_17,105.384245874395
909,1950,estimates,11_18,105.560988415975
909,1950,estimates,12_14,105.054107146524
909,1950,estimates,12_16,105.350075608697
909,1950,estimates,12_17,105.509786994133
909,1950,estimates,12_18,105.696650983403
909,1950,estimates,13_17,105.662341994082
909,1950,estimates,13_18,105.857622366118
909,1950,estimates,13_19,106.076261403721
909,1950,estimates,15plus,102.979437885149
909,1950,estimates,15_17,105.993275040669
909,1950,estimates,15_24,107.250899726652
909,1950,estimates,15_49,106.543854753275
909,1950,estimates,15_59,105.293140717727
909,1950,estimates,15_64,104.829188569949
909,1950,estimates,16plus,102.920806239928
909,1950,estimates,17plus,102.854282008077
909,1950,estimates,18plus,102.776842760464
909,1950,estimates,18_23,107.833747387791
909,1950,estimates,20plus,102.571667386642
909,1950,estimates,20_64,104.611369944866
909,1950,estimates,20_69,104.07551734633
909,1950,estimates,21plus,102.440622964107
909,1950,estimates,25plus,101.797639880432
909,1950,estimates,25_49,106.225139475836
909,1950,estimates,25_64,104.046037598555
909,1950,estimates,25_69,103.461553977344
909,1950,estimates,50plus,94.7615447424925
909,1950,estimates,60plus,91.5921292860123
909,1950,estimates,65plus,88.4811927940748
909,1950,estimates,70plus,84.5484929851871
909,1950,estimates,75plus,80.9258603883001
909,1950,estimates,80plus,75.1859815955017
909,1950,estimates,85plus,71.2035423925668
909,1950,estimates,90plus,69.9605281067102
909,1955,estimates,"Region, subregion, country or area *",OCEANIA
909,1955,estimates,total,103.521735984578
909,1955,estimates,0_1,104.652849680314
909,1955,estimates,0_4,104.641203444409
909,1955,estimates,0_14,104.728195918987
909,1955,estimates,0_17,104.816461420967
909,1955,estimates,0_19,104.957404389769
909,1955,estimates,0_24,105.622707922727
909,1955,estimates,3_4,104.629679343773
909,1955,estimates,3_5,104.628211159495
909,1955,estimates,3_6,104.628918330724
909,1955,estimates,4_5,104.625539925553
909,1955,estimates,4_6,104.627358927634
909,1955,estimates,5_10,104.668147727388
909,1955,estimates,5_11,104.692321905234
909,1955,estimates,5_14,104.782207957926
909,1955,estimates,6_9,104.658832225928
909,1955,estimates,6_10,104.677710880577
909,1955,estimates,6_11,104.705051582068
