global,variant,freq,year,totalfertility
900,Medium_variant,5yearly,2085,2.02929961513575
900,No_change,5yearly,2085,3.99280147700526
900,Zero_migration,5yearly,2085,2.03019525676488
900,Constant_fertility,5yearly,2090,4.28466271727351
900,Constant_mortality,5yearly,2090,1.98484112940089
900,High_variant,5yearly,2090,2.48572668884719
900,Instant_replacement,5yearly,2090,2.08610913625513
900,Low_variant,5yearly,2090,1.53932590822425
900,Medium_variant,5yearly,2090,2.00644673020894
900,No_change,5yearly,2090,4.10439516705117
900,Zero_migration,5yearly,2090,2.00703762828323
900,Constant_fertility,5yearly,2095,4.40808535692661
900,Constant_mortality,5yearly,2095,1.96506738370789
900,High_variant,5yearly,2095,2.46653471170929
900,Instant_replacement,5yearly,2095,2.08171757181375
900,Low_variant,5yearly,2095,1.51445857344621
900,Medium_variant,5yearly,2095,1.98516125092485
900,No_change,5yearly,2095,4.21389978841589
900,Zero_migration,5yearly,2095,1.98547855036875
