variant,global,year,potentialsupport2569_70
estimates,900,1950,14.53
estimates,900,1951,14.305
estimates,900,1952,14.175
estimates,900,1953,14.143
estimates,900,1954,14.201
estimates,900,1955,14.339
estimates,900,1956,14.102
estimates,900,1957,13.963
estimates,900,1958,13.915
estimates,900,1959,13.96
estimates,900,1960,14.093
estimates,900,1961,13.864
estimates,900,1962,13.725
estimates,900,1963,13.659
estimates,900,1964,13.648
estimates,900,1965,13.681
estimates,900,1966,13.378
estimates,900,1967,13.132
estimates,900,1968,12.936
estimates,900,1969,12.788
estimates,900,1970,12.681
estimates,900,1971,12.396
estimates,900,1972,12.179
estimates,900,1973,12.023
estimates,900,1974,11.915
estimates,900,1975,11.849
estimates,900,1976,11.629
estimates,900,1977,11.47
estimates,900,1978,11.362
estimates,900,1979,11.291
estimates,900,1980,11.245
estimates,900,1981,11.087
estimates,900,1982,10.966
estimates,900,1983,10.891
estimates,900,1984,10.878
estimates,900,1985,10.93
estimates,900,1986,10.902
estimates,900,1987,10.939
estimates,900,1988,11.013
estimates,900,1989,11.093
estimates,900,1990,11.16
estimates,900,1991,11.088
estimates,900,1992,11.027
estimates,900,1993,10.977
estimates,900,1994,10.936
estimates,900,1995,10.904
estimates,900,1996,10.763
estimates,900,1997,10.644
estimates,900,1998,10.545
estimates,900,1999,10.467
estimates,900,2000,10.408
estimates,900,2001,10.265
estimates,900,2002,10.15
estimates,900,2003,10.055
estimates,900,2004,9.976
estimates,900,2005,9.909
estimates,900,2006,9.774
estimates,900,2007,9.655
estimates,900,2008,9.559
estimates,900,2009,9.494
estimates,900,2010,9.461
estimates,900,2011,9.398
estimates,900,2012,9.364
estimates,900,2013,9.339
estimates,900,2014,9.301
estimates,900,2015,9.238
medium_variant,900,2015,9.238
medium_variant,900,2016,9.107
medium_variant,900,2017,8.968
medium_variant,900,2018,8.816
medium_variant,900,2019,8.647
medium_variant,900,2020,8.458
medium_variant,900,2021,8.218
medium_variant,900,2022,7.974
medium_variant,900,2023,7.737
medium_variant,900,2024,7.517
medium_variant,900,2025,7.318
medium_variant,900,2026,7.113
medium_variant,900,2027,6.929
medium_variant,900,2028,6.758
medium_variant,900,2029,6.59
medium_variant,900,2030,6.424
medium_variant,900,2031,6.25
medium_variant,900,2032,6.084
medium_variant,900,2033,5.925
medium_variant,900,2034,5.774
medium_variant,900,2035,5.63
medium_variant,900,2036,5.487
medium_variant,900,2037,5.353
medium_variant,900,2038,5.229
medium_variant,900,2039,5.114
medium_variant,900,2040,5.008
medium_variant,900,2041,4.907
medium_variant,900,2042,4.815
medium_variant,900,2043,4.731
medium_variant,900,2044,4.654
medium_variant,900,2045,4.586
medium_variant,900,2046,4.522
medium_variant,900,2047,4.464
medium_variant,900,2048,4.41
medium_variant,900,2049,4.355
medium_variant,900,2050,4.296
medium_variant,900,2051,4.232
medium_variant,900,2052,4.167
medium_variant,900,2053,4.101
medium_variant,900,2054,4.032
medium_variant,900,2055,3.962
medium_variant,900,2056,3.891
medium_variant,900,2057,3.819
medium_variant,900,2058,3.75
medium_variant,900,2059,3.687
medium_variant,900,2060,3.632
medium_variant,900,2061,3.585
