variant,country,year,totalfertility
Estimates,192,1950,4.758
Estimates,192,1951,4.564
Estimates,192,1952,4.218
Estimates,192,1953,3.956
Estimates,192,1954,3.778
Estimates,192,1955,3.682
Estimates,192,1956,3.665
Estimates,192,1957,3.721
Estimates,192,1958,3.839
Estimates,192,1959,4.001
Estimates,192,1960,4.182
Estimates,192,1961,4.36
Estimates,192,1962,4.509
Estimates,192,1963,4.606
Estimates,192,1964,4.643
Estimates,192,1965,4.617
Estimates,192,1966,4.54
Estimates,192,1967,4.433
Estimates,192,1968,4.312
Estimates,192,1969,4.18
Estimates,192,1970,4.033
Estimates,192,1971,3.857
Estimates,192,1972,3.646
Estimates,192,1973,3.4
Estimates,192,1974,3.127
Estimates,192,1975,2.844
Estimates,192,1976,2.573
Estimates,192,1977,2.332
Estimates,192,1978,2.134
Estimates,192,1979,1.987
Estimates,192,1980,1.892
Estimates,192,1981,1.843
Estimates,192,1982,1.826
Estimates,192,1983,1.825
Estimates,192,1984,1.832
Estimates,192,1985,1.837
Estimates,192,1986,1.836
Estimates,192,1987,1.826
Estimates,192,1988,1.809
Estimates,192,1989,1.782
Estimates,192,1990,1.75
Estimates,192,1991,1.714
Estimates,192,1992,1.682
Estimates,192,1993,1.657
Estimates,192,1994,1.641
Estimates,192,1995,1.634
Estimates,192,1996,1.633
Estimates,192,1997,1.635
Estimates,192,1998,1.638
Estimates,192,1999,1.641
Estimates,192,2000,1.642
Estimates,192,2001,1.641
Estimates,192,2002,1.64
Estimates,192,2003,1.639
Estimates,192,2004,1.638
Estimates,192,2005,1.637
Estimates,192,2006,1.636
Estimates,192,2007,1.636
Estimates,192,2008,1.636
Estimates,192,2009,1.636
Estimates,192,2010,1.635
Estimates,192,2011,1.632
Estimates,192,2012,1.628
Estimates,192,2013,1.622
Estimates,192,2014,1.615
Estimates,192,2015,1.606
Medium_variant,192,2015,1.606
Medium_variant,192,2016,1.597
Medium_variant,192,2017,1.588
Medium_variant,192,2018,1.581
Medium_variant,192,2019,1.575
Medium_variant,192,2020,1.571
Medium_variant,192,2021,1.569
Medium_variant,192,2022,1.569
Medium_variant,192,2023,1.57
Medium_variant,192,2024,1.573
Medium_variant,192,2025,1.576
Medium_variant,192,2026,1.579
Medium_variant,192,2027,1.583
Medium_variant,192,2028,1.587
Medium_variant,192,2029,1.591
Medium_variant,192,2030,1.595
Medium_variant,192,2031,1.599
Medium_variant,192,2032,1.603
Medium_variant,192,2033,1.607
Medium_variant,192,2034,1.611
Medium_variant,192,2035,1.615
Medium_variant,192,2036,1.619
Medium_variant,192,2037,1.623
Medium_variant,192,2038,1.627
Medium_variant,192,2039,1.631
Medium_variant,192,2040,1.635
Medium_variant,192,2041,1.639
Medium_variant,192,2042,1.644
Medium_variant,192,2043,1.648
Medium_variant,192,2044,1.652
Medium_variant,192,2045,1.656
Medium_variant,192,2046,1.66
Medium_variant,192,2047,1.665
Medium_variant,192,2048,1.669
Medium_variant,192,2049,1.673
Medium_variant,192,2050,1.677
Medium_variant,192,2051,1.681
Medium_variant,192,2052,1.685
Medium_variant,192,2053,1.689
Medium_variant,192,2054,1.692
Medium_variant,192,2055,1.695
Medium_variant,192,2056,1.699
Medium_variant,192,2057,1.702
Medium_variant,192,2058,1.705
Medium_variant,192,2059,1.709
Medium_variant,192,2060,1.712
Medium_variant,192,2061,1.715
Medium_variant,192,2062,1.719
Medium_variant,192,2063,1.722
Medium_variant,192,2064,1.725
Medium_variant,192,2065,1.728
Medium_variant,192,2066,1.731
Medium_variant,192,2067,1.733
Medium_variant,192,2068,1.736
Medium_variant,192,2069,1.739
Medium_variant,192,2070,1.742
Medium_variant,192,2071,1.745
Medium_variant,192,2072,1.747
Medium_variant,192,2073,1.75
Medium_variant,192,2074,1.753
Medium_variant,192,2075,1.756
Medium_variant,192,2076,1.758
Medium_variant,192,2077,1.761
Medium_variant,192,2078,1.763
Medium_variant,192,2079,1.765
Medium_variant,192,2080,1.768
Medium_variant,192,2081,1.77
Medium_variant,192,2082,1.772
Medium_variant,192,2083,1.774
Medium_variant,192,2084,1.776
Medium_variant,192,2085,1.778
Medium_variant,192,2086,1.78
Medium_variant,192,2087,1.782
Medium_variant,192,2088,1.784
Medium_variant,192,2089,1.786
Medium_variant,192,2090,1.788
Medium_variant,192,2091,1.789
Medium_variant,192,2092,1.791
Medium_variant,192,2093,1.792
Medium_variant,192,2094,1.794
Medium_variant,192,2095,1.795
Medium_variant,192,2096,1.796
Medium_variant,192,2097,1.798
Medium_variant,192,2098,1.799
Medium_variant,192,2099,1.8
