variant,country,year,totalfertility
estimates,694,1950,6.09
estimates,694,1951,6.069
estimates,694,1952,6.034
estimates,694,1953,6.009
estimates,694,1954,5.996
estimates,694,1955,5.993
estimates,694,1956,6.002
estimates,694,1957,6.021
estimates,694,1958,6.049
estimates,694,1959,6.085
estimates,694,1960,6.127
estimates,694,1961,6.171
estimates,694,1962,6.216
estimates,694,1963,6.26
estimates,694,1964,6.3
estimates,694,1965,6.337
estimates,694,1966,6.37
estimates,694,1967,6.402
estimates,694,1968,6.434
estimates,694,1969,6.465
estimates,694,1970,6.496
estimates,694,1971,6.524
estimates,694,1972,6.55
estimates,694,1973,6.573
estimates,694,1974,6.594
estimates,694,1975,6.611
estimates,694,1976,6.628
estimates,694,1977,6.644
estimates,694,1978,6.66
estimates,694,1979,6.675
estimates,694,1980,6.69
estimates,694,1981,6.704
estimates,694,1982,6.715
estimates,694,1983,6.724
estimates,694,1984,6.729
estimates,694,1985,6.731
estimates,694,1986,6.732
estimates,694,1987,6.731
estimates,694,1988,6.73
estimates,694,1989,6.726
estimates,694,1990,6.721
estimates,694,1991,6.711
estimates,694,1992,6.696
estimates,694,1993,6.674
estimates,694,1994,6.645
estimates,694,1995,6.608
estimates,694,1996,6.564
estimates,694,1997,6.512
estimates,694,1998,6.455
estimates,694,1999,6.39
estimates,694,2000,6.319
estimates,694,2001,6.242
estimates,694,2002,6.158
estimates,694,2003,6.067
estimates,694,2004,5.969
estimates,694,2005,5.863
estimates,694,2006,5.747
estimates,694,2007,5.621
estimates,694,2008,5.487
estimates,694,2009,5.346
estimates,694,2010,5.202
estimates,694,2011,5.06
estimates,694,2012,4.923
estimates,694,2013,4.793
estimates,694,2014,4.672
estimates,694,2015,4.561
medium_variant,694,2015,4.561
medium_variant,694,2016,4.457
medium_variant,694,2017,4.359
medium_variant,694,2018,4.263
medium_variant,694,2019,4.17
medium_variant,694,2020,4.078
medium_variant,694,2021,3.987
medium_variant,694,2022,3.9
medium_variant,694,2023,3.815
medium_variant,694,2024,3.732
medium_variant,694,2025,3.653
medium_variant,694,2026,3.577
medium_variant,694,2027,3.503
medium_variant,694,2028,3.432
medium_variant,694,2029,3.364
medium_variant,694,2030,3.298
medium_variant,694,2031,3.235
medium_variant,694,2032,3.176
medium_variant,694,2033,3.119
medium_variant,694,2034,3.065
medium_variant,694,2035,3.013
medium_variant,694,2036,2.964
medium_variant,694,2037,2.918
medium_variant,694,2038,2.873
medium_variant,694,2039,2.83
medium_variant,694,2040,2.789
medium_variant,694,2041,2.75
medium_variant,694,2042,2.712
medium_variant,694,2043,2.676
medium_variant,694,2044,2.641
medium_variant,694,2045,2.608
medium_variant,694,2046,2.576
medium_variant,694,2047,2.546
medium_variant,694,2048,2.516
medium_variant,694,2049,2.488
medium_variant,694,2050,2.461
medium_variant,694,2051,2.435
medium_variant,694,2052,2.41
medium_variant,694,2053,2.385
medium_variant,694,2054,2.36
medium_variant,694,2055,2.336
medium_variant,694,2056,2.313
medium_variant,694,2057,2.291
medium_variant,694,2058,2.269
medium_variant,694,2059,2.248
medium_variant,694,2060,2.229
medium_variant,694,2061,2.209
medium_variant,694,2062,2.191
medium_variant,694,2063,2.173
medium_variant,694,2064,2.156
medium_variant,694,2065,2.139
medium_variant,694,2066,2.123
medium_variant,694,2067,2.107
medium_variant,694,2068,2.092
medium_variant,694,2069,2.077
medium_variant,694,2070,2.063
medium_variant,694,2071,2.05
medium_variant,694,2072,2.036
medium_variant,694,2073,2.024
medium_variant,694,2074,2.012
medium_variant,694,2075,2
medium_variant,694,2076,1.989
medium_variant,694,2077,1.978
medium_variant,694,2078,1.968
medium_variant,694,2079,1.958
medium_variant,694,2080,1.949
medium_variant,694,2081,1.94
medium_variant,694,2082,1.932
medium_variant,694,2083,1.924
medium_variant,694,2084,1.917
medium_variant,694,2085,1.91
medium_variant,694,2086,1.903
medium_variant,694,2087,1.896
medium_variant,694,2088,1.89
medium_variant,694,2089,1.884
medium_variant,694,2090,1.878
medium_variant,694,2091,1.873
medium_variant,694,2092,1.867
medium_variant,694,2093,1.862
medium_variant,694,2094,1.858
medium_variant,694,2095,1.853
medium_variant,694,2096,1.849
medium_variant,694,2097,1.846
medium_variant,694,2098,1.842
medium_variant,694,2099,1.839
