variant,country,year,totalfertility
estimates,706,1950,7.248
estimates,706,1951,7.249
estimates,706,1952,7.25
estimates,706,1953,7.251
estimates,706,1954,7.251
estimates,706,1955,7.251
estimates,706,1956,7.25
estimates,706,1957,7.25
estimates,706,1958,7.25
estimates,706,1959,7.25
estimates,706,1960,7.25
estimates,706,1961,7.252
estimates,706,1962,7.255
estimates,706,1963,7.258
estimates,706,1964,7.261
estimates,706,1965,7.261
estimates,706,1966,7.257
estimates,706,1967,7.248
estimates,706,1968,7.232
estimates,706,1969,7.209
estimates,706,1970,7.182
estimates,706,1971,7.151
estimates,706,1972,7.118
estimates,706,1973,7.086
estimates,706,1974,7.057
estimates,706,1975,7.033
estimates,706,1976,7.016
estimates,706,1977,7.005
estimates,706,1978,7
estimates,706,1979,7.003
estimates,706,1980,7.013
estimates,706,1981,7.03
estimates,706,1982,7.053
estimates,706,1983,7.08
estimates,706,1984,7.112
estimates,706,1985,7.149
estimates,706,1986,7.19
estimates,706,1987,7.237
estimates,706,1988,7.288
estimates,706,1989,7.341
estimates,706,1990,7.397
estimates,706,1991,7.454
estimates,706,1992,7.511
estimates,706,1993,7.566
estimates,706,1994,7.614
estimates,706,1995,7.653
estimates,706,1996,7.679
estimates,706,1997,7.689
estimates,706,1998,7.683
estimates,706,1999,7.66
estimates,706,2000,7.623
estimates,706,2001,7.573
estimates,706,2002,7.513
estimates,706,2003,7.448
estimates,706,2004,7.378
estimates,706,2005,7.305
estimates,706,2006,7.227
estimates,706,2007,7.144
estimates,706,2008,7.056
estimates,706,2009,6.963
estimates,706,2010,6.866
estimates,706,2011,6.766
estimates,706,2012,6.665
estimates,706,2013,6.564
estimates,706,2014,6.464
estimates,706,2015,6.365
medium_variant,706,2015,6.365
medium_variant,706,2016,6.267
medium_variant,706,2017,6.171
medium_variant,706,2018,6.076
medium_variant,706,2019,5.981
medium_variant,706,2020,5.888
medium_variant,706,2021,5.796
medium_variant,706,2022,5.706
medium_variant,706,2023,5.616
medium_variant,706,2024,5.527
medium_variant,706,2025,5.44
medium_variant,706,2026,5.354
medium_variant,706,2027,5.269
medium_variant,706,2028,5.186
medium_variant,706,2029,5.103
medium_variant,706,2030,5.022
medium_variant,706,2031,4.942
medium_variant,706,2032,4.863
medium_variant,706,2033,4.786
medium_variant,706,2034,4.709
medium_variant,706,2035,4.634
medium_variant,706,2036,4.56
medium_variant,706,2037,4.487
medium_variant,706,2038,4.416
medium_variant,706,2039,4.347
medium_variant,706,2040,4.279
medium_variant,706,2041,4.213
medium_variant,706,2042,4.149
medium_variant,706,2043,4.087
medium_variant,706,2044,4.027
medium_variant,706,2045,3.968
medium_variant,706,2046,3.911
medium_variant,706,2047,3.855
medium_variant,706,2048,3.801
medium_variant,706,2049,3.747
medium_variant,706,2050,3.695
medium_variant,706,2051,3.644
medium_variant,706,2052,3.595
medium_variant,706,2053,3.547
medium_variant,706,2054,3.501
medium_variant,706,2055,3.456
medium_variant,706,2056,3.412
medium_variant,706,2057,3.369
medium_variant,706,2058,3.328
medium_variant,706,2059,3.287
medium_variant,706,2060,3.248
medium_variant,706,2061,3.21
medium_variant,706,2062,3.173
medium_variant,706,2063,3.137
medium_variant,706,2064,3.102
medium_variant,706,2065,3.068
medium_variant,706,2066,3.035
medium_variant,706,2067,3.003
medium_variant,706,2068,2.972
medium_variant,706,2069,2.942
medium_variant,706,2070,2.912
medium_variant,706,2071,2.883
medium_variant,706,2072,2.854
medium_variant,706,2073,2.827
medium_variant,706,2074,2.8
medium_variant,706,2075,2.774
medium_variant,706,2076,2.748
medium_variant,706,2077,2.724
medium_variant,706,2078,2.699
medium_variant,706,2079,2.676
medium_variant,706,2080,2.652
medium_variant,706,2081,2.63
medium_variant,706,2082,2.607
medium_variant,706,2083,2.586
medium_variant,706,2084,2.564
medium_variant,706,2085,2.543
medium_variant,706,2086,2.523
medium_variant,706,2087,2.502
medium_variant,706,2088,2.482
medium_variant,706,2089,2.462
medium_variant,706,2090,2.442
medium_variant,706,2091,2.422
medium_variant,706,2092,2.403
medium_variant,706,2093,2.384
medium_variant,706,2094,2.366
medium_variant,706,2095,2.348
medium_variant,706,2096,2.331
medium_variant,706,2097,2.314
medium_variant,706,2098,2.298
medium_variant,706,2099,2.282
