variant,country,year,totalfertility
estimates,470,1950,4.211
estimates,470,1951,4.197
estimates,470,1952,4.163
estimates,470,1953,4.122
estimates,470,1954,4.071
estimates,470,1955,4.011
estimates,470,1956,3.941
estimates,470,1957,3.861
estimates,470,1958,3.767
estimates,470,1959,3.657
estimates,470,1960,3.527
estimates,470,1961,3.375
estimates,470,1962,3.2
estimates,470,1963,3.005
estimates,470,1964,2.798
estimates,470,1965,2.592
estimates,470,1966,2.401
estimates,470,1967,2.238
estimates,470,1968,2.111
estimates,470,1969,2.023
estimates,470,1970,1.975
estimates,470,1971,1.964
estimates,470,1972,1.978
estimates,470,1973,2.004
estimates,470,1974,2.035
estimates,470,1975,2.063
estimates,470,1976,2.08
estimates,470,1977,2.085
estimates,470,1978,2.078
estimates,470,1979,2.059
estimates,470,1980,2.033
estimates,470,1981,2.004
estimates,470,1982,1.982
estimates,470,1983,1.97
estimates,470,1984,1.968
estimates,470,1985,1.977
estimates,470,1986,1.993
estimates,470,1987,2.009
estimates,470,1988,2.021
estimates,470,1989,2.026
estimates,470,1990,2.026
estimates,470,1991,2.021
estimates,470,1992,2.012
estimates,470,1993,2.001
estimates,470,1994,1.987
estimates,470,1995,1.966
estimates,470,1996,1.933
estimates,470,1997,1.886
estimates,470,1998,1.825
estimates,470,1999,1.753
estimates,470,2000,1.674
estimates,470,2001,1.597
estimates,470,2002,1.526
estimates,470,2003,1.467
estimates,470,2004,1.423
estimates,470,2005,1.395
estimates,470,2006,1.381
estimates,470,2007,1.376
estimates,470,2008,1.377
estimates,470,2009,1.381
estimates,470,2010,1.388
estimates,470,2011,1.396
estimates,470,2012,1.406
estimates,470,2013,1.417
estimates,470,2014,1.43
estimates,470,2015,1.443
medium_variant,470,2015,1.443
medium_variant,470,2016,1.455
medium_variant,470,2017,1.467
medium_variant,470,2018,1.479
medium_variant,470,2019,1.49
medium_variant,470,2020,1.5
medium_variant,470,2021,1.51
medium_variant,470,2022,1.52
medium_variant,470,2023,1.529
medium_variant,470,2024,1.538
medium_variant,470,2025,1.547
medium_variant,470,2026,1.555
medium_variant,470,2027,1.564
medium_variant,470,2028,1.572
medium_variant,470,2029,1.58
medium_variant,470,2030,1.588
medium_variant,470,2031,1.595
medium_variant,470,2032,1.602
medium_variant,470,2033,1.609
medium_variant,470,2034,1.616
medium_variant,470,2035,1.622
medium_variant,470,2036,1.628
medium_variant,470,2037,1.634
medium_variant,470,2038,1.64
medium_variant,470,2039,1.646
medium_variant,470,2040,1.651
medium_variant,470,2041,1.656
medium_variant,470,2042,1.662
medium_variant,470,2043,1.666
medium_variant,470,2044,1.671
medium_variant,470,2045,1.676
medium_variant,470,2046,1.68
medium_variant,470,2047,1.684
medium_variant,470,2048,1.689
medium_variant,470,2049,1.693
medium_variant,470,2050,1.697
medium_variant,470,2051,1.701
medium_variant,470,2052,1.704
medium_variant,470,2053,1.708
medium_variant,470,2054,1.712
medium_variant,470,2055,1.715
medium_variant,470,2056,1.718
medium_variant,470,2057,1.721
medium_variant,470,2058,1.725
medium_variant,470,2059,1.728
medium_variant,470,2060,1.731
medium_variant,470,2061,1.734
medium_variant,470,2062,1.736
medium_variant,470,2063,1.739
medium_variant,470,2064,1.742
medium_variant,470,2065,1.744
medium_variant,470,2066,1.746
medium_variant,470,2067,1.748
medium_variant,470,2068,1.75
medium_variant,470,2069,1.752
medium_variant,470,2070,1.754
medium_variant,470,2071,1.756
medium_variant,470,2072,1.758
medium_variant,470,2073,1.76
medium_variant,470,2074,1.762
medium_variant,470,2075,1.764
medium_variant,470,2076,1.766
medium_variant,470,2077,1.768
medium_variant,470,2078,1.769
medium_variant,470,2079,1.771
medium_variant,470,2080,1.773
medium_variant,470,2081,1.774
medium_variant,470,2082,1.776
medium_variant,470,2083,1.777
medium_variant,470,2084,1.778
medium_variant,470,2085,1.779
medium_variant,470,2086,1.78
medium_variant,470,2087,1.782
medium_variant,470,2088,1.783
medium_variant,470,2089,1.784
medium_variant,470,2090,1.785
medium_variant,470,2091,1.787
medium_variant,470,2092,1.788
medium_variant,470,2093,1.789
medium_variant,470,2094,1.79
medium_variant,470,2095,1.792
medium_variant,470,2096,1.793
medium_variant,470,2097,1.794
medium_variant,470,2098,1.795
medium_variant,470,2099,1.796
