continent,year,variant,freq,agebroad,percentagetotaldeaths
903,1950,estimates,5yearly,0_4,54.8698879219219
903,1950,estimates,5yearly,0_14,62.3201646625351
903,1950,estimates,5yearly,0_19,64.837690908548
903,1950,estimates,5yearly,0_24,67.7391471872036
903,1950,estimates,5yearly,5_14,7.45027674061317
903,1950,estimates,5yearly,15plus,37.6798353374649
903,1950,estimates,5yearly,15_24,5.4189825246685
903,1950,estimates,5yearly,15_49,17.9083459671596
903,1950,estimates,5yearly,15_59,23.0328311726147
903,1950,estimates,5yearly,15_64,26.0398415473659
903,1950,estimates,5yearly,20plus,35.1623090914521
903,1950,estimates,5yearly,20_64,23.522315301353
903,1950,estimates,5yearly,20_69,26.7958926612066
903,1950,estimates,5yearly,25plus,32.2608528127964
903,1950,estimates,5yearly,25_69,23.8944363825509
903,1950,estimates,5yearly,40plus,24.4568423321356
903,1950,estimates,5yearly,50plus,19.7714893703053
903,1950,estimates,5yearly,60plus,14.6470041648502
903,1950,estimates,5yearly,65plus,11.639993790099
903,1950,estimates,5yearly,70plus,8.36641643024548
903,1950,estimates,5yearly,80plus,2.49021109026237
903,1950,estimates,5yearly,90plus,0.219281717746152
903,1955,estimates,5yearly,0_4,54.6553384406307
903,1955,estimates,5yearly,0_14,62.1494103457461
903,1955,estimates,5yearly,0_19,64.6628440005134
903,1955,estimates,5yearly,0_24,67.5500633087458
903,1955,estimates,5yearly,5_14,7.4940719051154
903,1955,estimates,5yearly,15plus,37.8505896542539
903,1955,estimates,5yearly,15_24,5.40065296299976
903,1955,estimates,5yearly,15_49,17.9742748488274
903,1955,estimates,5yearly,15_59,23.2302255876975
903,1955,estimates,5yearly,15_64,26.3253736348966
903,1955,estimates,5yearly,20plus,35.3371559994866
903,1955,estimates,5yearly,20_64,23.8119399801293
903,1955,estimates,5yearly,20_69,27.1388820346122
903,1955,estimates,5yearly,25plus,32.4499366912542
903,1955,estimates,5yearly,25_69,24.2516627263797
903,1955,estimates,5yearly,40plus,24.6108538972294
903,1955,estimates,5yearly,50plus,19.8763148054265
903,1955,estimates,5yearly,60plus,14.6203640665564
903,1955,estimates,5yearly,65plus,11.5252160193573
903,1955,estimates,5yearly,70plus,8.19827396487444
903,1955,estimates,5yearly,80plus,2.34473215621968
903,1955,estimates,5yearly,90plus,0.187005513681018
903,1960,estimates,5yearly,0_4,54.2430988488504
903,1960,estimates,5yearly,0_14,61.7646350352344
903,1960,estimates,5yearly,0_19,64.2633804878799
903,1960,estimates,5yearly,0_24,67.1043624886178
903,1960,estimates,5yearly,5_14,7.52153618638403
903,1960,estimates,5yearly,15plus,38.2353649647656
903,1960,estimates,5yearly,15_24,5.33972745338338
903,1960,estimates,5yearly,15_49,17.8261660905442
903,1960,estimates,5yearly,15_59,23.1580893808955
903,1960,estimates,5yearly,15_64,26.3271365888821
903,1960,estimates,5yearly,20plus,35.7366195121201
903,1960,estimates,5yearly,20_64,23.8283911362367
903,1960,estimates,5yearly,20_69,27.2639265126351
903,1960,estimates,5yearly,25plus,32.8956375113822
903,1960,estimates,5yearly,25_69,24.4229445118972
903,1960,estimates,5yearly,40plus,25.1511434387684
903,1960,estimates,5yearly,50plus,20.4091988742213
903,1960,estimates,5yearly,60plus,15.0772755838701
