variant,region,year,lifeexpectancyatbirth,gender
estimates,957,1950,46.961,male
estimates,957,1951,47.411,male
estimates,957,1952,48.279,male
estimates,957,1953,49.085,male
estimates,957,1954,49.83,male
estimates,957,1955,50.513,male
estimates,957,1956,51.136,male
estimates,957,1957,51.703,male
estimates,957,1958,52.216,male
estimates,957,1959,52.686,male
estimates,957,1960,53.121,male
estimates,957,1961,53.532,male
estimates,957,1962,53.931,male
estimates,957,1963,54.329,male
estimates,957,1964,54.733,male
estimates,957,1965,55.144,male
estimates,957,1966,55.562,male
estimates,957,1967,55.978,male
estimates,957,1968,56.387,male
estimates,957,1969,56.789,male
estimates,957,1970,57.182,male
estimates,957,1971,57.565,male
estimates,957,1972,57.94,male
estimates,957,1973,58.311,male
estimates,957,1974,58.681,male
estimates,957,1975,59.058,male
estimates,957,1976,59.451,male
estimates,957,1977,59.862,male
estimates,957,1978,60.294,male
estimates,957,1979,60.741,male
estimates,957,1980,61.197,male
estimates,957,1981,61.648,male
estimates,957,1982,62.085,male
estimates,957,1983,62.5,male
estimates,957,1984,62.893,male
estimates,957,1985,63.268,male
estimates,957,1986,63.635,male
estimates,957,1987,64.006,male
estimates,957,1988,64.387,male
estimates,957,1989,64.776,male
estimates,957,1990,65.169,male
estimates,957,1991,65.554,male
estimates,957,1992,65.922,male
estimates,957,1993,66.265,male
estimates,957,1994,66.582,male
estimates,957,1995,66.873,male
estimates,957,1996,67.144,male
estimates,957,1997,67.404,male
estimates,957,1998,67.66,male
estimates,957,1999,67.921,male
estimates,957,2000,68.192,male
estimates,957,2001,68.48,male
estimates,957,2002,68.785,male
estimates,957,2003,69.104,male
estimates,957,2004,69.436,male
estimates,957,2005,69.776,male
estimates,957,2006,70.116,male
estimates,957,2007,70.45,male
estimates,957,2008,70.77,male
estimates,957,2009,71.072,male
estimates,957,2010,71.353,male
estimates,957,2011,71.614,male
estimates,957,2012,71.857,male
estimates,957,2013,72.086,male
estimates,957,2014,72.304,male
estimates,957,2015,72.514,male
medium_variant,957,2015,72.514,male
medium_variant,957,2016,72.718,male
medium_variant,957,2017,72.919,male
medium_variant,957,2018,73.118,male
medium_variant,957,2019,73.318,male
medium_variant,957,2020,73.518,male
medium_variant,957,2021,73.721,male
medium_variant,957,2022,73.922,male
medium_variant,957,2023,74.123,male
medium_variant,957,2024,74.323,male
medium_variant,957,2025,74.522,male
medium_variant,957,2026,74.72,male
medium_variant,957,2027,74.917,male
medium_variant,957,2028,75.115,male
medium_variant,957,2029,75.312,male
medium_variant,957,2030,75.509,male
medium_variant,957,2031,75.707,male
medium_variant,957,2032,75.904,male
medium_variant,957,2033,76.102,male
medium_variant,957,2034,76.301,male
medium_variant,957,2035,76.499,male
medium_variant,957,2036,76.699,male
medium_variant,957,2037,76.898,male
medium_variant,957,2038,77.097,male
medium_variant,957,2039,77.297,male
medium_variant,957,2040,77.497,male
medium_variant,957,2041,77.697,male
medium_variant,957,2042,77.897,male
medium_variant,957,2043,78.097,male
medium_variant,957,2044,78.298,male
medium_variant,957,2045,78.498,male
medium_variant,957,2046,78.698,male
medium_variant,957,2047,78.898,male
medium_variant,957,2048,79.097,male
medium_variant,957,2049,79.295,male
medium_variant,957,2050,79.492,male
medium_variant,957,2051,79.687,male
medium_variant,957,2052,79.881,male
medium_variant,957,2053,80.072,male
medium_variant,957,2054,80.26,male
medium_variant,957,2055,80.445,male
medium_variant,957,2056,80.626,male
medium_variant,957,2057,80.803,male
medium_variant,957,2058,80.976,male
medium_variant,957,2059,81.144,male
medium_variant,957,2060,81.308,male
medium_variant,957,2061,81.468,male
medium_variant,957,2062,81.624,male
medium_variant,957,2063,81.776,male
medium_variant,957,2064,81.925,male
medium_variant,957,2065,82.071,male
medium_variant,957,2066,82.214,male
medium_variant,957,2067,82.353,male
medium_variant,957,2068,82.491,male
medium_variant,957,2069,82.626,male
medium_variant,957,2070,82.759,male
medium_variant,957,2071,82.891,male
medium_variant,957,2072,83.022,male
medium_variant,957,2073,83.152,male
medium_variant,957,2074,83.28,male
medium_variant,957,2075,83.409,male
medium_variant,957,2076,83.537,male
medium_variant,957,2077,83.664,male
medium_variant,957,2078,83.791,male
medium_variant,957,2079,83.917,male
medium_variant,957,2080,84.044,male
medium_variant,957,2081,84.17,male
medium_variant,957,2082,84.296,male
medium_variant,957,2083,84.422,male
medium_variant,957,2084,84.547,male
medium_variant,957,2085,84.672,male
medium_variant,957,2086,84.797,male
medium_variant,957,2087,84.921,male
medium_variant,957,2088,85.043,male
medium_variant,957,2089,85.165,male
medium_variant,957,2090,85.287,male
medium_variant,957,2091,85.407,male
medium_variant,957,2092,85.527,male
medium_variant,957,2093,85.646,male
medium_variant,957,2094,85.765,male
medium_variant,957,2095,85.883,male
medium_variant,957,2096,86.001,male
medium_variant,957,2097,86.119,male
medium_variant,957,2098,86.236,male
medium_variant,957,2099,86.353,male
estimates,957,1950,50.649,female
estimates,957,1951,51.143,female
estimates,957,1952,52.096,female
estimates,957,1953,52.98,female
estimates,957,1954,53.795,female
estimates,957,1955,54.542,female
estimates,957,1956,55.222,female
estimates,957,1957,55.838,female
estimates,957,1958,56.397,female
estimates,957,1959,56.907,female
estimates,957,1960,57.379,female
estimates,957,1961,57.828,female
estimates,957,1962,58.266,female
estimates,957,1963,58.705,female
estimates,957,1964,59.151,female
estimates,957,1965,59.605,female
estimates,957,1966,60.062,female
estimates,957,1967,60.512,female
estimates,957,1968,60.949,female
estimates,957,1969,61.372,female
estimates,957,1970,61.781,female
estimates,957,1971,62.175,female
estimates,957,1972,62.562,female
estimates,957,1973,62.947,female
estimates,957,1974,63.338,female
estimates,957,1975,63.747,female
estimates,957,1976,64.187,female
estimates,957,1977,64.662,female
estimates,957,1978,65.171,female
