variant,region,year,lifeexpectancyatbirth,gender
estimates,926,1950,64.709,male
estimates,926,1951,64.859,male
estimates,926,1952,65.153,male
estimates,926,1953,65.435,male
estimates,926,1954,65.706,male
estimates,926,1955,65.966,male
estimates,926,1956,66.213,male
estimates,926,1957,66.447,male
estimates,926,1958,66.667,male
estimates,926,1959,66.871,male
estimates,926,1960,67.057,male
estimates,926,1961,67.222,male
estimates,926,1962,67.366,male
estimates,926,1963,67.489,male
estimates,926,1964,67.594,male
estimates,926,1965,67.685,male
estimates,926,1966,67.765,male
estimates,926,1967,67.842,male
estimates,926,1968,67.92,male
estimates,926,1969,68.007,male
estimates,926,1970,68.108,male
estimates,926,1971,68.227,male
estimates,926,1972,68.365,male
estimates,926,1973,68.522,male
estimates,926,1974,68.697,male
estimates,926,1975,68.89,male
estimates,926,1976,69.098,male
estimates,926,1977,69.316,male
estimates,926,1978,69.541,male
estimates,926,1979,69.772,male
estimates,926,1980,70.008,male
estimates,926,1981,70.251,male
estimates,926,1982,70.502,male
estimates,926,1983,70.761,male
estimates,926,1984,71.024,male
estimates,926,1985,71.286,male
estimates,926,1986,71.541,male
estimates,926,1987,71.785,male
estimates,926,1988,72.016,male
estimates,926,1989,72.236,male
estimates,926,1990,72.449,male
estimates,926,1991,72.661,male
estimates,926,1992,72.88,male
estimates,926,1993,73.112,male
estimates,926,1994,73.358,male
estimates,926,1995,73.619,male
estimates,926,1996,73.894,male
estimates,926,1997,74.177,male
estimates,926,1998,74.466,male
estimates,926,1999,74.756,male
estimates,926,2000,75.05,male
estimates,926,2001,75.347,male
estimates,926,2002,75.648,male
estimates,926,2003,75.952,male
estimates,926,2004,76.256,male
estimates,926,2005,76.556,male
estimates,926,2006,76.848,male
estimates,926,2007,77.13,male
estimates,926,2008,77.398,male
estimates,926,2009,77.652,male
estimates,926,2010,77.892,male
estimates,926,2011,78.121,male
estimates,926,2012,78.342,male
estimates,926,2013,78.559,male
estimates,926,2014,78.772,male
estimates,926,2015,78.983,male
medium_variant,926,2015,78.983,male
medium_variant,926,2016,79.191,male
medium_variant,926,2017,79.395,male
medium_variant,926,2018,79.594,male
medium_variant,926,2019,79.79,male
medium_variant,926,2020,79.983,male
medium_variant,926,2021,80.174,male
medium_variant,926,2022,80.363,male
medium_variant,926,2023,80.551,male
medium_variant,926,2024,80.738,male
medium_variant,926,2025,80.924,male
medium_variant,926,2026,81.108,male
medium_variant,926,2027,81.289,male
medium_variant,926,2028,81.467,male
medium_variant,926,2029,81.642,male
medium_variant,926,2030,81.811,male
medium_variant,926,2031,81.976,male
medium_variant,926,2032,82.136,male
medium_variant,926,2033,82.292,male
medium_variant,926,2034,82.444,male
medium_variant,926,2035,82.591,male
medium_variant,926,2036,82.735,male
medium_variant,926,2037,82.876,male
medium_variant,926,2038,83.013,male
medium_variant,926,2039,83.148,male
medium_variant,926,2040,83.281,male
medium_variant,926,2041,83.412,male
medium_variant,926,2042,83.541,male
medium_variant,926,2043,83.667,male
medium_variant,926,2044,83.792,male
medium_variant,926,2045,83.916,male
medium_variant,926,2046,84.038,male
medium_variant,926,2047,84.16,male
medium_variant,926,2048,84.28,male
medium_variant,926,2049,84.4,male
medium_variant,926,2050,84.52,male
medium_variant,926,2051,84.639,male
medium_variant,926,2052,84.759,male
medium_variant,926,2053,84.878,male
medium_variant,926,2054,84.997,male
medium_variant,926,2055,85.116,male
medium_variant,926,2056,85.235,male
medium_variant,926,2057,85.354,male
medium_variant,926,2058,85.472,male
medium_variant,926,2059,85.59,male
medium_variant,926,2060,85.708,male
medium_variant,926,2061,85.824,male
medium_variant,926,2062,85.94,male
medium_variant,926,2063,86.055,male
medium_variant,926,2064,86.169,male
medium_variant,926,2065,86.283,male
medium_variant,926,2066,86.396,male
medium_variant,926,2067,86.509,male
