variant,region,year,lifeexpectancyatbirth,gender
estimates,5501,1950,36.097,male
estimates,5501,1951,36.445,male
estimates,5501,1952,37.137,male
estimates,5501,1953,37.82,male
estimates,5501,1954,38.494,male
estimates,5501,1955,39.159,male
estimates,5501,1956,39.815,male
estimates,5501,1957,40.464,male
estimates,5501,1958,41.105,male
estimates,5501,1959,41.743,male
estimates,5501,1960,42.377,male
estimates,5501,1961,43.011,male
estimates,5501,1962,43.646,male
estimates,5501,1963,44.281,male
estimates,5501,1964,44.915,male
estimates,5501,1965,45.54,male
estimates,5501,1966,46.148,male
estimates,5501,1967,46.733,male
estimates,5501,1968,47.296,male
estimates,5501,1969,47.839,male
estimates,5501,1970,48.373,male
estimates,5501,1971,48.915,male
estimates,5501,1972,49.475,male
estimates,5501,1973,50.056,male
estimates,5501,1974,50.652,male
estimates,5501,1975,51.246,male
estimates,5501,1976,51.812,male
estimates,5501,1977,52.33,male
estimates,5501,1978,52.791,male
estimates,5501,1979,53.195,male
estimates,5501,1980,53.553,male
estimates,5501,1981,53.885,male
estimates,5501,1982,54.216,male
estimates,5501,1983,54.567,male
estimates,5501,1984,54.949,male
estimates,5501,1985,55.37,male
estimates,5501,1986,55.829,male
estimates,5501,1987,56.316,male
estimates,5501,1988,56.817,male
estimates,5501,1989,57.326,male
estimates,5501,1990,57.834,male
estimates,5501,1991,58.335,male
estimates,5501,1992,58.823,male
estimates,5501,1993,59.294,male
estimates,5501,1994,59.745,male
estimates,5501,1995,60.177,male
estimates,5501,1996,60.591,male
estimates,5501,1997,60.993,male
estimates,5501,1998,61.388,male
estimates,5501,1999,61.777,male
estimates,5501,2000,62.164,male
estimates,5501,2001,62.549,male
estimates,5501,2002,62.931,male
estimates,5501,2003,63.31,male
estimates,5501,2004,63.683,male
estimates,5501,2005,64.052,male
estimates,5501,2006,64.415,male
estimates,5501,2007,64.77,male
estimates,5501,2008,65.116,male
estimates,5501,2009,65.451,male
estimates,5501,2010,65.773,male
estimates,5501,2011,66.078,male
estimates,5501,2012,66.368,male
estimates,5501,2013,66.641,male
estimates,5501,2014,66.898,male
estimates,5501,2015,67.141,male
medium_variant,5501,2015,67.141,male
medium_variant,5501,2016,67.371,male
medium_variant,5501,2017,67.591,male
medium_variant,5501,2018,67.804,male
medium_variant,5501,2019,68.012,male
medium_variant,5501,2020,68.215,male
medium_variant,5501,2021,68.413,male
medium_variant,5501,2022,68.605,male
medium_variant,5501,2023,68.793,male
medium_variant,5501,2024,68.975,male
medium_variant,5501,2025,69.152,male
medium_variant,5501,2026,69.326,male
medium_variant,5501,2027,69.496,male
medium_variant,5501,2028,69.663,male
medium_variant,5501,2029,69.828,male
medium_variant,5501,2030,69.989,male
medium_variant,5501,2031,70.148,male
medium_variant,5501,2032,70.303,male
medium_variant,5501,2033,70.455,male
medium_variant,5501,2034,70.605,male
medium_variant,5501,2035,70.753,male
medium_variant,5501,2036,70.899,male
medium_variant,5501,2037,71.044,male
medium_variant,5501,2038,71.188,male
medium_variant,5501,2039,71.333,male
medium_variant,5501,2040,71.477,male
medium_variant,5501,2041,71.622,male
medium_variant,5501,2042,71.766,male
medium_variant,5501,2043,71.91,male
medium_variant,5501,2044,72.054,male
medium_variant,5501,2045,72.197,male
medium_variant,5501,2046,72.341,male
medium_variant,5501,2047,72.484,male
medium_variant,5501,2048,72.628,male
medium_variant,5501,2049,72.772,male
medium_variant,5501,2050,72.916,male
medium_variant,5501,2051,73.059,male
medium_variant,5501,2052,73.201,male
medium_variant,5501,2053,73.342,male
medium_variant,5501,2054,73.482,male
medium_variant,5501,2055,73.622,male
medium_variant,5501,2056,73.761,male
medium_variant,5501,2057,73.902,male
medium_variant,5501,2058,74.043,male
medium_variant,5501,2059,74.185,male
medium_variant,5501,2060,74.327,male
medium_variant,5501,2061,74.469,male
medium_variant,5501,2062,74.61,male
medium_variant,5501,2063,74.75,male
medium_variant,5501,2064,74.889,male
medium_variant,5501,2065,75.027,male
medium_variant,5501,2066,75.166,male
