variant,global,year,gender,oldagedependencyratio2064
estimates,900,1950,male,8.793
estimates,900,1951,male,8.86
estimates,900,1952,male,8.899
estimates,900,1953,male,8.898
estimates,900,1954,male,8.851
estimates,900,1955,male,8.759
estimates,900,1956,male,8.816
estimates,900,1957,male,8.819
estimates,900,1958,male,8.782
estimates,900,1959,male,8.721
estimates,900,1960,male,8.646
estimates,900,1961,male,8.75
estimates,900,1962,male,8.831
estimates,900,1963,male,8.89
estimates,900,1964,male,8.921
estimates,900,1965,male,8.924
estimates,900,1966,male,9.092
estimates,900,1967,male,9.229
estimates,900,1968,male,9.336
estimates,900,1969,male,9.412
estimates,900,1970,male,9.459
estimates,900,1971,male,9.586
estimates,900,1972,male,9.668
estimates,900,1973,male,9.717
estimates,900,1974,male,9.748
estimates,900,1975,male,9.769
estimates,900,1976,male,9.893
estimates,900,1977,male,10.002
estimates,900,1978,male,10.084
estimates,900,1979,male,10.122
estimates,900,1980,male,10.11
estimates,900,1981,male,10.13
estimates,900,1982,male,10.1
estimates,900,1983,male,10.042
estimates,900,1984,male,9.978
estimates,900,1985,male,9.923
estimates,900,1986,male,9.967
estimates,900,1987,male,10.002
estimates,900,1988,male,10.035
estimates,900,1989,male,10.071
estimates,900,1990,male,10.113
estimates,900,1991,male,10.236
estimates,900,1992,male,10.35
estimates,900,1993,male,10.454
estimates,900,1994,male,10.543
estimates,900,1995,male,10.616
estimates,900,1996,male,10.748
estimates,900,1997,male,10.856
estimates,900,1998,male,10.947
estimates,900,1999,male,11.028
estimates,900,2000,male,11.102
estimates,900,2001,male,11.249
estimates,900,2002,male,11.384
estimates,900,2003,male,11.498
estimates,900,2004,male,11.577
estimates,900,2005,male,11.616
estimates,900,2006,male,11.69
estimates,900,2007,male,11.729
estimates,900,2008,male,11.754
estimates,900,2009,male,11.794
estimates,900,2010,male,11.863
estimates,900,2011,male,12.005
estimates,900,2012,male,12.16
estimates,900,2013,male,12.337
estimates,900,2014,male,12.548
estimates,900,2015,male,12.8
medium_variant,900,2015,male,12.8
medium_variant,900,2016,male,13.136
medium_variant,900,2017,male,13.501
medium_variant,900,2018,male,13.879
medium_variant,900,2019,male,14.249
medium_variant,900,2020,male,14.598
medium_variant,900,2021,male,14.969
medium_variant,900,2022,male,15.312
medium_variant,900,2023,male,15.642
medium_variant,900,2024,male,15.981
medium_variant,900,2025,male,16.34
medium_variant,900,2026,male,16.744
medium_variant,900,2027,male,17.15
medium_variant,900,2028,male,17.56
medium_variant,900,2029,male,17.974
medium_variant,900,2030,male,18.393
medium_variant,900,2031,male,18.839
medium_variant,900,2032,male,19.275
medium_variant,900,2033,male,19.703
medium_variant,900,2034,male,20.122
medium_variant,900,2035,male,20.532
medium_variant,900,2036,male,20.949
medium_variant,900,2037,male,21.347
medium_variant,900,2038,male,21.722
medium_variant,900,2039,male,22.068
medium_variant,900,2040,male,22.384
medium_variant,900,2041,male,22.689
medium_variant,900,2042,male,22.954
medium_variant,900,2043,male,23.196
medium_variant,900,2044,male,23.442
medium_variant,900,2045,male,23.709
medium_variant,900,2046,male,24.017
medium_variant,900,2047,male,24.323
medium_variant,900,2048,male,24.641
medium_variant,900,2049,male,24.99
medium_variant,900,2050,male,25.382
medium_variant,900,2051,male,25.837
medium_variant,900,2052,male,26.314
medium_variant,900,2053,male,26.798
medium_variant,900,2054,male,27.26
medium_variant,900,2055,male,27.683
medium_variant,900,2056,male,28.091
medium_variant,900,2057,male,28.443
medium_variant,900,2058,male,28.75
medium_variant,900,2059,male,29.025
medium_variant,900,2060,male,29.281
medium_variant,900,2061,male,29.531
medium_variant,900,2062,male,29.737
medium_variant,900,2063,male,29.916
medium_variant,900,2064,male,30.088
medium_variant,900,2065,male,30.269
medium_variant,900,2066,male,30.466
medium_variant,900,2067,male,30.65
medium_variant,900,2068,male,30.832
medium_variant,900,2069,male,31.026
medium_variant,900,2070,male,31.244
medium_variant,900,2071,male,31.48
medium_variant,900,2072,male,31.715
medium_variant,900,2073,male,31.959
medium_variant,900,2074,male,32.219
medium_variant,900,2075,male,32.499
medium_variant,900,2076,male,32.791
medium_variant,900,2077,male,33.079
medium_variant,900,2078,male,33.367
medium_variant,900,2079,male,33.657
medium_variant,900,2080,male,33.956
medium_variant,900,2081,male,34.258
medium_variant,900,2082,male,34.539
medium_variant,900,2083,male,34.805
medium_variant,900,2084,male,35.069
medium_variant,900,2085,male,35.342
medium_variant,900,2086,male,35.607
medium_variant,900,2087,male,35.848
medium_variant,900,2088,male,36.08
medium_variant,900,2089,male,36.318
medium_variant,900,2090,male,36.572
medium_variant,900,2091,male,36.801
medium_variant,900,2092,male,37.015
medium_variant,900,2093,male,37.227
medium_variant,900,2094,male,37.449
medium_variant,900,2095,male,37.692
medium_variant,900,2096,male,37.905
medium_variant,900,2097,male,38.111
medium_variant,900,2098,male,38.322
medium_variant,900,2099,male,38.547
medium_variant,900,2100,male,38.797
estimates,900,1950,female,11.014
estimates,900,1951,female,11.135
estimates,900,1952,female,11.233
estimates,900,1953,female,11.301
estimates,900,1954,female,11.329
estimates,900,1955,female,11.321
estimates,900,1956,female,11.421
estimates,900,1957,female,11.473
estimates,900,1958,female,11.495
estimates,900,1959,female,11.505
estimates,900,1960,female,11.518
estimates,900,1961,female,11.68
estimates,900,1962,female,11.833
estimates,900,1963,female,11.972
estimates,900,1964,female,12.091
estimates,900,1965,female,12.188
estimates,900,1966,female,12.411
estimates,900,1967,female,12.609
estimates,900,1968,female,12.782
estimates,900,1969,female,12.932
estimates,900,1970,female,13.06
estimates,900,1971,female,13.222
estimates,900,1972,female,13.345
estimates,900,1973,female,13.443
estimates,900,1974,female,13.535
estimates,900,1975,female,13.628
estimates,900,1976,female,13.779
estimates,900,1977,female,13.923
estimates,900,1978,female,14.046
estimates,900,1979,female,14.118
estimates,900,1980,female,14.13
estimates,900,1981,female,14.122
estimates,900,1982,female,14.052
estimates,900,1983,female,13.953
estimates,900,1984,female,13.865
estimates,900,1985,female,13.81
estimates,900,1986,female,13.821
estimates,900,1987,female,13.844
estimates,900,1988,female,13.879
estimates,900,1989,female,13.918
estimates,900,1990,female,13.957
estimates,900,1991,female,14.03
estimates,900,1992,female,14.093
estimates,900,1993,female,14.15
estimates,900,1994,female,14.203
estimates,900,1995,female,14.253
estimates,900,1996,female,14.331
estimates,900,1997,female,14.395
estimates,900,1998,female,14.453
estimates,900,1999,female,14.512
estimates,900,2000,female,14.576
estimates,900,2001,female,14.674
estimates,900,2002,female,14.769
estimates,900,2003,female,14.852
estimates,900,2004,female,14.905
estimates,900,2005,female,14.925
estimates,900,2006,female,14.955
estimates,900,2007,female,14.953
estimates,900,2008,female,14.945
estimates,900,2009,female,14.966
estimates,900,2010,female,15.037
estimates,900,2011,female,15.162
estimates,900,2012,female,15.317
estimates,900,2013,female,15.511
estimates,900,2014,female,15.753
estimates,900,2015,female,16.049
medium_variant,900,2015,female,16.049
medium_variant,900,2016,female,16.403
medium_variant,900,2017,female,16.801
medium_variant,900,2018,female,17.228
medium_variant,900,2019,female,17.658
medium_variant,900,2020,female,18.082
medium_variant,900,2021,female,18.499
medium_variant,900,2022,female,18.897
medium_variant,900,2023,female,19.293
medium_variant,900,2024,female,19.709
medium_variant,900,2025,female,20.16
medium_variant,900,2026,female,20.622
medium_variant,900,2027,female,21.096
medium_variant,900,2028,female,21.588
medium_variant,900,2029,female,22.098
medium_variant,900,2030,female,22.63
medium_variant,900,2031,female,23.147
medium_variant,900,2032,female,23.668
medium_variant,900,2033,female,24.193
medium_variant,900,2034,female,24.719
medium_variant,900,2035,female,25.247
medium_variant,900,2036,female,25.724
medium_variant,900,2037,female,26.189
medium_variant,900,2038,female,26.644
medium_variant,900,2039,female,27.082
medium_variant,900,2040,female,27.506
medium_variant,900,2041,female,27.864
medium_variant,900,2042,female,28.192
medium_variant,900,2043,female,28.511
medium_variant,900,2044,female,28.847
medium_variant,900,2045,female,29.223
medium_variant,900,2046,female,29.585
medium_variant,900,2047,female,29.957
medium_variant,900,2048,female,30.354
medium_variant,900,2049,female,30.796
medium_variant,900,2050,female,31.296
medium_variant,900,2051,female,31.793
medium_variant,900,2052,female,32.322
