variant,continent,year,totaldeaths,gender
estimates,909,1950,89.271,male
estimates,909,1951,89.17,male
estimates,909,1952,89.045,male
estimates,909,1953,89.073,male
estimates,909,1954,89.256,male
estimates,909,1955,89.59,male
estimates,909,1956,90.078,male
estimates,909,1957,90.716,male
estimates,909,1958,91.502,male
estimates,909,1959,92.423,male
estimates,909,1960,93.471,male
estimates,909,1961,94.624,male
estimates,909,1962,95.857,male
estimates,909,1963,97.132,male
estimates,909,1964,98.407,male
estimates,909,1965,99.636,male
estimates,909,1966,100.784,male
estimates,909,1967,101.823,male
estimates,909,1968,102.735,male
estimates,909,1969,103.494,male
estimates,909,1970,104.072,male
estimates,909,1971,104.442,male
estimates,909,1972,104.629,male
estimates,909,1973,104.667,male
estimates,909,1974,104.585,male
estimates,909,1975,104.422,male
estimates,909,1976,104.219,male
estimates,909,1977,104.022,male
estimates,909,1978,103.889,male
estimates,909,1979,103.855,male
estimates,909,1980,103.975,male
estimates,909,1981,104.309,male
estimates,909,1982,104.842,male
estimates,909,1983,105.546,male
estimates,909,1984,106.399,male
estimates,909,1985,107.335,male
estimates,909,1986,108.281,male
estimates,909,1987,109.157,male
estimates,909,1988,109.935,male
estimates,909,1989,110.589,male
estimates,909,1990,111.148,male
estimates,909,1991,111.669,male
estimates,909,1992,112.218,male
estimates,909,1993,112.838,male
estimates,909,1994,113.529,male
estimates,909,1995,114.26,male
estimates,909,1996,114.977,male
estimates,909,1997,115.62,male
estimates,909,1998,116.168,male
estimates,909,1999,116.629,male
estimates,909,2000,117.036,male
estimates,909,2001,117.44,male
estimates,909,2002,117.901,male
estimates,909,2003,118.488,male
estimates,909,2004,119.245,male
estimates,909,2005,120.211,male
estimates,909,2006,121.414,male
estimates,909,2007,122.837,male
estimates,909,2008,124.459,male
estimates,909,2009,126.263,male
estimates,909,2010,128.228,male
estimates,909,2011,130.329,male
estimates,909,2012,132.527,male
estimates,909,2013,134.787,male
estimates,909,2014,137.083,male
estimates,909,2015,139.378,male
medium_variant,909,2015,139.378,male
medium_variant,909,2016,141.652,male
medium_variant,909,2017,143.906,male
medium_variant,909,2018,146.158,male
medium_variant,909,2019,148.418,male
medium_variant,909,2020,150.717,male
medium_variant,909,2021,153.085,male
medium_variant,909,2022,155.555,male
medium_variant,909,2023,158.16,male
medium_variant,909,2024,160.911,male
medium_variant,909,2025,163.821,male
medium_variant,909,2026,166.892,male
medium_variant,909,2027,170.097,male
medium_variant,909,2028,173.417,male
medium_variant,909,2029,176.836,male
medium_variant,909,2030,180.346,male
medium_variant,909,2031,183.946,male
medium_variant,909,2032,187.624,male
medium_variant,909,2033,191.36,male
medium_variant,909,2034,195.128,male
medium_variant,909,2035,198.899,male
medium_variant,909,2036,202.655,male
medium_variant,909,2037,206.375,male
medium_variant,909,2038,210.043,male
medium_variant,909,2039,213.642,male
medium_variant,909,2040,217.163,male
medium_variant,909,2041,220.596,male
medium_variant,909,2042,223.962,male
medium_variant,909,2043,227.264,male
medium_variant,909,2044,230.501,male
medium_variant,909,2045,233.666,male
medium_variant,909,2046,236.769,male
medium_variant,909,2047,239.804,male
medium_variant,909,2048,242.772,male
medium_variant,909,2049,245.668,male
medium_variant,909,2050,248.49,male
medium_variant,909,2051,251.217,male
medium_variant,909,2052,253.854,male
medium_variant,909,2053,256.399,male
medium_variant,909,2054,258.872,male
medium_variant,909,2055,261.276,male
medium_variant,909,2056,263.624,male
medium_variant,909,2057,265.934,male
medium_variant,909,2058,268.225,male
medium_variant,909,2059,270.512,male
medium_variant,909,2060,272.804,male
medium_variant,909,2061,275.092,male
medium_variant,909,2062,277.381,male
medium_variant,909,2063,279.673,male
medium_variant,909,2064,281.988,male
medium_variant,909,2065,284.339,male
medium_variant,909,2066,286.746,male
medium_variant,909,2067,289.222,male
medium_variant,909,2068,291.773,male
medium_variant,909,2069,294.399,male
medium_variant,909,2070,297.107,male
medium_variant,909,2071,299.911,male
medium_variant,909,2072,302.78,male
medium_variant,909,2073,305.689,male
medium_variant,909,2074,308.617,male
medium_variant,909,2075,311.512,male
medium_variant,909,2076,314.36,male
medium_variant,909,2077,317.133,male
medium_variant,909,2078,319.791,male
medium_variant,909,2079,322.312,male
medium_variant,909,2080,324.656,male
medium_variant,909,2081,326.8,male
medium_variant,909,2082,328.753,male
medium_variant,909,2083,330.525,male
medium_variant,909,2084,332.133,male
medium_variant,909,2085,333.587,male
medium_variant,909,2086,334.912,male
medium_variant,909,2087,336.14,male
medium_variant,909,2088,337.301,male
medium_variant,909,2089,338.435,male
medium_variant,909,2090,339.562,male
medium_variant,909,2091,340.701,male
medium_variant,909,2092,341.867,male
medium_variant,909,2093,343.059,male
medium_variant,909,2094,344.285,male
medium_variant,909,2095,345.544,male
medium_variant,909,2096,346.847,male
medium_variant,909,2097,348.181,male
