variant,continent,year,lifeexpectancyatbirth
estimates,935,1950,41.199
estimates,935,1951,41.517
estimates,935,1952,42.12
estimates,935,1953,42.656
estimates,935,1954,43.125
estimates,935,1955,43.531
estimates,935,1956,43.884
estimates,935,1957,44.195
estimates,935,1958,44.49
estimates,935,1959,44.812
estimates,935,1960,45.211
estimates,935,1961,45.735
estimates,935,1962,46.426
estimates,935,1963,47.302
estimates,935,1964,48.349
estimates,935,1965,49.522
estimates,935,1966,50.751
estimates,935,1967,51.955
estimates,935,1968,53.068
estimates,935,1969,54.058
estimates,935,1970,54.912
estimates,935,1971,55.641
estimates,935,1972,56.292
estimates,935,1973,56.901
estimates,935,1974,57.481
estimates,935,1975,58.041
estimates,935,1976,58.581
estimates,935,1977,59.099
estimates,935,1978,59.591
estimates,935,1979,60.063
estimates,935,1980,60.517
estimates,935,1981,60.959
estimates,935,1982,61.389
estimates,935,1983,61.808
estimates,935,1984,62.219
estimates,935,1985,62.619
estimates,935,1986,63.007
estimates,935,1987,63.379
estimates,935,1988,63.736
estimates,935,1989,64.077
estimates,935,1990,64.404
estimates,935,1991,64.716
estimates,935,1992,65.017
estimates,935,1993,65.313
estimates,935,1994,65.608
estimates,935,1995,65.909
estimates,935,1996,66.226
estimates,935,1997,66.559
estimates,935,1998,66.911
estimates,935,1999,67.279
estimates,935,2000,67.66
estimates,935,2001,68.048
estimates,935,2002,68.434
estimates,935,2003,68.811
estimates,935,2004,69.176
estimates,935,2005,69.526
estimates,935,2006,69.863
estimates,935,2007,70.19
estimates,935,2008,70.51
estimates,935,2009,70.82
estimates,935,2010,71.119
estimates,935,2011,71.403
estimates,935,2012,71.671
estimates,935,2013,71.921
estimates,935,2014,72.154
estimates,935,2015,72.373
medium_variant,935,2015,72.373
medium_variant,935,2016,72.578
medium_variant,935,2017,72.776
medium_variant,935,2018,72.967
medium_variant,935,2019,73.155
medium_variant,935,2020,73.341
medium_variant,935,2021,73.524
medium_variant,935,2022,73.704
medium_variant,935,2023,73.88
medium_variant,935,2024,74.052
medium_variant,935,2025,74.22
medium_variant,935,2026,74.385
medium_variant,935,2027,74.548
medium_variant,935,2028,74.708
medium_variant,935,2029,74.866
medium_variant,935,2030,75.022
medium_variant,935,2031,75.175
medium_variant,935,2032,75.325
medium_variant,935,2033,75.473
medium_variant,935,2034,75.618
medium_variant,935,2035,75.762
medium_variant,935,2036,75.903
medium_variant,935,2037,76.043
medium_variant,935,2038,76.182
medium_variant,935,2039,76.32
medium_variant,935,2040,76.457
medium_variant,935,2041,76.593
medium_variant,935,2042,76.729
medium_variant,935,2043,76.863
medium_variant,935,2044,76.996
medium_variant,935,2045,77.128
medium_variant,935,2046,77.26
medium_variant,935,2047,77.39
medium_variant,935,2048,77.52
medium_variant,935,2049,77.649
medium_variant,935,2050,77.777
medium_variant,935,2051,77.905
medium_variant,935,2052,78.031
medium_variant,935,2053,78.156
medium_variant,935,2054,78.281
medium_variant,935,2055,78.404
medium_variant,935,2056,78.527
medium_variant,935,2057,78.649
medium_variant,935,2058,78.77
medium_variant,935,2059,78.891
medium_variant,935,2060,79.012
medium_variant,935,2061,79.132
medium_variant,935,2062,79.252
medium_variant,935,2063,79.371
medium_variant,935,2064,79.489
medium_variant,935,2065,79.607
medium_variant,935,2066,79.724
medium_variant,935,2067,79.842
medium_variant,935,2068,79.959
medium_variant,935,2069,80.077
medium_variant,935,2070,80.195
medium_variant,935,2071,80.312
medium_variant,935,2072,80.429
medium_variant,935,2073,80.546
medium_variant,935,2074,80.663
medium_variant,935,2075,80.78
medium_variant,935,2076,80.897
medium_variant,935,2077,81.014
medium_variant,935,2078,81.132
medium_variant,935,2079,81.249
medium_variant,935,2080,81.368
medium_variant,935,2081,81.487
medium_variant,935,2082,81.606
medium_variant,935,2083,81.727
medium_variant,935,2084,81.848
medium_variant,935,2085,81.97
medium_variant,935,2086,82.092
medium_variant,935,2087,82.213
medium_variant,935,2088,82.335
medium_variant,935,2089,82.457
medium_variant,935,2090,82.578
medium_variant,935,2091,82.7
medium_variant,935,2092,82.823
medium_variant,935,2093,82.946
medium_variant,935,2094,83.071
medium_variant,935,2095,83.196
medium_variant,935,2096,83.323
medium_variant,935,2097,83.45
medium_variant,935,2098,83.579
medium_variant,935,2099,83.71
