variant,continent,year,lifeexpectancyatbirth
estimates,908,1950,61.978
estimates,908,1951,62.429
estimates,908,1952,63.304
estimates,908,1953,64.126
estimates,908,1954,64.895
estimates,908,1955,65.61
estimates,908,1956,66.272
estimates,908,1957,66.879
estimates,908,1958,67.431
estimates,908,1959,67.927
estimates,908,1960,68.365
estimates,908,1961,68.744
estimates,908,1962,69.066
estimates,908,1963,69.334
estimates,908,1964,69.557
estimates,908,1965,69.74
estimates,908,1966,69.894
estimates,908,1967,70.026
estimates,908,1968,70.144
estimates,908,1969,70.255
estimates,908,1970,70.363
estimates,908,1971,70.468
estimates,908,1972,70.566
estimates,908,1973,70.657
estimates,908,1974,70.743
estimates,908,1975,70.827
estimates,908,1976,70.909
estimates,908,1977,70.992
estimates,908,1978,71.079
estimates,908,1979,71.176
estimates,908,1980,71.292
estimates,908,1981,71.441
estimates,908,1982,71.623
estimates,908,1983,71.834
estimates,908,1984,72.064
estimates,908,1985,72.293
estimates,908,1986,72.495
estimates,908,1987,72.651
estimates,908,1988,72.752
estimates,908,1989,72.797
estimates,908,1990,72.798
estimates,908,1991,72.772
estimates,908,1992,72.745
estimates,908,1993,72.739
estimates,908,1994,72.763
estimates,908,1995,72.819
estimates,908,1996,72.904
estimates,908,1997,73.004
estimates,908,1998,73.113
estimates,908,1999,73.233
estimates,908,2000,73.367
estimates,908,2001,73.522
estimates,908,2002,73.706
estimates,908,2003,73.921
estimates,908,2004,74.169
estimates,908,2005,74.454
estimates,908,2006,74.778
estimates,908,2007,75.135
estimates,908,2008,75.515
estimates,908,2009,75.905
estimates,908,2010,76.291
estimates,908,2011,76.654
estimates,908,2012,76.984
estimates,908,2013,77.274
estimates,908,2014,77.52
estimates,908,2015,77.728
medium_variant,908,2015,77.728
medium_variant,908,2016,77.904
medium_variant,908,2017,78.064
medium_variant,908,2018,78.221
medium_variant,908,2019,78.381
medium_variant,908,2020,78.547
medium_variant,908,2021,78.72
medium_variant,908,2022,78.896
medium_variant,908,2023,79.071
medium_variant,908,2024,79.244
medium_variant,908,2025,79.415
medium_variant,908,2026,79.585
medium_variant,908,2027,79.754
medium_variant,908,2028,79.92
medium_variant,908,2029,80.084
medium_variant,908,2030,80.246
medium_variant,908,2031,80.406
medium_variant,908,2032,80.564
medium_variant,908,2033,80.72
medium_variant,908,2034,80.874
medium_variant,908,2035,81.027
medium_variant,908,2036,81.178
medium_variant,908,2037,81.327
medium_variant,908,2038,81.476
medium_variant,908,2039,81.624
medium_variant,908,2040,81.77
medium_variant,908,2041,81.916
medium_variant,908,2042,82.061
medium_variant,908,2043,82.204
medium_variant,908,2044,82.347
medium_variant,908,2045,82.488
medium_variant,908,2046,82.629
medium_variant,908,2047,82.769
medium_variant,908,2048,82.908
medium_variant,908,2049,83.046
medium_variant,908,2050,83.183
medium_variant,908,2051,83.319
medium_variant,908,2052,83.455
medium_variant,908,2053,83.589
medium_variant,908,2054,83.723
medium_variant,908,2055,83.857
medium_variant,908,2056,83.99
medium_variant,908,2057,84.123
medium_variant,908,2058,84.255
medium_variant,908,2059,84.388
medium_variant,908,2060,84.521
medium_variant,908,2061,84.655
medium_variant,908,2062,84.79
medium_variant,908,2063,84.925
medium_variant,908,2064,85.061
medium_variant,908,2065,85.198
medium_variant,908,2066,85.335
medium_variant,908,2067,85.473
medium_variant,908,2068,85.611
medium_variant,908,2069,85.749
medium_variant,908,2070,85.887
medium_variant,908,2071,86.025
medium_variant,908,2072,86.163
medium_variant,908,2073,86.301
medium_variant,908,2074,86.439
medium_variant,908,2075,86.576
medium_variant,908,2076,86.712
medium_variant,908,2077,86.848
medium_variant,908,2078,86.982
medium_variant,908,2079,87.115
medium_variant,908,2080,87.246
medium_variant,908,2081,87.375
medium_variant,908,2082,87.503
medium_variant,908,2083,87.629
medium_variant,908,2084,87.753
medium_variant,908,2085,87.875
medium_variant,908,2086,87.996
medium_variant,908,2087,88.116
medium_variant,908,2088,88.234
medium_variant,908,2089,88.351
medium_variant,908,2090,88.468
medium_variant,908,2091,88.583
medium_variant,908,2092,88.699
medium_variant,908,2093,88.813
medium_variant,908,2094,88.928
medium_variant,908,2095,89.042
medium_variant,908,2096,89.155
medium_variant,908,2097,89.269
medium_variant,908,2098,89.382
medium_variant,908,2099,89.494
