variant,continent,year,lifeexpectancyatbirth
estimates,904,1950,50.04
estimates,904,1951,50.352
estimates,904,1952,50.971
estimates,904,1953,51.58
estimates,904,1954,52.178
estimates,904,1955,52.767
estimates,904,1956,53.345
estimates,904,1957,53.912
estimates,904,1958,54.466
estimates,904,1959,55.007
estimates,904,1960,55.531
estimates,904,1961,56.036
estimates,904,1962,56.523
estimates,904,1963,56.99
estimates,904,1964,57.44
estimates,904,1965,57.879
estimates,904,1966,58.313
estimates,904,1967,58.746
estimates,904,1968,59.182
estimates,904,1969,59.621
estimates,904,1970,60.061
estimates,904,1971,60.496
estimates,904,1972,60.92
estimates,904,1973,61.33
estimates,904,1974,61.726
estimates,904,1975,62.109
estimates,904,1976,62.483
estimates,904,1977,62.852
estimates,904,1978,63.22
estimates,904,1979,63.59
estimates,904,1980,63.961
estimates,904,1981,64.333
estimates,904,1982,64.702
estimates,904,1983,65.067
estimates,904,1984,65.427
estimates,904,1985,65.783
estimates,904,1986,66.134
estimates,904,1987,66.481
estimates,904,1988,66.826
estimates,904,1989,67.171
estimates,904,1990,67.522
estimates,904,1991,67.883
estimates,904,1992,68.257
estimates,904,1993,68.644
estimates,904,1994,69.041
estimates,904,1995,69.444
estimates,904,1996,69.848
estimates,904,1997,70.245
estimates,904,1998,70.63
estimates,904,1999,70.999
estimates,904,2000,71.348
estimates,904,2001,71.676
estimates,904,2002,71.985
estimates,904,2003,72.278
estimates,904,2004,72.558
estimates,904,2005,72.826
estimates,904,2006,73.085
estimates,904,2007,73.336
estimates,904,2008,73.584
estimates,904,2009,73.827
estimates,904,2010,74.068
estimates,904,2011,74.304
estimates,904,2012,74.535
estimates,904,2013,74.759
estimates,904,2014,74.977
estimates,904,2015,75.19
medium_variant,904,2015,75.19
medium_variant,904,2016,75.398
medium_variant,904,2017,75.604
medium_variant,904,2018,75.808
medium_variant,904,2019,76.01
medium_variant,904,2020,76.212
medium_variant,904,2021,76.414
medium_variant,904,2022,76.613
medium_variant,904,2023,76.812
medium_variant,904,2024,77.008
medium_variant,904,2025,77.204
medium_variant,904,2026,77.398
medium_variant,904,2027,77.591
medium_variant,904,2028,77.782
medium_variant,904,2029,77.973
medium_variant,904,2030,78.163
medium_variant,904,2031,78.352
medium_variant,904,2032,78.54
medium_variant,904,2033,78.727
medium_variant,904,2034,78.913
medium_variant,904,2035,79.098
medium_variant,904,2036,79.281
medium_variant,904,2037,79.464
medium_variant,904,2038,79.646
medium_variant,904,2039,79.826
medium_variant,904,2040,80.006
medium_variant,904,2041,80.185
medium_variant,904,2042,80.363
medium_variant,904,2043,80.541
medium_variant,904,2044,80.717
medium_variant,904,2045,80.893
medium_variant,904,2046,81.068
medium_variant,904,2047,81.242
medium_variant,904,2048,81.414
medium_variant,904,2049,81.585
medium_variant,904,2050,81.754
medium_variant,904,2051,81.921
medium_variant,904,2052,82.085
medium_variant,904,2053,82.247
medium_variant,904,2054,82.406
medium_variant,904,2055,82.562
medium_variant,904,2056,82.716
medium_variant,904,2057,82.867
medium_variant,904,2058,83.016
medium_variant,904,2059,83.162
medium_variant,904,2060,83.306
medium_variant,904,2061,83.448
medium_variant,904,2062,83.588
medium_variant,904,2063,83.726
medium_variant,904,2064,83.862
medium_variant,904,2065,83.997
medium_variant,904,2066,84.13
medium_variant,904,2067,84.261
medium_variant,904,2068,84.39
medium_variant,904,2069,84.518
medium_variant,904,2070,84.645
medium_variant,904,2071,84.771
medium_variant,904,2072,84.896
medium_variant,904,2073,85.021
medium_variant,904,2074,85.145
medium_variant,904,2075,85.268
medium_variant,904,2076,85.39
medium_variant,904,2077,85.512
medium_variant,904,2078,85.632
medium_variant,904,2079,85.752
medium_variant,904,2080,85.87
medium_variant,904,2081,85.987
medium_variant,904,2082,86.104
medium_variant,904,2083,86.22
medium_variant,904,2084,86.335
medium_variant,904,2085,86.45
medium_variant,904,2086,86.565
medium_variant,904,2087,86.68
medium_variant,904,2088,86.794
medium_variant,904,2089,86.909
medium_variant,904,2090,87.023
medium_variant,904,2091,87.138
medium_variant,904,2092,87.252
medium_variant,904,2093,87.366
medium_variant,904,2094,87.479
medium_variant,904,2095,87.592
medium_variant,904,2096,87.704
medium_variant,904,2097,87.816
medium_variant,904,2098,87.928
medium_variant,904,2099,88.039
