variant,continent,year,lifeexpectancyatbirth
estimates,909,1950,60.664
estimates,909,1951,60.909
estimates,909,1952,61.381
estimates,909,1953,61.818
estimates,909,1954,62.22
estimates,909,1955,62.588
estimates,909,1956,62.921
estimates,909,1957,63.221
estimates,909,1958,63.49
estimates,909,1959,63.73
estimates,909,1960,63.946
estimates,909,1961,64.143
estimates,909,1962,64.327
estimates,909,1963,64.506
estimates,909,1964,64.688
estimates,909,1965,64.879
estimates,909,1966,65.085
estimates,909,1967,65.306
estimates,909,1968,65.544
estimates,909,1969,65.802
estimates,909,1970,66.081
estimates,909,1971,66.382
estimates,909,1972,66.703
estimates,909,1973,67.038
estimates,909,1974,67.386
estimates,909,1975,67.745
estimates,909,1976,68.116
estimates,909,1977,68.494
estimates,909,1978,68.876
estimates,909,1979,69.253
estimates,909,1980,69.613
estimates,909,1981,69.943
estimates,909,1982,70.239
estimates,909,1983,70.5
estimates,909,1984,70.73
estimates,909,1985,70.943
estimates,909,1986,71.156
estimates,909,1987,71.384
estimates,909,1988,71.638
estimates,909,1989,71.919
estimates,909,1990,72.222
estimates,909,1991,72.533
estimates,909,1992,72.837
estimates,909,1993,73.122
estimates,909,1994,73.386
estimates,909,1995,73.634
estimates,909,1996,73.872
estimates,909,1997,74.114
estimates,909,1998,74.367
estimates,909,1999,74.635
estimates,909,2000,74.917
estimates,909,2001,75.211
estimates,909,2002,75.512
estimates,909,2003,75.81
estimates,909,2004,76.103
estimates,909,2005,76.383
estimates,909,2006,76.646
estimates,909,2007,76.891
estimates,909,2008,77.116
estimates,909,2009,77.323
estimates,909,2010,77.513
estimates,909,2011,77.69
estimates,909,2012,77.86
estimates,909,2013,78.026
estimates,909,2014,78.191
estimates,909,2015,78.356
medium_variant,909,2015,78.356
medium_variant,909,2016,78.523
medium_variant,909,2017,78.689
medium_variant,909,2018,78.852
medium_variant,909,2019,79.012
medium_variant,909,2020,79.168
medium_variant,909,2021,79.319
medium_variant,909,2022,79.465
medium_variant,909,2023,79.605
medium_variant,909,2024,79.739
medium_variant,909,2025,79.868
medium_variant,909,2026,79.992
medium_variant,909,2027,80.113
medium_variant,909,2028,80.232
medium_variant,909,2029,80.35
medium_variant,909,2030,80.465
medium_variant,909,2031,80.58
medium_variant,909,2032,80.692
medium_variant,909,2033,80.802
medium_variant,909,2034,80.911
medium_variant,909,2035,81.018
medium_variant,909,2036,81.125
medium_variant,909,2037,81.232
medium_variant,909,2038,81.339
medium_variant,909,2039,81.445
medium_variant,909,2040,81.552
medium_variant,909,2041,81.658
medium_variant,909,2042,81.764
medium_variant,909,2043,81.868
medium_variant,909,2044,81.97
medium_variant,909,2045,82.072
medium_variant,909,2046,82.172
medium_variant,909,2047,82.271
medium_variant,909,2048,82.369
medium_variant,909,2049,82.467
medium_variant,909,2050,82.564
medium_variant,909,2051,82.661
medium_variant,909,2052,82.758
medium_variant,909,2053,82.854
medium_variant,909,2054,82.95
medium_variant,909,2055,83.046
medium_variant,909,2056,83.142
medium_variant,909,2057,83.237
medium_variant,909,2058,83.332
medium_variant,909,2059,83.427
medium_variant,909,2060,83.522
medium_variant,909,2061,83.617
medium_variant,909,2062,83.712
medium_variant,909,2063,83.806
medium_variant,909,2064,83.901
medium_variant,909,2065,83.996
medium_variant,909,2066,84.091
medium_variant,909,2067,84.186
medium_variant,909,2068,84.281
medium_variant,909,2069,84.376
medium_variant,909,2070,84.472
medium_variant,909,2071,84.568
medium_variant,909,2072,84.664
medium_variant,909,2073,84.76
medium_variant,909,2074,84.856
medium_variant,909,2075,84.954
medium_variant,909,2076,85.053
medium_variant,909,2077,85.153
medium_variant,909,2078,85.254
medium_variant,909,2079,85.357
medium_variant,909,2080,85.461
medium_variant,909,2081,85.566
medium_variant,909,2082,85.672
medium_variant,909,2083,85.778
medium_variant,909,2084,85.884
medium_variant,909,2085,85.991
medium_variant,909,2086,86.098
medium_variant,909,2087,86.205
medium_variant,909,2088,86.312
medium_variant,909,2089,86.42
medium_variant,909,2090,86.528
medium_variant,909,2091,86.637
medium_variant,909,2092,86.747
medium_variant,909,2093,86.858
medium_variant,909,2094,86.97
medium_variant,909,2095,87.084
medium_variant,909,2096,87.198
medium_variant,909,2097,87.314
medium_variant,909,2098,87.431
medium_variant,909,2099,87.549
