variant,continent,year,gender,childdependencyratio2069
estimates,909,1950,male,64.439
estimates,909,1951,male,65.544
estimates,909,1952,male,66.541
estimates,909,1953,male,67.686
estimates,909,1954,male,68.963
estimates,909,1955,male,70.248
estimates,909,1956,male,71.597
estimates,909,1957,male,73.059
estimates,909,1958,male,74.436
estimates,909,1959,male,75.587
estimates,909,1960,male,76.482
estimates,909,1961,male,77.823
estimates,909,1962,male,78.809
estimates,909,1963,male,79.458
estimates,909,1964,male,79.813
estimates,909,1965,male,79.905
estimates,909,1966,male,80.086
estimates,909,1967,male,79.871
estimates,909,1968,male,79.361
estimates,909,1969,male,78.719
estimates,909,1970,male,78.072
estimates,909,1971,male,77.636
estimates,909,1972,male,77.314
estimates,909,1973,male,76.939
estimates,909,1974,male,76.316
estimates,909,1975,male,75.395
estimates,909,1976,male,74.891
estimates,909,1977,male,73.983
estimates,909,1978,male,72.861
estimates,909,1979,male,71.772
estimates,909,1980,male,70.828
estimates,909,1981,male,69.569
estimates,909,1982,male,68.572
estimates,909,1983,male,67.729
estimates,909,1984,male,66.865
estimates,909,1985,male,65.919
estimates,909,1986,male,65.298
estimates,909,1987,male,64.543
estimates,909,1988,male,63.744
estimates,909,1989,male,63.006
estimates,909,1990,male,62.345
estimates,909,1991,male,61.632
estimates,909,1992,male,60.986
estimates,909,1993,male,60.414
estimates,909,1994,male,59.903
estimates,909,1995,male,59.452
estimates,909,1996,male,59.103
estimates,909,1997,male,58.837
estimates,909,1998,male,58.656
estimates,909,1999,male,58.522
estimates,909,2000,male,58.371
estimates,909,2001,male,58.051
estimates,909,2002,male,57.619
estimates,909,2003,male,57.083
estimates,909,2004,male,56.504
estimates,909,2005,male,55.955
estimates,909,2006,male,55.61
estimates,909,2007,male,55.239
estimates,909,2008,male,54.804
estimates,909,2009,male,54.268
estimates,909,2010,male,53.64
estimates,909,2011,male,53.513
estimates,909,2012,male,53.234
estimates,909,2013,male,52.86
estimates,909,2014,male,52.496
estimates,909,2015,male,52.21
medium_variant,909,2015,male,52.21
medium_variant,909,2016,male,52.019
medium_variant,909,2017,male,51.972
medium_variant,909,2018,male,52.006
medium_variant,909,2019,male,52.022
medium_variant,909,2020,male,51.971
medium_variant,909,2021,male,52.043
medium_variant,909,2022,male,52.038
medium_variant,909,2023,male,51.963
medium_variant,909,2024,male,51.838
medium_variant,909,2025,male,51.67
medium_variant,909,2026,male,51.496
medium_variant,909,2027,male,51.275
medium_variant,909,2028,male,51.015
medium_variant,909,2029,male,50.727
medium_variant,909,2030,male,50.426
medium_variant,909,2031,male,50.222
medium_variant,909,2032,male,50
medium_variant,909,2033,male,49.754
medium_variant,909,2034,male,49.472
medium_variant,909,2035,male,49.153
medium_variant,909,2036,male,48.883
medium_variant,909,2037,male,48.576
medium_variant,909,2038,male,48.247
medium_variant,909,2039,male,47.916
medium_variant,909,2040,male,47.596
medium_variant,909,2041,male,47.378
medium_variant,909,2042,male,47.164
medium_variant,909,2043,male,46.949
medium_variant,909,2044,male,46.723
medium_variant,909,2045,male,46.482
medium_variant,909,2046,male,46.31
medium_variant,909,2047,male,46.117
medium_variant,909,2048,male,45.915
medium_variant,909,2049,male,45.716
medium_variant,909,2050,male,45.53
medium_variant,909,2051,male,45.422
medium_variant,909,2052,male,45.318
medium_variant,909,2053,male,45.213
medium_variant,909,2054,male,45.096
medium_variant,909,2055,male,44.963
medium_variant,909,2056,male,44.881
medium_variant,909,2057,male,44.78
medium_variant,909,2058,male,44.661
medium_variant,909,2059,male,44.524
medium_variant,909,2060,male,44.369
medium_variant,909,2061,male,44.262
medium_variant,909,2062,male,44.134
medium_variant,909,2063,male,43.985
medium_variant,909,2064,male,43.812
medium_variant,909,2065,male,43.616
medium_variant,909,2066,male,43.459
medium_variant,909,2067,male,43.278
medium_variant,909,2068,male,43.077
medium_variant,909,2069,male,42.861
medium_variant,909,2070,male,42.634
medium_variant,909,2071,male,42.457
medium_variant,909,2072,male,42.267
medium_variant,909,2073,male,42.071
medium_variant,909,2074,male,41.875
medium_variant,909,2075,male,41.685
medium_variant,909,2076,male,41.555
medium_variant,909,2077,male,41.427
medium_variant,909,2078,male,41.3
medium_variant,909,2079,male,41.168
medium_variant,909,2080,male,41.032
medium_variant,909,2081,male,40.939
medium_variant,909,2082,male,40.838
medium_variant,909,2083,male,40.73
medium_variant,909,2084,male,40.618
medium_variant,909,2085,male,40.502
medium_variant,909,2086,male,40.428
medium_variant,909,2087,male,40.347
medium_variant,909,2088,male,40.257
medium_variant,909,2089,male,40.158
medium_variant,909,2090,male,40.047
medium_variant,909,2091,male,39.967
medium_variant,909,2092,male,39.875
medium_variant,909,2093,male,39.77
medium_variant,909,2094,male,39.655
medium_variant,909,2095,male,39.529
medium_variant,909,2096,male,39.434
medium_variant,909,2097,male,39.328
medium_variant,909,2098,male,39.211
medium_variant,909,2099,male,39.086
medium_variant,909,2100,male,38.955
estimates,909,1950,female,63.73
estimates,909,1951,female,64.888
estimates,909,1952,female,65.985
estimates,909,1953,female,67.254
estimates,909,1954,female,68.677
estimates,909,1955,female,70.128
estimates,909,1956,female,71.425
estimates,909,1957,female,72.801
estimates,909,1958,female,74.098
estimates,909,1959,female,75.204
estimates,909,1960,female,76.101
estimates,909,1961,female,77.271
estimates,909,1962,female,78.143
