continent,variant,gender,freq,year,lifeexpectancyat60
909,estimates,female,5yearly,1950,18.1173003556718
909,estimates,male,5yearly,1950,14.9075786212222
909,estimates,female,5yearly,1955,18.6719557355858
909,estimates,male,5yearly,1955,15.1916228321471
909,estimates,female,5yearly,1960,19.0493636931106
909,estimates,male,5yearly,1960,15.1969493423335
909,estimates,female,5yearly,1965,19.1417963837371
909,estimates,male,5yearly,1965,15.0139751801644
909,estimates,female,5yearly,1970,19.7182239538673
909,estimates,male,5yearly,1970,15.450349688088
909,estimates,female,5yearly,1975,20.7347942377684
909,estimates,male,5yearly,1975,16.2898099398649
909,estimates,female,5yearly,1980,21.4830544500461
909,estimates,male,5yearly,1980,16.9608877149833
909,estimates,female,5yearly,1985,21.8916501484664
909,estimates,male,5yearly,1985,17.6032963874417
909,estimates,female,5yearly,1990,22.7270766866336
909,estimates,male,5yearly,1990,18.5595057834794
909,estimates,female,5yearly,1995,23.39646283962
909,estimates,male,5yearly,1995,19.4647360817474
909,estimates,female,5yearly,2000,24.1643032235288
909,estimates,male,5yearly,2000,20.5942543123927
909,estimates,female,5yearly,2005,24.8749844152186
909,estimates,male,5yearly,2005,21.6036330220548
909,estimates,female,5yearly,2010,25.3786589807472
909,estimates,male,5yearly,2010,22.3318867021055
909,medium_variant,female,5yearly,2015,25.677154553804
909,medium_variant,male,5yearly,2015,22.8365067730165
909,medium_variant,female,5yearly,2020,26.0859704650433
909,medium_variant,male,5yearly,2020,23.4151009943463
909,medium_variant,female,5yearly,2025,26.4585406636434
909,medium_variant,male,5yearly,2025,23.8585587990745
909,medium_variant,female,5yearly,2030,26.8257475074536
909,medium_variant,male,5yearly,2030,24.1972858947247
909,medium_variant,female,5yearly,2035,27.1541978147537
909,medium_variant,male,5yearly,2035,24.4866762218381
909,medium_variant,female,5yearly,2040,27.4644646605291
909,medium_variant,male,5yearly,2040,24.7596207590926
909,medium_variant,female,5yearly,2045,27.8028480518362
909,medium_variant,male,5yearly,2045,25.0538116677951
909,medium_variant,female,5yearly,2050,28.1555529302567
909,medium_variant,male,5yearly,2050,25.3595123747935
909,medium_variant,female,5yearly,2055,28.4604411139578
909,medium_variant,male,5yearly,2055,25.6451424313515
909,medium_variant,female,5yearly,2060,28.7671364632317
909,medium_variant,male,5yearly,2060,25.8736899265485
909,medium_variant,female,5yearly,2065,29.0871769434363
909,medium_variant,male,5yearly,2065,26.1118213222728
909,medium_variant,female,5yearly,2070,29.4361644302086
909,medium_variant,male,5yearly,2070,26.3817430647851
909,medium_variant,female,5yearly,2075,29.7856520344575
909,medium_variant,male,5yearly,2075,26.6731740254943
909,medium_variant,female,5yearly,2080,30.1600071908546
909,medium_variant,male,5yearly,2080,27.0351155221572
909,medium_variant,female,5yearly,2085,30.5320553064954
909,medium_variant,male,5yearly,2085,27.4171638327124
909,medium_variant,female,5yearly,2090,30.9389674795305
909,medium_variant,male,5yearly,2090,27.7711643817272
909,medium_variant,female,5yearly,2095,31.3809629445893
909,medium_variant,male,5yearly,2095,28.1636959059563
