region,variant,freq,year,lifeexpectancyatbirth
913,estimates,5yearly,1950,47.8046302631783
913,estimates,5yearly,1955,50.5751564818057
913,estimates,5yearly,1960,52.4288283557636
913,estimates,5yearly,1965,54.2270025930196
913,estimates,5yearly,1970,56.0948789851369
913,estimates,5yearly,1975,57.00946093088
913,estimates,5yearly,1980,58.2061425698284
913,estimates,5yearly,1985,60.7841347769475
913,estimates,5yearly,1990,61.938187409266
913,estimates,5yearly,1995,58.4826665488374
913,estimates,5yearly,2000,53.2009613804987
913,estimates,5yearly,2005,52.9782466349391
913,estimates,5yearly,2010,59.3042212818733
913,medium_variant,5yearly,2015,63.4656837440228
913,medium_variant,5yearly,2020,64.7603191240107
913,medium_variant,5yearly,2025,66.0111615575831
913,medium_variant,5yearly,2030,67.2564009855551
913,medium_variant,5yearly,2035,68.5053988276627
913,medium_variant,5yearly,2040,69.6967878537139
913,medium_variant,5yearly,2045,70.8547834469941
913,medium_variant,5yearly,2050,72.0443259223266
913,medium_variant,5yearly,2055,73.1992427617933
913,medium_variant,5yearly,2060,74.2978885311433
913,medium_variant,5yearly,2065,75.2948041084748
913,medium_variant,5yearly,2070,76.1799997598304
913,medium_variant,5yearly,2075,77.0016384719656
913,medium_variant,5yearly,2080,77.7874284918997
913,medium_variant,5yearly,2085,78.5476481396717
913,medium_variant,5yearly,2090,79.287789487568
913,medium_variant,5yearly,2095,80.0076650610251
