region,variant,freq,year,lifeexpectancyatbirth
911,estimates,5yearly,1950,36.9020487395612
911,estimates,5yearly,1955,38.4490955130555
911,estimates,5yearly,1960,40.0077638472905
911,estimates,5yearly,1965,41.8193460559006
911,estimates,5yearly,1970,43.9892090619838
911,estimates,5yearly,1975,45.5694838863272
911,estimates,5yearly,1980,47.0652909707413
911,estimates,5yearly,1985,47.9616490746912
911,estimates,5yearly,1990,48.4582403022868
911,estimates,5yearly,1995,48.1687577971759
911,estimates,5yearly,2000,50.7887560740374
911,estimates,5yearly,2005,54.4221817553656
911,estimates,5yearly,2010,57.4255270268617
911,medium_variant,5yearly,2015,59.5656419321425
911,medium_variant,5yearly,2020,61.5395063034447
911,medium_variant,5yearly,2025,63.3657900457192
911,medium_variant,5yearly,2030,65.0537945691769
911,medium_variant,5yearly,2035,66.5620426614952
911,medium_variant,5yearly,2040,67.9092478719087
911,medium_variant,5yearly,2045,69.1215565294314
911,medium_variant,5yearly,2050,70.2422260301525
911,medium_variant,5yearly,2055,71.2532043766828
911,medium_variant,5yearly,2060,72.1797148024534
911,medium_variant,5yearly,2065,73.0345198025865
911,medium_variant,5yearly,2070,73.846978741248
911,medium_variant,5yearly,2075,74.6368696161692
911,medium_variant,5yearly,2080,75.3905357911867
911,medium_variant,5yearly,2085,76.1371503728968
911,medium_variant,5yearly,2090,76.8618599292481
911,medium_variant,5yearly,2095,77.5759893191112
911,estimates,5yearly,Regi,Middle Africa
911,medium_variant,5yearly,Regi,Middle Africa
