region,variant,freq,year,lifeexpectancyatbirth
1503,estimates,5yearly,1950,65.2864508710151
1503,estimates,5yearly,1955,67.3193165233443
1503,estimates,5yearly,1960,68.697069282007
1503,estimates,5yearly,1965,69.7576499339776
1503,estimates,5yearly,1970,71.0272349921315
1503,estimates,5yearly,1975,72.4639693298804
1503,estimates,5yearly,1980,73.7720914412592
1503,estimates,5yearly,1985,74.9126736671403
1503,estimates,5yearly,1990,75.9355045293949
1503,estimates,5yearly,1995,77.1040085334771
1503,estimates,5yearly,2000,78.3227472856189
1503,estimates,5yearly,2005,79.4670342754255
1503,estimates,5yearly,2010,80.4125521169984
1503,medium_variant,5yearly,2015,81.2154707653626
1503,medium_variant,5yearly,2020,81.9903060164383
1503,medium_variant,5yearly,2025,82.725850908323
1503,medium_variant,5yearly,2030,83.43078906215
1503,medium_variant,5yearly,2035,84.0985567959614
1503,medium_variant,5yearly,2040,84.739964615636
1503,medium_variant,5yearly,2045,85.3547697156219
1503,medium_variant,5yearly,2050,85.9483161934352
1503,medium_variant,5yearly,2055,86.5300059640158
1503,medium_variant,5yearly,2060,87.1039206522921
1503,medium_variant,5yearly,2065,87.6777744475089
1503,medium_variant,5yearly,2070,88.2301236280972
1503,medium_variant,5yearly,2075,88.7848200983791
1503,medium_variant,5yearly,2080,89.3336649630453
1503,medium_variant,5yearly,2085,89.8824624673037
1503,medium_variant,5yearly,2090,90.4344937319795
1503,medium_variant,5yearly,2095,90.9789259851807
1503,estimates,5yearly,Regi,High-income countries
1503,medium_variant,5yearly,Regi,High-income countries
