region,variant,freq,year,lifeexpectancyatbirth
947,estimates,5yearly,1950,36.3342956353053
947,estimates,5yearly,1955,38.5146134551443
947,estimates,5yearly,1960,40.7376443858208
947,estimates,5yearly,1965,42.7033020392611
947,estimates,5yearly,1970,44.802196853884
947,estimates,5yearly,1975,46.7577608773828
947,estimates,5yearly,1980,48.1858564228788
947,estimates,5yearly,1985,49.1151892093065
947,estimates,5yearly,1990,48.867631453013
947,estimates,5yearly,1995,49.3938011997519
947,estimates,5yearly,2000,50.711723013367
947,estimates,5yearly,2005,54.2873521638661
947,estimates,5yearly,2010,57.8788827570881
947,medium_variant,5yearly,2015,60.3566105946305
947,medium_variant,5yearly,2020,62.20681337525
947,medium_variant,5yearly,2025,63.9680172295345
947,medium_variant,5yearly,2030,65.6037700166302
947,medium_variant,5yearly,2035,67.0753514555466
947,medium_variant,5yearly,2040,68.4018026370787
947,medium_variant,5yearly,2045,69.6186611033619
947,medium_variant,5yearly,2050,70.7531141987208
947,medium_variant,5yearly,2055,71.7819797572189
947,medium_variant,5yearly,2060,72.7112306931748
947,medium_variant,5yearly,2065,73.5689000604993
947,medium_variant,5yearly,2070,74.3529900367563
947,medium_variant,5yearly,2075,75.0857598281922
947,medium_variant,5yearly,2080,75.7851337637087
947,medium_variant,5yearly,2085,76.4531240994374
947,medium_variant,5yearly,2090,77.1076434302676
947,medium_variant,5yearly,2095,77.7493726390026
947,estimates,5yearly,Regi,Sub-Saharan Africa
947,medium_variant,5yearly,Regi,Sub-Saharan Africa
