region,variant,freq,year,lifeexpectancyatbirth
948,estimates,5yearly,1950,40.7692591867315
948,estimates,5yearly,1955,44.0594081985335
948,estimates,5yearly,1960,47.0348462587859
948,estimates,5yearly,1965,49.8850580480196
948,estimates,5yearly,1970,52.2200089260008
948,estimates,5yearly,1975,54.7112381406169
948,estimates,5yearly,1980,56.8658597823576
948,estimates,5yearly,1985,58.7038788369414
948,estimates,5yearly,1990,60.2135682534583
948,estimates,5yearly,1995,61.7048253084993
948,estimates,5yearly,2000,63.3016703841878
948,estimates,5yearly,2005,65.3371437291977
948,estimates,5yearly,2010,67.3400074780396
948,medium_variant,5yearly,2015,68.7399190055705
948,medium_variant,5yearly,2020,69.9164158386794
948,medium_variant,5yearly,2025,70.9929422940161
948,medium_variant,5yearly,2030,72.0033601847495
948,medium_variant,5yearly,2035,72.9393183908622
948,medium_variant,5yearly,2040,73.8268276436185
948,medium_variant,5yearly,2045,74.6589221380341
948,medium_variant,5yearly,2050,75.4476240932408
948,medium_variant,5yearly,2055,76.1695640635757
948,medium_variant,5yearly,2060,76.8418637314354
948,medium_variant,5yearly,2065,77.4748354962523
948,medium_variant,5yearly,2070,78.0789404369461
948,medium_variant,5yearly,2075,78.6613567687047
948,medium_variant,5yearly,2080,79.2280725899398
948,medium_variant,5yearly,2085,79.7922971677704
948,medium_variant,5yearly,2090,80.3480417011076
948,medium_variant,5yearly,2095,80.9118542133066
