continent,variant,gender,freq,year,under40mortalityper1000livebirth
904,estimates,female,5yearly,1950,292.757698800515
904,estimates,male,5yearly,1950,323.126254819941
904,estimates,female,5yearly,1955,257.186735862497
904,estimates,male,5yearly,1955,288.393767313233
904,estimates,female,5yearly,1960,223.512915569838
904,estimates,male,5yearly,1960,257.618289637894
904,estimates,female,5yearly,1965,193.128265341038
904,estimates,male,5yearly,1965,232.882786071812
904,estimates,female,5yearly,1970,162.841234160406
904,estimates,male,5yearly,1970,208.142943468827
904,estimates,female,5yearly,1975,139.543976921294
904,estimates,male,5yearly,1975,186.778813601376
904,estimates,female,5yearly,1980,116.996372415629
904,estimates,male,5yearly,1980,166.88076719974
904,estimates,female,5yearly,1985,96.9621018588925
904,estimates,male,5yearly,1985,148.63550348897
904,estimates,female,5yearly,1990,80.1731015668847
904,estimates,male,5yearly,1990,134.118036281507
904,estimates,female,5yearly,1995,67.8847057149139
904,estimates,male,5yearly,1995,120.710232738135
904,estimates,female,5yearly,2000,57.0409245140887
904,estimates,male,5yearly,2000,107.641655549834
904,estimates,female,5yearly,2005,50.4494252613107
904,estimates,male,5yearly,2005,96.9637100534191
904,estimates,female,5yearly,2010,46.3884409611574
904,estimates,male,5yearly,2010,89.5265487019891
904,medium_variant,female,5yearly,2015,41.6224830035992
904,medium_variant,male,5yearly,2015,82.2474903334288
904,medium_variant,female,5yearly,2020,37.3287627418519
904,medium_variant,male,5yearly,2020,73.9966205952689
904,medium_variant,female,5yearly,2025,33.7028728878784
904,medium_variant,male,5yearly,2025,66.2952283492252
904,medium_variant,female,5yearly,2030,30.5709278623935
904,medium_variant,male,5yearly,2030,59.0334095355045
904,medium_variant,female,5yearly,2035,27.8245121792947
904,medium_variant,male,5yearly,2035,52.3346113324947
904,medium_variant,female,5yearly,2040,25.3639211081224
904,medium_variant,male,5yearly,2040,46.2269202870996
904,medium_variant,female,5yearly,2045,23.1680289445072
904,medium_variant,male,5yearly,2045,40.7739576224078
904,medium_variant,female,5yearly,2050,21.1851632098288
904,medium_variant,male,5yearly,2050,36.1125651563055
904,medium_variant,female,5yearly,2055,19.4273548326336
904,medium_variant,male,5yearly,2055,32.0606141308004
904,medium_variant,female,5yearly,2060,17.8143751870592
904,medium_variant,male,5yearly,2060,28.5471477792543
904,medium_variant,female,5yearly,2065,16.369244088953
904,medium_variant,male,5yearly,2065,25.5163957388357
904,medium_variant,female,5yearly,2070,15.0440426666464
904,medium_variant,male,5yearly,2070,22.8688813318053
904,medium_variant,female,5yearly,2075,13.7893470646662
904,medium_variant,male,5yearly,2075,20.5988083176339
904,medium_variant,female,5yearly,2080,12.6479695362257
904,medium_variant,male,5yearly,2080,18.5981322707565
904,medium_variant,female,5yearly,2085,11.5868301920125
904,medium_variant,male,5yearly,2085,16.7864575341904
904,medium_variant,female,5yearly,2090,10.5993603117861
904,medium_variant,male,5yearly,2090,15.1540725023538
904,medium_variant,female,5yearly,2095,9.70657161942667
904,medium_variant,male,5yearly,2095,13.6481209726419
904,estimates,female,5yearly,Regi,LATIN AMERICA AND THE CARIBBEAN
904,estimates,male,5yearly,Regi,LATIN AMERICA AND THE CARIBBEAN
904,medium_variant,female,5yearly,Regi,LATIN AMERICA AND THE CARIBBEAN
904,medium_variant,male,5yearly,Regi,LATIN AMERICA AND THE CARIBBEAN
