variant,country,year,dependencyratio1564
no_change,40,2050,68.2185879310831
high_variant,40,2055,83.0249022551353
low_variant,40,2055,82.2411054648977
constant_fertility,40,2055,80.8474785663867
instant_replacement,40,2055,81.3015043368527
zero_migration,40,2055,89.9106637166288
constant_mortality,40,2055,71.1447891917729
no_change,40,2055,69.4811481989427
high_variant,40,2060,85.6913156697451
low_variant,40,2060,86.9881925980439
constant_fertility,40,2060,84.3554282258106
instant_replacement,40,2060,83.7495490721379
zero_migration,40,2060,93.7588504892083
constant_mortality,40,2060,72.677074066597
no_change,40,2060,71.0776536616799
high_variant,40,2065,85.1112238998126
low_variant,40,2065,89.7170247590346
constant_fertility,40,2065,85.5907688966015
instant_replacement,40,2065,82.38628446438
zero_migration,40,2065,93.8203458294758
constant_mortality,40,2065,72.0856441496665
no_change,40,2065,70.8133487383474
high_variant,40,2070,82.0341038400012
low_variant,40,2070,91.9156200463358
constant_fertility,40,2070,85.8133487845428
instant_replacement,40,2070,78.649621469056
zero_migration,40,2070,91.8577623392552
constant_mortality,40,2070,70.1333653341228
no_change,40,2070,69.6343525135256
high_variant,40,2075,78.2302942100024
low_variant,40,2075,94.7480156203271
constant_fertility,40,2075,86.2050265525934
instant_replacement,40,2075,74.9108559314819
zero_migration,40,2075,89.7794535637579
constant_mortality,40,2075,67.8720267238209
no_change,40,2075,68.4938140316562
high_variant,40,2080,75.4499106502116
low_variant,40,2080,99.3038057040565
constant_fertility,40,2080,87.8217030065815
instant_replacement,40,2080,72.739162876924
zero_migration,40,2080,89.0945251456057
constant_mortality,40,2080,66.5264565596115
no_change,40,2080,68.456222849592
high_variant,40,2085,75.9374595320153
low_variant,40,2085,101.675968355587
constant_fertility,40,2085,89.9194729636695
instant_replacement,40,2085,76.1776033662654
zero_migration,40,2085,89.9506037049987
constant_mortality,40,2085,66.4542301045475
no_change,40,2085,69.0187878191383
high_variant,40,2090,78.1937747744341
low_variant,40,2090,102.805317476545
constant_fertility,40,2090,92.2126557870556
instant_replacement,40,2090,79.7373685046808
zero_migration,40,2090,91.6397125656073
constant_mortality,40,2090,67.2121017879987
no_change,40,2090,69.8500528231276
high_variant,40,2095,80.5517814114527
low_variant,40,2095,102.888360606937
constant_fertility,40,2095,94.2101990525842
instant_replacement,40,2095,82.1499607713975
zero_migration,40,2095,93.0564705164938
constant_mortality,40,2095,67.9326268901954
no_change,40,2095,70.3968469866646
high_variant,40,2100,81.4963953137046
low_variant,40,2100,103.503549681675
constant_fertility,40,2100,95.9116699460444
instant_replacement,40,2100,82.8496640073034
zero_migration,40,2100,93.6546048067028
constant_mortality,40,2100,67.9571089153518
no_change,40,2100,70.4111728907697
