continent,variant,freq,year,lifeexpectancyat15
909,estimates,5yearly,1950,53.4135809079435
909,estimates,5yearly,1955,54.4758902137897
909,estimates,5yearly,1960,54.9479772219365
909,estimates,5yearly,1965,55.3503727494834
909,estimates,5yearly,1970,56.3320682434444
909,estimates,5yearly,1975,57.8285957595806
909,estimates,5yearly,1980,59.1661704053978
909,estimates,5yearly,1985,59.9517059795019
909,estimates,5yearly,1990,61.2222214282922
909,estimates,5yearly,1995,62.227668267576
909,estimates,5yearly,2000,63.5269681930456
909,estimates,5yearly,2005,64.592168058821
909,estimates,5yearly,2010,65.3211913766552
909,medium_variant,5yearly,2015,65.9572734817567
909,medium_variant,5yearly,2020,66.5773378556921
909,medium_variant,5yearly,2025,67.0740057959517
909,medium_variant,5yearly,2030,67.5110993344775
909,medium_variant,5yearly,2035,67.9058116368945
909,medium_variant,5yearly,2040,68.3079074523566
909,medium_variant,5yearly,2045,68.6738729112258
909,medium_variant,5yearly,2050,69.0519559037853
909,medium_variant,5yearly,2055,69.4441371906917
909,medium_variant,5yearly,2060,69.8231893891894
909,medium_variant,5yearly,2065,70.193607823664
909,medium_variant,5yearly,2070,70.5938355418461
909,medium_variant,5yearly,2075,70.9929648970115
909,medium_variant,5yearly,2080,71.4632349547907
909,medium_variant,5yearly,2085,71.9297450309295
909,medium_variant,5yearly,2090,72.4160176178684
909,medium_variant,5yearly,2095,72.9245139936805
