continent,variant,freq,year,lifeexpectancyat15
908,estimates,5yearly,1950,55.7477819780605
908,estimates,5yearly,1955,56.9708350433333
908,estimates,5yearly,1960,57.7094949542014
908,estimates,5yearly,1965,57.8534717978172
908,estimates,5yearly,1970,58.0098646004845
908,estimates,5yearly,1975,58.1721669962452
908,estimates,5yearly,1980,58.4759091838254
908,estimates,5yearly,1985,59.4352717433809
908,estimates,5yearly,1990,58.9918999817735
908,estimates,5yearly,1995,59.2203177548166
908,estimates,5yearly,2000,59.6906157700753
908,estimates,5yearly,2005,61.00707966196
908,estimates,5yearly,2010,62.7981966937934
908,medium_variant,5yearly,2015,63.6186295015342
908,medium_variant,5yearly,2020,64.4375301970552
908,medium_variant,5yearly,2025,65.2420805471414
908,medium_variant,5yearly,2030,65.9967171691613
908,medium_variant,5yearly,2035,66.7236040405082
908,medium_variant,5yearly,2040,67.4336433419791
908,medium_variant,5yearly,2045,68.1268923531202
908,medium_variant,5yearly,2050,68.7820546363854
908,medium_variant,5yearly,2055,69.4376850883316
908,medium_variant,5yearly,2060,70.09056716602
908,medium_variant,5yearly,2065,70.7600016309352
908,medium_variant,5yearly,2070,71.4298589541041
908,medium_variant,5yearly,2075,72.1190049223393
908,medium_variant,5yearly,2080,72.7555957745672
908,medium_variant,5yearly,2085,73.3454735724671
908,medium_variant,5yearly,2090,73.919062542401
908,medium_variant,5yearly,2095,74.4891576445715
908,estimates,5yearly,Regi,EUROPE
908,medium_variant,5yearly,Regi,EUROPE
