variant,region,year,gender,potentialsupport2069_65
estimates,928,1950,male,20.893
estimates,928,1951,male,20.84
estimates,928,1952,male,21.075
estimates,928,1953,male,21.664
estimates,928,1954,male,22.759
estimates,928,1955,male,24.499
estimates,928,1956,male,24.823
estimates,928,1957,male,25.464
estimates,928,1958,male,26.438
estimates,928,1959,male,27.781
estimates,928,1960,male,29.569
estimates,928,1961,male,30.1
estimates,928,1962,male,30.97
estimates,928,1963,male,32.07
estimates,928,1964,male,33.255
estimates,928,1965,male,34.484
estimates,928,1966,male,33.785
estimates,928,1967,male,33.161
estimates,928,1968,male,32.781
estimates,928,1969,male,32.78
estimates,928,1970,male,33.228
estimates,928,1971,male,32.76
estimates,928,1972,male,32.655
estimates,928,1973,male,32.857
estimates,928,1974,male,33.266
estimates,928,1975,male,33.858
estimates,928,1976,male,33.246
estimates,928,1977,male,32.823
estimates,928,1978,male,32.636
estimates,928,1979,male,32.675
estimates,928,1980,male,32.975
estimates,928,1981,male,32.467
estimates,928,1982,male,32.202
estimates,928,1983,male,32.137
estimates,928,1984,male,32.233
estimates,928,1985,male,32.475
estimates,928,1986,male,31.913
estimates,928,1987,male,31.569
estimates,928,1988,male,31.431
estimates,928,1989,male,31.515
estimates,928,1990,male,31.814
estimates,928,1991,male,31.391
estimates,928,1992,male,31.189
estimates,928,1993,male,31.189
estimates,928,1994,male,31.388
estimates,928,1995,male,31.757
estimates,928,1996,male,31.227
estimates,928,1997,male,30.891
estimates,928,1998,male,30.736
estimates,928,1999,male,30.744
estimates,928,2000,male,30.899
estimates,928,2001,male,30.355
estimates,928,2002,male,29.973
estimates,928,2003,male,29.74
estimates,928,2004,male,29.622
estimates,928,2005,male,29.596
estimates,928,2006,male,28.925
estimates,928,2007,male,28.388
estimates,928,2008,male,27.97
estimates,928,2009,male,27.652
estimates,928,2010,male,27.414
estimates,928,2011,male,26.881
estimates,928,2012,male,26.468
estimates,928,2013,male,26.184
estimates,928,2014,male,26.036
estimates,928,2015,male,26.014
medium_variant,928,2015,male,26.014
medium_variant,928,2016,male,25.607
medium_variant,928,2017,male,25.349
medium_variant,928,2018,male,25.19
medium_variant,928,2019,male,25.068
medium_variant,928,2020,male,24.956
medium_variant,928,2021,male,24.403
medium_variant,928,2022,male,23.936
medium_variant,928,2023,male,23.551
medium_variant,928,2024,male,23.242
medium_variant,928,2025,male,22.998
medium_variant,928,2026,male,22.418
medium_variant,928,2027,male,21.95
medium_variant,928,2028,male,21.574
medium_variant,928,2029,male,21.27
medium_variant,928,2030,male,21.017
medium_variant,928,2031,male,20.469
medium_variant,928,2032,male,20.015
medium_variant,928,2033,male,19.648
medium_variant,928,2034,male,19.363
medium_variant,928,2035,male,19.149
medium_variant,928,2036,male,18.691
medium_variant,928,2037,male,18.331
medium_variant,928,2038,male,18.044
medium_variant,928,2039,male,17.808
medium_variant,928,2040,male,17.605
medium_variant,928,2041,male,17.163
medium_variant,928,2042,male,16.794
medium_variant,928,2043,male,16.486
medium_variant,928,2044,male,16.23
medium_variant,928,2045,male,16.013
medium_variant,928,2046,male,15.595
medium_variant,928,2047,male,15.252
medium_variant,928,2048,male,14.972
medium_variant,928,2049,male,14.744
medium_variant,928,2050,male,14.556
medium_variant,928,2051,male,14.195
medium_variant,928,2052,male,13.899
medium_variant,928,2053,male,13.665
medium_variant,928,2054,male,13.492
medium_variant,928,2055,male,13.374
medium_variant,928,2056,male,13.109
medium_variant,928,2057,male,12.908
medium_variant,928,2058,male,12.758
medium_variant,928,2059,male,12.644
medium_variant,928,2060,male,12.556
medium_variant,928,2061,male,12.307
medium_variant,928,2062,male,12.106
medium_variant,928,2063,male,11.939
medium_variant,928,2064,male,11.794
medium_variant,928,2065,male,11.66
medium_variant,928,2066,male,11.373
medium_variant,928,2067,male,11.123
medium_variant,928,2068,male,10.911
medium_variant,928,2069,male,10.734
medium_variant,928,2070,male,10.588
medium_variant,928,2071,male,10.325
medium_variant,928,2072,male,10.11
medium_variant,928,2073,male,9.933
medium_variant,928,2074,male,9.785
medium_variant,928,2075,male,9.66
medium_variant,928,2076,male,9.43
medium_variant,928,2077,male,9.238
medium_variant,928,2078,male,9.081
medium_variant,928,2079,male,8.956
medium_variant,928,2080,male,8.86
medium_variant,928,2081,male,8.674
medium_variant,928,2082,male,8.527
medium_variant,928,2083,male,8.411
medium_variant,928,2084,male,8.32
medium_variant,928,2085,male,8.25
medium_variant,928,2086,male,8.095
medium_variant,928,2087,male,7.971
medium_variant,928,2088,male,7.872
medium_variant,928,2089,male,7.794
medium_variant,928,2090,male,7.732
medium_variant,928,2091,male,7.592
medium_variant,928,2092,male,7.478
medium_variant,928,2093,male,7.385
medium_variant,928,2094,male,7.31
medium_variant,928,2095,male,7.249
medium_variant,928,2096,male,7.118
medium_variant,928,2097,male,7.01
medium_variant,928,2098,male,6.921
medium_variant,928,2099,male,6.847
medium_variant,928,2100,male,6.785
estimates,928,1950,female,22.828
estimates,928,1951,female,22.171
estimates,928,1952,female,21.745
estimates,928,1953,female,21.567
estimates,928,1954,female,21.691
estimates,928,1955,female,22.156
estimates,928,1956,female,22.299
estimates,928,1957,female,22.681
estimates,928,1958,female,23.301
estimates,928,1959,female,24.179
estimates,928,1960,female,25.38
estimates,928,1961,female,25.923
estimates,928,1962,female,26.679
estimates,928,1963,female,27.531
estimates,928,1964,female,28.323
estimates,928,1965,female,28.995
estimates,928,1966,female,28.637
estimates,928,1967,female,28.272
estimates,928,1968,female,27.988
estimates,928,1969,female,27.863
estimates,928,1970,female,27.913
estimates,928,1971,female,27.381
estimates,928,1972,female,27.046
estimates,928,1973,female,26.872
estimates,928,1974,female,26.828
estimates,928,1975,female,26.88
estimates,928,1976,female,26.438
estimates,928,1977,female,26.121
estimates,928,1978,female,25.929
estimates,928,1979,female,25.842
estimates,928,1980,female,25.854
estimates,928,1981,female,25.432
estimates,928,1982,female,25.12
estimates,928,1983,female,24.896
estimates,928,1984,female,24.725
estimates,928,1985,female,24.598
estimates,928,1986,female,24.178
estimates,928,1987,female,23.85
estimates,928,1988,female,23.605
estimates,928,1989,female,23.443
estimates,928,1990,female,23.356
estimates,928,1991,female,23.087
estimates,928,1992,female,22.904
estimates,928,1993,female,22.806
estimates,928,1994,female,22.778
estimates,928,1995,female,22.809
estimates,928,1996,female,22.547
estimates,928,1997,female,22.363
estimates,928,1998,female,22.244
estimates,928,1999,female,22.164
estimates,928,2000,female,22.104
estimates,928,2001,female,21.873
estimates,928,2002,female,21.695
estimates,928,2003,female,21.56
estimates,928,2004,female,21.464
estimates,928,2005,female,21.395
estimates,928,2006,female,21.064
estimates,928,2007,female,20.774
estimates,928,2008,female,20.518
estimates,928,2009,female,20.283
estimates,928,2010,female,20.063
estimates,928,2011,female,19.739
estimates,928,2012,female,19.449
estimates,928,2013,female,19.191
estimates,928,2014,female,18.968
estimates,928,2015,female,18.771
medium_variant,928,2015,female,18.771
medium_variant,928,2016,female,18.489
medium_variant,928,2017,female,18.258
medium_variant,928,2018,female,18.044
medium_variant,928,2019,female,17.816
medium_variant,928,2020,female,17.559
medium_variant,928,2021,female,17.191
medium_variant,928,2022,female,16.837
medium_variant,928,2023,female,16.5
medium_variant,928,2024,female,16.186
medium_variant,928,2025,female,15.892
medium_variant,928,2026,female,15.542
medium_variant,928,2027,female,15.232
medium_variant,928,2028,female,14.949
medium_variant,928,2029,female,14.68
medium_variant,928,2030,female,14.417
medium_variant,928,2031,female,14.099
medium_variant,928,2032,female,13.807
medium_variant,928,2033,female,13.538
medium_variant,928,2034,female,13.293
medium_variant,928,2035,female,13.066
medium_variant,928,2036,female,12.806
medium_variant,928,2037,female,12.578
medium_variant,928,2038,female,12.37
medium_variant,928,2039,female,12.17
medium_variant,928,2040,female,11.971
medium_variant,928,2041,female,11.733
medium_variant,928,2042,female,11.513
medium_variant,928,2043,female,11.307
medium_variant,928,2044,female,11.108
medium_variant,928,2045,female,10.912
medium_variant,928,2046,female,10.683
medium_variant,928,2047,female,10.474
medium_variant,928,2048,female,10.28
medium_variant,928,2049,female,10.097
medium_variant,928,2050,female,9.921
medium_variant,928,2051,female,9.719
medium_variant,928,2052,female,9.536
medium_variant,928,2053,female,9.371
medium_variant,928,2054,female,9.223
medium_variant,928,2055,female,9.091
medium_variant,928,2056,female,8.946
medium_variant,928,2057,female,8.822
medium_variant,928,2058,female,8.713
medium_variant,928,2059,female,8.609
medium_variant,928,2060,female,8.506
medium_variant,928,2061,female,8.379
medium_variant,928,2062,female,8.263
medium_variant,928,2063,female,8.152
medium_variant,928,2064,female,8.039
medium_variant,928,2065,female,7.92
medium_variant,928,2066,female,7.771
medium_variant,928,2067,female,7.629
medium_variant,928,2068,female,7.492
medium_variant,928,2069,female,7.36
medium_variant,928,2070,female,7.233
medium_variant,928,2071,female,7.09
medium_variant,928,2072,female,6.959
medium_variant,928,2073,female,6.838
medium_variant,928,2074,female,6.72
medium_variant,928,2075,female,6.604
medium_variant,928,2076,female,6.475
medium_variant,928,2077,female,6.355
