continent,variant,freq,year,mortality15to50per1000aliveat15
903,estimates,5yearly,1950,320.433121202909
903,estimates,5yearly,1955,300.730123912486
903,estimates,5yearly,1960,280.844821876477
903,estimates,5yearly,1965,262.886927682958
903,estimates,5yearly,1970,244.598247714069
903,estimates,5yearly,1975,228.179173769415
903,estimates,5yearly,1980,216.223415214926
903,estimates,5yearly,1985,210.37715795313
903,estimates,5yearly,1990,221.680140084999
903,estimates,5yearly,1995,239.712552903939
903,estimates,5yearly,2000,247.83187642883
903,estimates,5yearly,2005,214.379360110496
903,estimates,5yearly,2010,175.100668809761
903,medium_variant,5yearly,2015,152.366981504286
903,medium_variant,5yearly,2020,138.900651381525
903,medium_variant,5yearly,2025,125.482008126657
903,medium_variant,5yearly,2030,113.216734852872
903,medium_variant,5yearly,2035,102.711797403764
903,medium_variant,5yearly,2040,93.7349760314902
903,medium_variant,5yearly,2045,85.7108182760115
903,medium_variant,5yearly,2050,78.7067549141843
903,medium_variant,5yearly,2055,72.6960310898035
903,medium_variant,5yearly,2060,67.600096329108
903,medium_variant,5yearly,2065,63.186083316499
903,medium_variant,5yearly,2070,59.1644985727027
903,medium_variant,5yearly,2075,55.4453536830303
903,medium_variant,5yearly,2080,52.2638720863198
903,medium_variant,5yearly,2085,49.2560695914602
903,medium_variant,5yearly,2090,46.4444097305469
903,medium_variant,5yearly,2095,43.8237550682201
