continent,variant,freq,year,mortality15to50per1000aliveat15
908,estimates,5yearly,1950,100.557229134111
908,estimates,5yearly,1955,82.9664676530523
908,estimates,5yearly,1960,75.198530817229
908,estimates,5yearly,1965,75.7529519279382
908,estimates,5yearly,1970,78.1405349991447
908,estimates,5yearly,1975,80.3919627337351
908,estimates,5yearly,1980,78.4023069928516
908,estimates,5yearly,1985,67.7188509545551
908,estimates,5yearly,1990,79.5206549059443
908,estimates,5yearly,1995,81.9722826871071
908,estimates,5yearly,2000,82.0095558120748
908,estimates,5yearly,2005,72.2830850835909
908,estimates,5yearly,2010,57.0980692626819
908,medium_variant,5yearly,2015,53.1885620300921
908,medium_variant,5yearly,2020,49.51050264308
908,medium_variant,5yearly,2025,45.1307074798984
908,medium_variant,5yearly,2030,40.6688408791688
908,medium_variant,5yearly,2035,36.0131831382006
908,medium_variant,5yearly,2040,32.3829792941328
908,medium_variant,5yearly,2045,30.073748621771
908,medium_variant,5yearly,2050,28.2411043642756
908,medium_variant,5yearly,2055,26.1331748026554
908,medium_variant,5yearly,2060,23.7181233973125
908,medium_variant,5yearly,2065,21.1473413522941
908,medium_variant,5yearly,2070,18.9336511600556
908,medium_variant,5yearly,2075,17.0777761188824
908,medium_variant,5yearly,2080,15.6277187650288
908,medium_variant,5yearly,2085,14.3161150235356
908,medium_variant,5yearly,2090,12.9361423537456
908,medium_variant,5yearly,2095,11.6029288543221
