continent,variant,freq,year,mortality15to50per1000aliveat15
905,estimates,5yearly,1950,89.8530661601262
905,estimates,5yearly,1955,81.5554484119844
905,estimates,5yearly,1960,80.3287544998971
905,estimates,5yearly,1965,83.2713115341045
905,estimates,5yearly,1970,80.210357978196
905,estimates,5yearly,1975,70.1902240487552
905,estimates,5yearly,1980,61.8906805767731
905,estimates,5yearly,1985,61.0645103462452
905,estimates,5yearly,1990,61.2468364424659
905,estimates,5yearly,1995,54.5785322414535
905,estimates,5yearly,2000,52.7384232961103
905,estimates,5yearly,2005,50.4717503750233
905,estimates,5yearly,2010,47.1098769758682
905,medium_variant,5yearly,2015,44.4067961321981
905,medium_variant,5yearly,2020,41.7127483466103
905,medium_variant,5yearly,2025,39.1564949193787
905,medium_variant,5yearly,2030,36.6053521264887
905,medium_variant,5yearly,2035,34.0351336139199
905,medium_variant,5yearly,2040,31.5762834370543
905,medium_variant,5yearly,2045,29.2831599142509
905,medium_variant,5yearly,2050,27.2353417119664
905,medium_variant,5yearly,2055,25.3568263411064
905,medium_variant,5yearly,2060,23.7365002822316
905,medium_variant,5yearly,2065,22.1060331840924
905,medium_variant,5yearly,2070,20.5903951328874
905,medium_variant,5yearly,2075,19.0952975092903
905,medium_variant,5yearly,2080,17.6680866404058
905,medium_variant,5yearly,2085,16.2857712837244
905,medium_variant,5yearly,2090,14.9344453707136
905,medium_variant,5yearly,2095,13.6918655777765
