continent,variant,freq,year,mortality15to50per1000aliveat15
909,estimates,5yearly,1950,140.615550393508
909,estimates,5yearly,1955,126.469015033539
909,estimates,5yearly,1960,120.526450698736
909,estimates,5yearly,1965,111.421598017026
909,estimates,5yearly,1970,100.907331903845
909,estimates,5yearly,1975,88.9873089636197
909,estimates,5yearly,1980,75.7361363115074
909,estimates,5yearly,1985,70.9999332106255
909,estimates,5yearly,1990,63.8455234574288
909,estimates,5yearly,1995,60.758928031732
909,estimates,5yearly,2000,55.4940936889726
909,estimates,5yearly,2005,50.8352232270337
909,estimates,5yearly,2010,48.0324971785632
909,medium_variant,5yearly,2015,44.0811600004094
909,medium_variant,5yearly,2020,41.7358471927435
909,medium_variant,5yearly,2025,39.6686294331501
909,medium_variant,5yearly,2030,37.7061965708646
909,medium_variant,5yearly,2035,36.416156997966
909,medium_variant,5yearly,2040,35.2867786101131
909,medium_variant,5yearly,2045,34.0035104711718
909,medium_variant,5yearly,2050,32.1805953215165
909,medium_variant,5yearly,2055,30.2687397402547
909,medium_variant,5yearly,2060,28.6296711994797
909,medium_variant,5yearly,2065,27.4082445980627
909,medium_variant,5yearly,2070,26.1914513365703
909,medium_variant,5yearly,2075,24.791425288321
909,medium_variant,5yearly,2080,23.3022980855376
909,medium_variant,5yearly,2085,21.829362876885
909,medium_variant,5yearly,2090,20.4165433763663
909,medium_variant,5yearly,2095,19.0746614002951
