continent,variant,freq,year,netmigrationrateper1000pop
909,estimates,5yearly,1950,7.117
909,estimates,5yearly,1955,5.433
909,estimates,5yearly,1960,5.177
909,estimates,5yearly,1965,8.391
909,estimates,5yearly,1970,2.891
909,estimates,5yearly,1975,0.904
909,estimates,5yearly,1980,3.444
909,estimates,5yearly,1985,4.291
909,estimates,5yearly,1990,2.835
909,estimates,5yearly,1995,2.131
909,estimates,5yearly,2000,3.524
909,estimates,5yearly,2005,6.07
909,estimates,5yearly,2010,4.778
909,medium_variant,5yearly,2015,4.188
909,medium_variant,5yearly,2020,3.405
909,medium_variant,5yearly,2025,3.243
909,medium_variant,5yearly,2030,3.088
909,medium_variant,5yearly,2035,2.941
909,medium_variant,5yearly,2040,2.813
909,medium_variant,5yearly,2045,2.699
909,medium_variant,5yearly,2050,2.469
909,medium_variant,5yearly,2055,2.259
909,medium_variant,5yearly,2060,2.068
909,medium_variant,5yearly,2065,1.893
909,medium_variant,5yearly,2070,1.73
909,medium_variant,5yearly,2075,1.579
909,medium_variant,5yearly,2080,1.438
909,medium_variant,5yearly,2085,1.305
909,medium_variant,5yearly,2090,1.179
909,medium_variant,5yearly,2095,1.058
909,estimates,5yearly,Regi,OCEANIA
909,medium_variant,5yearly,Regi,OCEANIA
