region,variant,freq,year,totalfertility
914,estimates,5Yearly,1950,6.39264445072103
914,estimates,5Yearly,1955,6.46153858421034
914,estimates,5Yearly,1960,6.53792838391425
914,estimates,5Yearly,1965,6.60209358605441
914,estimates,5Yearly,1970,6.79267723710218
914,estimates,5Yearly,1975,6.89706965561728
914,estimates,5Yearly,1980,6.84300863183042
914,estimates,5Yearly,1985,6.6668397284831
914,estimates,5Yearly,1990,6.40545380852391
914,estimates,5Yearly,1995,6.14222482731278
914,estimates,5Yearly,2000,5.94992956947582
914,estimates,5Yearly,2005,5.74015813267875
914,estimates,5Yearly,2010,5.53919655193795
914,constant-fertility,5Yearly,2015,5.54888266446175
914,constant-mortality,5Yearly,2015,5.2106285080152
914,high variant,5Yearly,2015,5.46100336275234
914,instant-replacement,5Yearly,2015,2.52849351199488
914,low variant,5Yearly,2015,4.96033931254245
914,medium variant,5Yearly,2015,5.21067152799733
914,no change,5Yearly,2015,5.54883480010343
914,zero-migration,5Yearly,2015,5.21066955067966
914,constant-fertility,5Yearly,2020,5.56086049426262
914,constant-mortality,5Yearly,2020,4.88358413332839
914,high variant,5Yearly,2020,5.28408363520529
914,instant-replacement,5Yearly,2020,2.46939903183135
914,low variant,5Yearly,2020,4.48343092769734
914,medium variant,5Yearly,2020,4.88375684242823
914,no change,5Yearly,2020,5.5606507316223
914,zero-migration,5Yearly,2020,4.88362837493808
914,constant-fertility,5Yearly,2025,5.57490230652393
914,constant-mortality,5Yearly,2025,4.56694530461781
914,high variant,5Yearly,2025,5.06725477396133
914,instant-replacement,5Yearly,2025,2.41495892092842
914,low variant,5Yearly,2025,4.06744723848071
914,medium variant,5Yearly,2025,4.56735070164194
914,no change,5Yearly,2025,5.57437319516883
914,zero-migration,5Yearly,2025,4.5669820628898
914,constant-fertility,5Yearly,2030,5.59139696725904
914,constant-mortality,5Yearly,2030,4.27153483364619
914,high variant,5Yearly,2030,4.77167221203037
914,instant-replacement,5Yearly,2030,2.36644439697295
914,low variant,5Yearly,2030,3.77304841040592
914,medium variant,5Yearly,2030,4.27236051031409
914,no change,5Yearly,2030,5.59023786568919
914,zero-migration,5Yearly,2030,4.27167028655795
914,constant-fertility,5Yearly,2035,5.61009386580784
914,constant-mortality,5Yearly,2035,3.99990803431769
914,high variant,5Yearly,2035,4.49976100018811
914,instant-replacement,5Yearly,2035,2.32556612199831
914,low variant,5Yearly,2035,3.50277629323826
914,medium variant,5Yearly,2035,4.00123132827355
914,no change,5Yearly,2035,5.60800629925316
914,zero-migration,5Yearly,2035,4.00019151296056
914,constant-fertility,5Yearly,2040,5.62989553907481
914,constant-mortality,5Yearly,2040,3.75173901233584
914,high variant,5Yearly,2040,4.25103977866802
914,instant-replacement,5Yearly,2040,2.29290771428529
914,low variant,5Yearly,2040,3.256125357858
914,medium variant,5Yearly,2040,3.75341428681426
914,no change,5Yearly,2040,5.62679526195023
914,zero-migration,5Yearly,2040,3.75210629918948
914,constant-fertility,5Yearly,2045,5.64967038623631
914,constant-mortality,5Yearly,2045,3.52550407375163
914,high variant,5Yearly,2045,4.02416409092187
914,instant-replacement,5Yearly,2045,2.26377708947189
914,low variant,5Yearly,2045,3.03121572701064
914,medium variant,5Yearly,2045,3.52732294047095
914,no change,5Yearly,2045,5.64561177757718
914,zero-migration,5Yearly,2045,3.52589996064461
914,constant-fertility,5Yearly,2050,5.66909606432666
914,constant-mortality,5Yearly,2050,3.32211361029913
914,high variant,5Yearly,2050,3.82010806888447
914,instant-replacement,5Yearly,2050,2.23531944412718
914,low variant,5Yearly,2050,2.82887298599711
914,medium variant,5Yearly,2050,3.32395482213311
914,no change,5Yearly,2050,5.66415204871114
914,zero-migration,5Yearly,2050,3.32250305434053
914,constant-fertility,5Yearly,2055,5.68882401337933
914,constant-mortality,5Yearly,2055,3.14180799592379
914,high variant,5Yearly,2055,3.63921653009607
914,instant-replacement,5Yearly,2055,2.20805834237869
914,low variant,5Yearly,2055,2.64927350006473
914,medium variant,5Yearly,2055,3.14360356473935
914,no change,5Yearly,2055,5.68308766684817
914,zero-migration,5Yearly,2055,3.14209798725532
914,constant-fertility,5Yearly,2060,5.7093586180647
914,constant-mortality,5Yearly,2060,2.97988728298126
914,high variant,5Yearly,2060,3.47684089485251
914,instant-replacement,5Yearly,2060,2.18642136121091
914,low variant,5Yearly,2060,2.48769925115103
914,medium variant,5Yearly,2060,2.98158336327677
914,no change,5Yearly,2060,5.70302420609636
914,zero-migration,5Yearly,2060,2.98003420425114
914,constant-fertility,5Yearly,2065,5.73068818683121
914,constant-mortality,5Yearly,2065,2.83832272754033
914,high variant,5Yearly,2065,3.33498243225472
914,instant-replacement,5Yearly,2065,2.1676126767126
914,low variant,5Yearly,2065,2.34627142807173
914,medium variant,5Yearly,2065,2.83993107633444
914,no change,5Yearly,2065,5.72408411323755
914,zero-migration,5Yearly,2065,2.83838718161213
914,constant-fertility,5Yearly,2070,5.7525161069283
914,constant-mortality,5Yearly,2070,2.71313197711812
914,high variant,5Yearly,2070,3.20963715952579
914,instant-replacement,5Yearly,2070,2.15266432211353
914,low variant,5Yearly,2070,2.22105972522238
914,medium variant,5Yearly,2070,2.71463344399105
914,no change,5Yearly,2070,5.74603489260449
914,zero-migration,5Yearly,2070,2.7131514142865
914,constant-fertility,5Yearly,2075,5.77461598099644
914,constant-mortality,5Yearly,2075,2.60039912067996
914,high variant,5Yearly,2075,3.09696572888156
914,instant-replacement,5Yearly,2075,2.1390546831995
914,low variant,5Yearly,2075,2.10823190592765
