agebroad,gender,percentagetotalpopulation,region,variant,year
"Region, subregion, country or area *",female,Caribbean,915,estimates,1950
0_1,female,6.282,915,estimates,1950
0_4,female,14.848,915,estimates,1950
0_14,female,39.117,915,estimates,1950
0_17,female,45.28,915,estimates,1950
0_19,female,49.12,915,estimates,1950
0_24,female,57.928,915,estimates,1950
3_4,female,5.611,915,estimates,1950
3_5,female,8.291,915,estimates,1950
3_6,female,10.901,915,estimates,1950
4_5,female,5.44,915,estimates,1950
4_6,female,8.05,915,estimates,1950
5_14,female,24.269,915,estimates,1950
5_10,female,15.168,915,estimates,1950
5_11,female,17.525,915,estimates,1950
6_9,female,10.091,915,estimates,1950
6_10,female,12.488,915,estimates,1950
6_11,female,14.845,915,estimates,1950
6_12,female,17.156,915,estimates,1950
7_10,female,9.878,915,estimates,1950
7_12,female,14.546,915,estimates,1950
11_16,female,13.271,915,estimates,1950
11_17,female,15.264,915,estimates,1950
11_18,female,17.207,915,estimates,1950
12_14,female,6.744,915,estimates,1950
12_16,female,10.913,915,estimates,1950
12_17,female,12.907,915,estimates,1950
12_18,female,14.85,915,estimates,1950
13_17,female,10.596,915,estimates,1950
13_18,female,12.539,915,estimates,1950
13_19,female,14.436,915,estimates,1950
15_17,female,6.163,915,estimates,1950
18_23,female,10.98,915,estimates,1950
15_24,female,18.811,915,estimates,1950
15_49,female,48.918,915,estimates,1950
15_59,female,54.596,915,estimates,1950
15_64,female,56.73,915,estimates,1950
20_64,female,46.726,915,estimates,1950
20_69,female,48.341,915,estimates,1950
25_49,female,30.107,915,estimates,1950
25_64,female,37.918,915,estimates,1950
25_69,female,39.533,915,estimates,1950
15plus,female,60.883,915,estimates,1950
16plus,female,58.766,915,estimates,1950
17plus,female,56.713,915,estimates,1950
18plus,female,54.72,915,estimates,1950
20plus,female,50.88,915,estimates,1950
21plus,female,49.027,915,estimates,1950
25plus,female,42.072,915,estimates,1950
50plus,female,11.965,915,estimates,1950
60plus,female,6.287,915,estimates,1950
65plus,female,4.153,915,estimates,1950
70plus,female,2.538,915,estimates,1950
75plus,female,1.357,915,estimates,1950
80plus,female,0.574,915,estimates,1950
85plus,female,0.221,915,estimates,1950
90plus,female,0.065,915,estimates,1950
total,female,100,915,estimates,1950
"Region, subregion, country or area *",male,Caribbean,915,estimates,1950
0_1,male,6.421,915,estimates,1950
0_4,male,15.147,915,estimates,1950
0_14,male,39.738,915,estimates,1950
0_17,male,45.846,915,estimates,1950
0_19,male,49.584,915,estimates,1950
0_24,male,57.957,915,estimates,1950
3_4,male,5.713,915,estimates,1950
3_5,male,8.439,915,estimates,1950
3_6,male,11.092,915,estimates,1950
4_5,male,5.535,915,estimates,1950
4_6,male,8.188,915,estimates,1950
5_14,male,24.591,915,estimates,1950
5_10,male,15.408,915,estimates,1950
5_11,male,17.798,915,estimates,1950
6_9,male,10.252,915,estimates,1950
6_10,male,12.682,915,estimates,1950
6_11,male,15.072,915,estimates,1950
6_12,male,17.41,915,estimates,1950
7_10,male,10.029,915,estimates,1950
7_12,male,14.756,915,estimates,1950
11_16,male,13.328,915,estimates,1950
11_17,male,15.291,915,estimates,1950
11_18,male,17.189,915,estimates,1950
12_14,male,6.793,915,estimates,1950
12_16,male,10.938,915,estimates,1950
12_17,male,12.901,915,estimates,1950
12_18,male,14.8,915,estimates,1950
13_17,male,10.563,915,estimates,1950
13_18,male,12.462,915,estimates,1950
13_19,male,14.301,915,estimates,1950
15_17,male,6.108,915,estimates,1950
18_23,male,10.535,915,estimates,1950
15_24,male,18.218,915,estimates,1950
15_49,male,48.166,915,estimates,1950
15_59,male,54.269,915,estimates,1950
15_64,male,56.494,915,estimates,1950
20_64,male,46.648,915,estimates,1950
20_69,male,48.238,915,estimates,1950
25_49,male,29.947,915,estimates,1950
25_64,male,38.276,915,estimates,1950
25_69,male,39.865,915,estimates,1950
15plus,male,60.262,915,estimates,1950
16plus,male,58.151,915,estimates,1950
17plus,male,56.117,915,estimates,1950
18plus,male,54.154,915,estimates,1950
20plus,male,50.416,915,estimates,1950
21plus,male,48.635,915,estimates,1950
25plus,male,42.043,915,estimates,1950
50plus,male,12.096,915,estimates,1950
60plus,male,5.993,915,estimates,1950
65plus,male,3.767,915,estimates,1950
70plus,male,2.178,915,estimates,1950
75plus,male,1.101,915,estimates,1950
80plus,male,0.455,915,estimates,1950
85plus,male,0.16,915,estimates,1950
90plus,male,0.043,915,estimates,1950
total,male,100,915,estimates,1950
"Region, subregion, country or area *",female,Caribbean,915,estimates,1951
0_1,female,6.352,915,estimates,1951
0_4,female,14.94,915,estimates,1951
0_14,female,39.129,915,estimates,1951
0_17,female,45.302,915,estimates,1951
0_19,female,49.121,915,estimates,1951
0_24,female,57.869,915,estimates,1951
3_4,female,5.62,915,estimates,1951
3_5,female,8.298,915,estimates,1951
3_6,female,10.903,915,estimates,1951
4_5,female,5.44,915,estimates,1951
4_6,female,8.045,915,estimates,1951
5_14,female,24.189,915,estimates,1951
5_10,female,15.122,915,estimates,1951
5_11,female,17.456,915,estimates,1951
6_9,female,10.063,915,estimates,1951
6_10,female,12.444,915,estimates,1951
6_11,female,14.779,915,estimates,1951
6_12,female,17.074,915,estimates,1951
7_10,female,9.839,915,estimates,1951
7_12,female,14.469,915,estimates,1951
11_16,female,13.246,915,estimates,1951
11_17,female,15.24,915,estimates,1951
11_18,female,17.175,915,estimates,1951
12_14,female,6.733,915,estimates,1951
12_16,female,10.911,915,estimates,1951
12_17,female,12.905,915,estimates,1951
12_18,female,14.84,915,estimates,1951
13_17,female,10.61,915,estimates,1951
13_18,female,12.545,915,estimates,1951
13_19,female,14.429,915,estimates,1951
15_17,female,6.172,915,estimates,1951
18_23,female,10.908,915,estimates,1951
15_24,female,18.74,915,estimates,1951
15_49,female,48.814,915,estimates,1951
15_59,female,54.605,915,estimates,1951
15_64,female,56.711,915,estimates,1951
20_64,female,46.719,915,estimates,1951
20_69,female,48.342,915,estimates,1951
25_49,female,30.074,915,estimates,1951
25_64,female,37.971,915,estimates,1951
25_69,female,39.594,915,estimates,1951
15plus,female,60.871,915,estimates,1951
16plus,female,58.749,915,estimates,1951
17plus,female,56.692,915,estimates,1951
18plus,female,54.698,915,estimates,1951
20plus,female,50.879,915,estimates,1951
21plus,female,49.04,915,estimates,1951
25plus,female,42.131,915,estimates,1951
50plus,female,12.057,915,estimates,1951
60plus,female,6.265,915,estimates,1951
65plus,female,4.16,915,estimates,1951
70plus,female,2.537,915,estimates,1951
75plus,female,1.377,915,estimates,1951
80plus,female,0.596,915,estimates,1951
85plus,female,0.225,915,estimates,1951
90plus,female,0.069,915,estimates,1951
total,female,100,915,estimates,1951
"Region, subregion, country or area *",male,Caribbean,915,estimates,1951
0_1,male,6.499,915,estimates,1951
0_4,male,15.257,915,estimates,1951
0_14,male,39.779,915,estimates,1951
0_17,male,45.908,915,estimates,1951
0_19,male,49.642,915,estimates,1951
0_24,male,57.997,915,estimates,1951
3_4,male,5.728,915,estimates,1951
3_5,male,8.454,915,estimates,1951
3_6,male,11.105,915,estimates,1951
4_5,male,5.54,915,estimates,1951
4_6,male,8.191,915,estimates,1951
5_14,male,24.522,915,estimates,1951
5_10,male,15.373,915,estimates,1951
5_11,male,17.737,915,estimates,1951
6_9,male,10.232,915,estimates,1951
6_10,male,12.646,915,estimates,1951
6_11,male,15.01,915,estimates,1951
6_12,male,17.33,915,estimates,1951
7_10,male,9.995,915,estimates,1951
7_12,male,14.679,915,estimates,1951
11_16,male,13.31,915,estimates,1951
11_17,male,15.278,915,estimates,1951
11_18,male,17.176,915,estimates,1951
12_14,male,6.785,915,estimates,1951
12_16,male,10.946,915,estimates,1951
12_17,male,12.914,915,estimates,1951
12_18,male,14.812,915,estimates,1951
13_17,male,10.594,915,estimates,1951
13_18,male,12.492,915,estimates,1951
13_19,male,14.328,915,estimates,1951
15_17,male,6.129,915,estimates,1951
18_23,male,10.52,915,estimates,1951
15_24,male,18.218,915,estimates,1951
15_49,male,47.985,915,estimates,1951
15_59,male,54.211,915,estimates,1951
15_64,male,56.406,915,estimates,1951
20_64,male,46.543,915,estimates,1951
20_69,male,48.159,915,estimates,1951
25_49,male,29.767,915,estimates,1951
25_64,male,38.188,915,estimates,1951
25_69,male,39.804,915,estimates,1951
15plus,male,60.221,915,estimates,1951
16plus,male,58.103,915,estimates,1951
17plus,male,56.06,915,estimates,1951
18plus,male,54.092,915,estimates,1951
20plus,male,50.358,915,estimates,1951
21plus,male,48.58,915,estimates,1951
25plus,male,42.003,915,estimates,1951
50plus,male,12.236,915,estimates,1951
60plus,male,6.01,915,estimates,1951
65plus,male,3.815,915,estimates,1951
70plus,male,2.199,915,estimates,1951
75plus,male,1.123,915,estimates,1951
80plus,male,0.472,915,estimates,1951
85plus,male,0.167,915,estimates,1951
90plus,male,0.046,915,estimates,1951
total,male,100,915,estimates,1951
"Region, subregion, country or area *",female,Caribbean,915,estimates,1952
0_1,female,6.521,915,estimates,1952
0_4,female,15.132,915,estimates,1952
0_14,female,39.206,915,estimates,1952
0_17,female,45.389,915,estimates,1952
0_19,female,49.2,915,estimates,1952
0_24,female,57.881,915,estimates,1952
3_4,female,5.627,915,estimates,1952
3_5,female,8.3,915,estimates,1952
3_6,female,10.897,915,estimates,1952
4_5,female,5.435,915,estimates,1952
4_6,female,8.032,915,estimates,1952
5_14,female,24.073,915,estimates,1952
5_10,female,15.065,915,estimates,1952
5_11,female,17.383,915,estimates,1952
6_9,female,10.022,915,estimates,1952
6_10,female,12.391,915,estimates,1952
6_11,female,14.71,915,estimates,1952
6_12,female,16.983,915,estimates,1952
7_10,female,9.795,915,estimates,1952
7_12,female,14.386,915,estimates,1952
11_16,female,13.195,915,estimates,1952
11_17,female,15.192,915,estimates,1952
11_18,female,17.127,915,estimates,1952
12_14,female,6.69,915,estimates,1952
12_16,female,10.877,915,estimates,1952
12_17,female,12.874,915,estimates,1952
12_18,female,14.808,915,estimates,1952
13_17,female,10.601,915,estimates,1952
13_18,female,12.535,915,estimates,1952
13_19,female,14.412,915,estimates,1952
15_17,female,6.184,915,estimates,1952
18_23,female,10.844,915,estimates,1952
15_24,female,18.675,915,estimates,1952
15_49,female,48.645,915,estimates,1952
15_59,female,54.567,915,estimates,1952
15_64,female,56.632,915,estimates,1952
20_64,female,46.638,915,estimates,1952
20_69,female,48.279,915,estimates,1952
25_49,female,29.97,915,estimates,1952
25_64,female,37.957,915,estimates,1952
25_69,female,39.599,915,estimates,1952
15plus,female,60.794,915,estimates,1952
16plus,female,58.668,915,estimates,1952
17plus,female,56.608,915,estimates,1952
18plus,female,54.611,915,estimates,1952
20plus,female,50.8,915,estimates,1952
21plus,female,48.974,915,estimates,1952
25plus,female,42.119,915,estimates,1952
50plus,female,12.149,915,estimates,1952
60plus,female,6.228,915,estimates,1952
65plus,female,4.162,915,estimates,1952
70plus,female,2.521,915,estimates,1952
75plus,female,1.379,915,estimates,1952
80plus,female,0.612,915,estimates,1952
85plus,female,0.221,915,estimates,1952
90plus,female,0.071,915,estimates,1952
total,female,100,915,estimates,1952
"Region, subregion, country or area *",male,Caribbean,915,estimates,1952
0_1,male,6.673,915,estimates,1952
0_4,male,15.461,915,estimates,1952
0_14,male,39.887,915,estimates,1952
0_17,male,46.038,915,estimates,1952
0_19,male,49.773,915,estimates,1952
0_24,male,58.101,915,estimates,1952
3_4,male,5.74,915,estimates,1952
3_5,male,8.463,915,estimates,1952
3_6,male,11.108,915,estimates,1952
4_5,male,5.54,915,estimates,1952
4_6,male,8.184,915,estimates,1952
5_14,male,24.426,915,estimates,1952
5_10,male,15.332,915,estimates,1952
5_11,male,17.682,915,estimates,1952
6_9,male,10.202,915,estimates,1952
6_10,male,12.609,915,estimates,1952
6_11,male,14.958,915,estimates,1952
6_12,male,17.255,915,estimates,1952
7_10,male,9.964,915,estimates,1952
7_12,male,14.611,915,estimates,1952
11_16,male,13.27,915,estimates,1952
11_17,male,15.245,915,estimates,1952
11_18,male,17.147,915,estimates,1952
12_14,male,6.744,915,estimates,1952
12_16,male,10.921,915,estimates,1952
12_17,male,12.896,915,estimates,1952
12_18,male,14.798,915,estimates,1952
13_17,male,10.599,915,estimates,1952
13_18,male,12.501,915,estimates,1952
13_19,male,14.334,915,estimates,1952
15_17,male,6.152,915,estimates,1952
18_23,male,10.499,915,estimates,1952
15_24,male,18.214,915,estimates,1952
15_49,male,47.739,915,estimates,1952
15_59,male,54.108,915,estimates,1952
15_64,male,56.256,915,estimates,1952
20_64,male,46.369,915,estimates,1952
20_69,male,48.019,915,estimates,1952
25_49,male,29.525,915,estimates,1952
25_64,male,38.042,915,estimates,1952
25_69,male,39.691,915,estimates,1952
15plus,male,60.113,915,estimates,1952
16plus,male,57.986,915,estimates,1952
17plus,male,55.937,915,estimates,1952
18plus,male,53.962,915,estimates,1952
20plus,male,50.227,915,estimates,1952
21plus,male,48.455,915,estimates,1952
25plus,male,41.899,915,estimates,1952
50plus,male,12.374,915,estimates,1952
60plus,male,6.005,915,estimates,1952
65plus,male,3.858,915,estimates,1952
70plus,male,2.209,915,estimates,1952
75plus,male,1.132,915,estimates,1952
80plus,male,0.482,915,estimates,1952
85plus,male,0.168,915,estimates,1952
90plus,male,0.048,915,estimates,1952
total,male,100,915,estimates,1952
"Region, subregion, country or area *",female,Caribbean,915,estimates,1953
0_1,female,6.659,915,estimates,1953
0_4,female,15.348,915,estimates,1953
0_14,female,39.295,915,estimates,1953
0_17,female,45.484,915,estimates,1953
0_19,female,49.299,915,estimates,1953
0_24,female,57.922,915,estimates,1953
3_4,female,5.64,915,estimates,1953
3_5,female,8.309,915,estimates,1953
3_6,female,10.896,915,estimates,1953
4_5,female,5.434,915,estimates,1953
4_6,female,8.021,915,estimates,1953
5_14,female,23.947,915,estimates,1953
5_10,female,14.997,915,estimates,1953
5_11,female,17.306,915,estimates,1953
6_9,female,9.969,915,estimates,1953
6_10,female,12.328,915,estimates,1953
6_11,female,14.637,915,estimates,1953
6_12,female,16.895,915,estimates,1953
7_10,female,9.741,915,estimates,1953
7_12,female,14.308,915,estimates,1953
11_16,female,13.139,915,estimates,1953
11_17,female,15.139,915,estimates,1953
11_18,female,17.077,915,estimates,1953
12_14,female,6.641,915,estimates,1953
12_16,female,10.829,915,estimates,1953
12_17,female,12.83,915,estimates,1953
12_18,female,14.768,915,estimates,1953
13_17,female,10.572,915,estimates,1953
13_18,female,12.51,915,estimates,1953
13_19,female,14.386,915,estimates,1953
15_17,female,6.189,915,estimates,1953
18_23,female,10.803,915,estimates,1953
15_24,female,18.627,915,estimates,1953
15_49,female,48.458,915,estimates,1953
15_59,female,54.516,915,estimates,1953
15_64,female,56.546,915,estimates,1953
20_64,female,46.542,915,estimates,1953
20_69,female,48.204,915,estimates,1953
25_49,female,29.831,915,estimates,1953
25_64,female,37.919,915,estimates,1953
25_69,female,39.581,915,estimates,1953
15plus,female,60.705,915,estimates,1953
16plus,female,58.582,915,estimates,1953
17plus,female,56.516,915,estimates,1953
18plus,female,54.516,915,estimates,1953
20plus,female,50.701,915,estimates,1953
21plus,female,48.883,915,estimates,1953
25plus,female,42.078,915,estimates,1953
50plus,female,12.247,915,estimates,1953
60plus,female,6.189,915,estimates,1953
65plus,female,4.159,915,estimates,1953
70plus,female,2.497,915,estimates,1953
75plus,female,1.363,915,estimates,1953
80plus,female,0.621,915,estimates,1953
85plus,female,0.212,915,estimates,1953
90plus,female,0.07,915,estimates,1953
total,female,100,915,estimates,1953
"Region, subregion, country or area *",male,Caribbean,915,estimates,1953
0_1,male,6.816,915,estimates,1953
0_4,male,15.683,915,estimates,1953
0_14,male,40.011,915,estimates,1953
0_17,male,46.179,915,estimates,1953
0_19,male,49.925,915,estimates,1953
0_24,male,58.225,915,estimates,1953
3_4,male,5.756,915,estimates,1953
3_5,male,8.477,915,estimates,1953
3_6,male,11.114,915,estimates,1953
4_5,male,5.541,915,estimates,1953
4_6,male,8.178,915,estimates,1953
5_14,male,24.328,915,estimates,1953
5_10,male,15.28,915,estimates,1953
5_11,male,17.626,915,estimates,1953
6_9,male,10.157,915,estimates,1953
6_10,male,12.559,915,estimates,1953
6_11,male,14.905,915,estimates,1953
6_12,male,17.191,915,estimates,1953
7_10,male,9.922,915,estimates,1953
7_12,male,14.554,915,estimates,1953
11_16,male,13.234,915,estimates,1953
11_17,male,15.216,915,estimates,1953
11_18,male,17.125,915,estimates,1953
12_14,male,6.702,915,estimates,1953
12_16,male,10.888,915,estimates,1953
12_17,male,12.871,915,estimates,1953
12_18,male,14.78,915,estimates,1953
13_17,male,10.584,915,estimates,1953
13_18,male,12.493,915,estimates,1953
13_19,male,14.33,915,estimates,1953
15_17,male,6.168,915,estimates,1953
18_23,male,10.49,915,estimates,1953
15_24,male,18.215,915,estimates,1953
15_49,male,47.476,915,estimates,1953
15_59,male,53.995,915,estimates,1953
15_64,male,56.097,915,estimates,1953
20_64,male,46.183,915,estimates,1953
20_69,male,47.864,915,estimates,1953
25_49,male,29.261,915,estimates,1953
25_64,male,37.883,915,estimates,1953
25_69,male,39.563,915,estimates,1953
15plus,male,59.989,915,estimates,1953
16plus,male,57.862,915,estimates,1953
17plus,male,55.803,915,estimates,1953
18plus,male,53.821,915,estimates,1953
20plus,male,50.075,915,estimates,1953
21plus,male,48.306,915,estimates,1953
25plus,male,41.775,915,estimates,1953
50plus,male,12.514,915,estimates,1953
60plus,male,5.994,915,estimates,1953
65plus,male,3.892,915,estimates,1953
70plus,male,2.211,915,estimates,1953
75plus,male,1.129,915,estimates,1953
80plus,male,0.483,915,estimates,1953
85plus,male,0.164,915,estimates,1953
90plus,male,0.048,915,estimates,1953
total,male,100,915,estimates,1953
"Region, subregion, country or area *",female,Caribbean,915,estimates,1954
0_1,female,6.74,915,estimates,1954
0_4,female,15.492,915,estimates,1954
0_14,female,39.334,915,estimates,1954
0_17,female,45.52,915,estimates,1954
0_19,female,49.347,915,estimates,1954
0_24,female,57.941,915,estimates,1954
3_4,female,5.681,915,estimates,1954
3_5,female,8.351,915,estimates,1954
3_6,female,10.932,915,estimates,1954
4_5,female,5.443,915,estimates,1954
4_6,female,8.024,915,estimates,1954
5_14,female,23.842,915,estimates,1954
5_10,female,14.932,915,estimates,1954
5_11,female,17.234,915,estimates,1954
6_9,female,9.918,915,estimates,1954
6_10,female,12.263,915,estimates,1954
6_11,female,14.564,915,estimates,1954
6_12,female,16.817,915,estimates,1954
7_10,female,9.682,915,estimates,1954
7_12,female,14.236,915,estimates,1954
11_16,female,13.088,915,estimates,1954
11_17,female,15.096,915,estimates,1954
11_18,female,17.04,915,estimates,1954
12_14,female,6.609,915,estimates,1954
12_16,female,10.787,915,estimates,1954
12_17,female,12.795,915,estimates,1954
12_18,female,14.739,915,estimates,1954
13_17,female,10.542,915,estimates,1954
13_18,female,12.487,915,estimates,1954
13_19,female,14.369,915,estimates,1954
15_17,female,6.186,915,estimates,1954
18_23,female,10.797,915,estimates,1954
15_24,female,18.607,915,estimates,1954
15_49,female,48.305,915,estimates,1954
15_59,female,54.499,915,estimates,1954
15_64,female,56.517,915,estimates,1954
20_64,female,46.503,915,estimates,1954
20_69,female,48.179,915,estimates,1954
25_49,female,29.698,915,estimates,1954
25_64,female,37.909,915,estimates,1954
25_69,female,39.585,915,estimates,1954
15plus,female,60.666,915,estimates,1954
16plus,female,58.553,915,estimates,1954
17plus,female,56.488,915,estimates,1954
18plus,female,54.48,915,estimates,1954
20plus,female,50.653,915,estimates,1954
21plus,female,48.831,915,estimates,1954
25plus,female,42.059,915,estimates,1954
50plus,female,12.361,915,estimates,1954
60plus,female,6.167,915,estimates,1954
65plus,female,4.149,915,estimates,1954
70plus,female,2.474,915,estimates,1954
75plus,female,1.334,915,estimates,1954
80plus,female,0.618,915,estimates,1954
85plus,female,0.199,915,estimates,1954
90plus,female,0.064,915,estimates,1954
total,female,100,915,estimates,1954
"Region, subregion, country or area *",male,Caribbean,915,estimates,1954
0_1,male,6.903,915,estimates,1954
0_4,male,15.834,915,estimates,1954
0_14,male,40.089,915,estimates,1954
0_17,male,46.265,915,estimates,1954
0_19,male,50.032,915,estimates,1954
0_24,male,58.321,915,estimates,1954
3_4,male,5.796,915,estimates,1954
3_5,male,8.518,915,estimates,1954
3_6,male,11.15,915,estimates,1954
4_5,male,5.552,915,estimates,1954
4_6,male,8.184,915,estimates,1954
5_14,male,24.255,915,estimates,1954
5_10,male,15.224,915,estimates,1954
5_11,male,17.568,915,estimates,1954
6_9,male,10.111,915,estimates,1954
6_10,male,12.502,915,estimates,1954
6_11,male,14.846,915,estimates,1954
6_12,male,17.134,915,estimates,1954
7_10,male,9.87,915,estimates,1954
7_12,male,14.503,915,estimates,1954
11_16,male,13.213,915,estimates,1954
11_17,male,15.207,915,estimates,1954
11_18,male,17.126,915,estimates,1954
12_14,male,6.687,915,estimates,1954
12_16,male,10.869,915,estimates,1954
12_17,male,12.863,915,estimates,1954
12_18,male,14.782,915,estimates,1954
13_17,male,10.575,915,estimates,1954
13_18,male,12.494,915,estimates,1954
13_19,male,14.341,915,estimates,1954
15_17,male,6.176,915,estimates,1954
18_23,male,10.504,915,estimates,1954
15_24,male,18.232,915,estimates,1954
15_49,male,47.25,915,estimates,1954
15_59,male,53.913,915,estimates,1954
15_64,male,55.997,915,estimates,1954
20_64,male,46.054,915,estimates,1954
20_69,male,47.755,915,estimates,1954
25_49,male,29.019,915,estimates,1954
25_64,male,37.765,915,estimates,1954
25_69,male,39.465,915,estimates,1954
15plus,male,59.911,915,estimates,1954
16plus,male,57.791,915,estimates,1954
17plus,male,55.728,915,estimates,1954
18plus,male,53.735,915,estimates,1954
20plus,male,49.968,915,estimates,1954
21plus,male,48.193,915,estimates,1954
25plus,male,41.679,915,estimates,1954
50plus,male,12.66,915,estimates,1954
60plus,male,5.998,915,estimates,1954
65plus,male,3.914,915,estimates,1954
70plus,male,2.214,915,estimates,1954
75plus,male,1.116,915,estimates,1954
80plus,male,0.475,915,estimates,1954
85plus,male,0.155,915,estimates,1954
90plus,male,0.044,915,estimates,1954
total,male,100,915,estimates,1954
"Region, subregion, country or area *",female,Caribbean,915,estimates,1955
0_1,female,6.743,915,estimates,1955
0_4,female,15.546,915,estimates,1955
0_14,female,39.31,915,estimates,1955
0_17,female,45.482,915,estimates,1955
0_19,female,49.328,915,estimates,1955
0_24,female,57.926,915,estimates,1955
3_4,female,5.718,915,estimates,1955
3_5,female,8.395,915,estimates,1955
3_6,female,10.975,915,estimates,1955
4_5,female,5.469,915,estimates,1955
4_6,female,8.048,915,estimates,1955
5_14,female,23.764,915,estimates,1955
5_10,female,14.882,915,estimates,1955
5_11,female,17.168,915,estimates,1955
6_9,female,9.88,915,estimates,1955
6_10,female,12.205,915,estimates,1955
6_11,female,14.492,915,estimates,1955
6_12,female,16.739,915,estimates,1955
7_10,female,9.625,915,estimates,1955
7_12,female,14.159,915,estimates,1955
11_16,female,13.043,915,estimates,1955
11_17,female,15.054,915,estimates,1955
11_18,female,17.008,915,estimates,1955
12_14,female,6.595,915,estimates,1955
12_16,female,10.757,915,estimates,1955
12_17,female,12.768,915,estimates,1955
12_18,female,14.722,915,estimates,1955
13_17,female,10.521,915,estimates,1955
13_18,female,12.475,915,estimates,1955
13_19,female,14.367,915,estimates,1955
15_17,female,6.172,915,estimates,1955
18_23,female,10.825,915,estimates,1955
15_24,female,18.616,915,estimates,1955
15_49,female,48.196,915,estimates,1955
15_59,female,54.525,915,estimates,1955
15_64,female,56.557,915,estimates,1955
20_64,female,46.538,915,estimates,1955
20_69,female,48.218,915,estimates,1955
25_49,female,29.58,915,estimates,1955
25_64,female,37.941,915,estimates,1955
25_69,female,39.621,915,estimates,1955
15plus,female,60.69,915,estimates,1955
16plus,female,58.588,915,estimates,1955
17plus,female,56.529,915,estimates,1955
18plus,female,54.518,915,estimates,1955
20plus,female,50.672,915,estimates,1955
21plus,female,48.841,915,estimates,1955
25plus,female,42.074,915,estimates,1955
50plus,female,12.494,915,estimates,1955
60plus,female,6.165,915,estimates,1955
65plus,female,4.133,915,estimates,1955
70plus,female,2.453,915,estimates,1955
75plus,female,1.296,915,estimates,1955
80plus,female,0.599,915,estimates,1955
85plus,female,0.184,915,estimates,1955
90plus,female,0.053,915,estimates,1955
total,female,100,915,estimates,1955
"Region, subregion, country or area *",male,Caribbean,915,estimates,1955
0_1,male,6.912,915,estimates,1955
0_4,male,15.9,915,estimates,1955
0_14,male,40.106,915,estimates,1955
0_17,male,46.282,915,estimates,1955
0_19,male,50.075,915,estimates,1955
0_24,male,58.377,915,estimates,1955
3_4,male,5.835,915,estimates,1955
3_5,male,8.565,915,estimates,1955
3_6,male,11.195,915,estimates,1955
4_5,male,5.577,915,estimates,1955
4_6,male,8.207,915,estimates,1955
5_14,male,24.206,915,estimates,1955
5_10,male,15.175,915,estimates,1955
5_11,male,17.508,915,estimates,1955
6_9,male,10.074,915,estimates,1955
6_10,male,12.446,915,estimates,1955
6_11,male,14.779,915,estimates,1955
6_12,male,17.069,915,estimates,1955
7_10,male,9.815,915,estimates,1955
7_12,male,14.439,915,estimates,1955
11_16,male,13.206,915,estimates,1955
11_17,male,15.207,915,estimates,1955
11_18,male,17.14,915,estimates,1955
12_14,male,6.698,915,estimates,1955
