agebroad,gender,percentagetotalpopulation,region,variant,year
"Region, subregion, country or area *",female,Northern Africa,912,estimates,1950
0_1,female,7.534,912,estimates,1950
0_4,female,16.551,912,estimates,1950
0_14,female,39.515,912,estimates,1950
0_17,female,45.788,912,estimates,1950
0_19,female,49.809,912,estimates,1950
0_24,female,59.078,912,estimates,1950
3_4,female,5.762,912,estimates,1950
3_5,female,8.362,912,estimates,1950
3_6,female,10.828,912,estimates,1950
4_5,female,5.372,912,estimates,1950
4_6,female,7.839,912,estimates,1950
5_14,female,22.963,912,estimates,1950
5_10,female,14.203,912,estimates,1950
5_11,female,16.423,912,estimates,1950
6_9,female,9.379,912,estimates,1950
6_10,female,11.603,912,estimates,1950
6_11,female,13.823,912,estimates,1950
6_12,female,16.034,912,estimates,1950
7_10,female,9.136,912,estimates,1950
7_12,female,13.567,912,estimates,1950
11_16,female,12.969,912,estimates,1950
11_17,female,15.033,912,estimates,1950
11_18,female,17.064,912,estimates,1950
12_14,female,6.54,912,estimates,1950
12_16,female,10.749,912,estimates,1950
12_17,female,12.813,912,estimates,1950
12_18,female,14.844,912,estimates,1950
13_17,female,10.602,912,estimates,1950
13_18,female,12.633,912,estimates,1950
13_19,female,14.624,912,estimates,1950
15_17,female,6.273,912,estimates,1950
18_23,female,11.555,912,estimates,1950
15_24,female,19.563,912,estimates,1950
15_49,female,48.268,912,estimates,1950
15_59,female,54.751,912,estimates,1950
15_64,female,56.96,912,estimates,1950
20_64,female,46.666,912,estimates,1950
20_69,female,48.266,912,estimates,1950
25_49,female,28.705,912,estimates,1950
25_64,female,37.397,912,estimates,1950
25_69,female,38.998,912,estimates,1950
15plus,female,60.485,912,estimates,1950
16plus,female,58.369,912,estimates,1950
17plus,female,56.277,912,estimates,1950
18plus,female,54.212,912,estimates,1950
20plus,female,50.191,912,estimates,1950
21plus,female,48.239,912,estimates,1950
25plus,female,40.922,912,estimates,1950
50plus,female,12.217,912,estimates,1950
60plus,female,5.734,912,estimates,1950
65plus,female,3.525,912,estimates,1950
70plus,female,1.924,912,estimates,1950
75plus,female,0.854,912,estimates,1950
80plus,female,0.334,912,estimates,1950
85plus,female,0.114,912,estimates,1950
90plus,female,0.037,912,estimates,1950
total,female,100,912,estimates,1950
"Region, subregion, country or area *",male,Northern Africa,912,estimates,1950
0_1,male,7.846,912,estimates,1950
0_4,male,17.091,912,estimates,1950
0_14,male,40.297,912,estimates,1950
0_17,male,46.71,912,estimates,1950
0_19,male,50.814,912,estimates,1950
0_24,male,60.153,912,estimates,1950
3_4,male,5.888,912,estimates,1950
3_5,male,8.525,912,estimates,1950
3_6,male,11.017,912,estimates,1950
4_5,male,5.462,912,estimates,1950
4_6,male,7.954,912,estimates,1950
5_14,male,23.206,912,estimates,1950
5_10,male,14.331,912,estimates,1950
5_11,male,16.572,912,estimates,1950
6_9,male,9.453,912,estimates,1950
6_10,male,11.694,912,estimates,1950
6_11,male,13.935,912,estimates,1950
6_12,male,16.173,912,estimates,1950
7_10,male,9.202,912,estimates,1950
7_12,male,13.681,912,estimates,1950
11_16,male,13.174,912,estimates,1950
11_17,male,15.288,912,estimates,1950
11_18,male,17.364,912,estimates,1950
12_14,male,6.634,912,estimates,1950
12_16,male,10.932,912,estimates,1950
12_17,male,13.047,912,estimates,1950
12_18,male,15.123,912,estimates,1950
13_17,male,10.81,912,estimates,1950
13_18,male,12.886,912,estimates,1950
13_19,male,14.913,912,estimates,1950
15_17,male,6.413,912,estimates,1950
18_23,male,11.701,912,estimates,1950
15_24,male,19.856,912,estimates,1950
15_49,male,48.402,912,estimates,1950
15_59,male,54.61,912,estimates,1950
15_64,male,56.649,912,estimates,1950
20_64,male,46.132,912,estimates,1950
