agebroad,gender,percentagetotalpopulation,region,variant,year
0_1,female,5.411,5500,estimates,1950
0_4,female,10.431,5500,estimates,1950
0_14,female,30.733,5500,estimates,1950
0_17,female,36.397,5500,estimates,1950
0_19,female,40.079,5500,estimates,1950
0_24,female,50.515,5500,estimates,1950
3_4,female,3.091,5500,estimates,1950
3_5,female,4.504,5500,estimates,1950
3_6,female,5.961,5500,estimates,1950
4_5,female,2.876,5500,estimates,1950
4_6,female,4.333,5500,estimates,1950
5_14,female,20.301,5500,estimates,1950
5_10,female,10.297,5500,estimates,1950
5_11,female,12.785,5500,estimates,1950
6_9,female,6.704,5500,estimates,1950
6_10,female,8.884,5500,estimates,1950
6_11,female,11.372,5500,estimates,1950
6_12,female,14.018,5500,estimates,1950
7_10,female,7.427,5500,estimates,1950
7_12,female,12.562,5500,estimates,1950
11_16,female,13.953,5500,estimates,1950
11_17,female,15.669,5500,estimates,1950
11_18,female,17.431,5500,estimates,1950
12_14,female,7.516,5500,estimates,1950
12_16,female,11.465,5500,estimates,1950
12_17,female,13.181,5500,estimates,1950
12_18,female,14.943,5500,estimates,1950
13_17,female,10.534,5500,estimates,1950
13_18,female,12.297,5500,estimates,1950
13_19,female,14.216,5500,estimates,1950
15_17,female,5.665,5500,estimates,1950
18_23,female,12.209,5500,estimates,1950
15_24,female,19.783,5500,estimates,1950
15_49,female,51.151,5500,estimates,1950
15_59,female,59.594,5500,estimates,1950
15_64,female,62.992,5500,estimates,1950
20_64,female,53.646,5500,estimates,1950
20_69,female,56.187,5500,estimates,1950
25_49,female,31.368,5500,estimates,1950
25_64,female,43.21,5500,estimates,1950
25_69,female,45.75,5500,estimates,1950
15plus,female,69.267,5500,estimates,1950
16plus,female,67.171,5500,estimates,1950
17plus,female,65.318,5500,estimates,1950
18plus,female,63.603,5500,estimates,1950
20plus,female,59.921,5500,estimates,1950
21plus,female,57.879,5500,estimates,1950
25plus,female,49.485,5500,estimates,1950
50plus,female,18.116,5500,estimates,1950
60plus,female,9.673,5500,estimates,1950
65plus,female,6.275,5500,estimates,1950
70plus,female,3.734,5500,estimates,1950
75plus,female,1.906,5500,estimates,1950
80plus,female,0.781,5500,estimates,1950
85plus,female,0.306,5500,estimates,1950
90plus,female,0.092,5500,estimates,1950
total,female,100,5500,estimates,1950
0_1,male,5.873,5500,estimates,1950
0_4,male,11.551,5500,estimates,1950
0_14,male,34.256,5500,estimates,1950
0_17,male,40.465,5500,estimates,1950
0_19,male,44.518,5500,estimates,1950
0_24,male,55.796,5500,estimates,1950
3_4,male,3.529,5500,estimates,1950
3_5,male,5.164,5500,estimates,1950
3_6,male,6.848,5500,estimates,1950
4_5,male,3.318,5500,estimates,1950
4_6,male,5.002,5500,estimates,1950
5_14,male,22.705,5500,estimates,1950
5_10,male,11.712,5500,estimates,1950
5_11,male,14.458,5500,estimates,1950
6_9,male,7.647,5500,estimates,1950
6_10,male,10.077,5500,estimates,1950
6_11,male,12.822,5500,estimates,1950
6_12,male,15.727,5500,estimates,1950
7_10,male,8.393,5500,estimates,1950
7_12,male,14.043,5500,estimates,1950
11_16,male,15.324,5500,estimates,1950
11_17,male,17.202,5500,estimates,1950
11_18,male,19.138,5500,estimates,1950
12_14,male,8.247,5500,estimates,1950
12_16,male,12.578,5500,estimates,1950
12_17,male,14.456,5500,estimates,1950
12_18,male,16.392,5500,estimates,1950
13_17,male,11.552,5500,estimates,1950
13_18,male,13.488,5500,estimates,1950
13_19,male,15.605,5500,estimates,1950
15_17,male,6.209,5500,estimates,1950
18_23,male,13.409,5500,estimates,1950
15_24,male,21.54,5500,estimates,1950
15_49,male,47.136,5500,estimates,1950
15_59,male,55.703,5500,estimates,1950
15_64,male,59.55,5500,estimates,1950
20_64,male,49.288,5500,estimates,1950
20_69,male,52.066,5500,estimates,1950
25_49,male,25.596,5500,estimates,1950
25_64,male,38.01,5500,estimates,1950
25_69,male,40.788,5500,estimates,1950
15plus,male,65.744,5500,estimates,1950
16plus,male,63.442,5500,estimates,1950
17plus,male,61.413,5500,estimates,1950
18plus,male,59.535,5500,estimates,1950
