continent,year,variant,freq,age5yearinterval,fertilityrateper1000women
935,2015,no_change,5yearly,20_24,149.362664593568
935,2015,zero_migration,5yearly,20_24,141.267776423641
935,2015,constant_fertility,5yearly,25_29,138.885523334665
935,2015,constant_mortality,5yearly,25_29,135.411101141253
935,2015,high_variant,5yearly,25_29,151.5723917741
935,2015,instant_replacement,5yearly,25_29,142.060524222618
935,2015,low_variant,5yearly,25_29,119.285604322609
935,2015,medium_variant,5yearly,25_29,135.415406934949
935,2015,momentum,5yearly,25_29,143.125320779656
935,2015,no_change,5yearly,25_29,138.880588073162
935,2015,zero_migration,5yearly,25_29,135.463789822536
935,2015,constant_fertility,5yearly,30_34,78.4191941169004
935,2015,constant_mortality,5yearly,30_34,77.7164806752082
935,2015,high_variant,5yearly,30_34,87.1011526738386
935,2015,instant_replacement,5yearly,30_34,81.0103845777731
935,2015,low_variant,5yearly,30_34,68.5347275280582
935,2015,medium_variant,5yearly,30_34,77.7175794309778
935,2015,momentum,5yearly,30_34,81.5340087457187
935,2015,no_change,5yearly,30_34,78.4166273613328
935,2015,zero_migration,5yearly,30_34,77.7228047057919
935,2015,constant_fertility,5yearly,35_39,35.4623634415545
935,2015,constant_mortality,5yearly,35_39,34.4751089582267
935,2015,high_variant,5yearly,35_39,38.6578862508217
935,2015,instant_replacement,5yearly,35_39,35.3619136664259
935,2015,low_variant,5yearly,35_39,30.4935879877902
935,2015,medium_variant,5yearly,35_39,34.4759151693711
935,2015,momentum,5yearly,35_39,35.5851201257904
935,2015,no_change,5yearly,35_39,35.4602762056775
935,2015,zero_migration,5yearly,35_39,34.4895126819159
935,2015,constant_fertility,5yearly,40_44,11.4750830451771
935,2015,constant_mortality,5yearly,40_44,11.258961292616
935,2015,high_variant,5yearly,40_44,12.6278026711146
935,2015,instant_replacement,5yearly,40_44,11.6626149714339
935,2015,low_variant,5yearly,40_44,9.94635728705558
935,2015,medium_variant,5yearly,40_44,11.2594495984498
935,2015,momentum,5yearly,40_44,11.7410589599453
935,2015,no_change,5yearly,40_44,11.4738921497217
935,2015,zero_migration,5yearly,40_44,11.270143469411
935,2015,constant_fertility,5yearly,45_49,2.68221291612
935,2015,constant_mortality,5yearly,45_49,2.32274869259649
935,2015,high_variant,5yearly,45_49,2.57842433040588
935,2015,instant_replacement,5yearly,45_49,2.26285530133654
935,2015,low_variant,5yearly,45_49,2.06260677448709
935,2015,medium_variant,5yearly,45_49,2.32310043696135
935,2015,momentum,5yearly,45_49,2.2844347687848
935,2015,no_change,5yearly,45_49,2.68174169413646
935,2015,zero_migration,5yearly,45_49,2.32787140724786
935,2020,constant_fertility,5yearly,15_19,32.0265453531671
935,2020,constant_mortality,5yearly,15_19,24.2661787882637
935,2020,high_variant,5yearly,15_19,28.4824246199885
935,2020,instant_replacement,5yearly,15_19,23.5729269871918
935,2020,low_variant,5yearly,15_19,19.8327267269669
935,2020,medium_variant,5yearly,15_19,24.2706797412271
935,2020,momentum,5yearly,15_19,24.0259049316872
935,2020,no_change,5yearly,15_19,32.0190992238321
935,2020,zero_migration,5yearly,15_19,24.3230115264155
935,2020,constant_fertility,5yearly,20_24,151.566415234827
935,2020,constant_mortality,5yearly,20_24,132.222905889644
935,2020,high_variant,5yearly,20_24,156.772889112881
935,2020,instant_replacement,5yearly,20_24,135.821680478602
935,2020,low_variant,5yearly,20_24,107.328945870714
935,2020,medium_variant,5yearly,20_24,132.254867422874
935,2020,momentum,5yearly,20_24,138.187113322605
935,2020,no_change,5yearly,20_24,151.536640869503
935,2020,zero_migration,5yearly,20_24,132.371363251633
935,2020,constant_fertility,5yearly,25_29,141.531108737925
935,2020,constant_mortality,5yearly,25_29,132.985012271
935,2020,high_variant,5yearly,25_29,158.596004324693
935,2020,instant_replacement,5yearly,25_29,139.605400163467
