continent,year,variant,freq,age5yearinterval,fertilityrateper1000women
908,1950,estimates,5yearly,"Region, subregion, country or area *",EUROPE
908,1950,estimates,5yearly,15_19,27.3666592489637
908,1950,estimates,5yearly,20_24,144.751721173211
908,1950,estimates,5yearly,25_29,163.625840936806
908,1950,estimates,5yearly,30_34,106.174581912519
908,1950,estimates,5yearly,35_39,63.460050203183
908,1950,estimates,5yearly,40_44,24.0033401661496
908,1950,estimates,5yearly,45_49,3.10573556984707
908,1955,estimates,5yearly,"Region, subregion, country or area *",EUROPE
908,1955,estimates,5yearly,15_19,33.5348928554315
908,1955,estimates,5yearly,20_24,153.15932144797
908,1955,estimates,5yearly,25_29,160.030436398817
908,1955,estimates,5yearly,30_34,104.995579283467
908,1955,estimates,5yearly,35_39,58.9725458201592
908,1955,estimates,5yearly,40_44,19.3247982374412
908,1955,estimates,5yearly,45_49,2.23684222337213
908,1960,estimates,5yearly,"Region, subregion, country or area *",EUROPE
908,1960,estimates,5yearly,15_19,37.3976583150813
908,1960,estimates,5yearly,20_24,159.568736130813
908,1960,estimates,5yearly,25_29,153.504402295193
908,1960,estimates,5yearly,30_34,95.2678268135607
908,1960,estimates,5yearly,35_39,49.5753883177762
908,1960,estimates,5yearly,40_44,16.7541595027228
908,1960,estimates,5yearly,45_49,1.66312709590064
908,1965,estimates,5yearly,"Region, subregion, country or area *",EUROPE
908,1965,estimates,5yearly,15_19,36.8694386331304
908,1965,estimates,5yearly,20_24,154.673450857313
908,1965,estimates,5yearly,25_29,139.925927583953
908,1965,estimates,5yearly,30_34,86.0035542207919
908,1965,estimates,5yearly,35_39,42.5207592566533
908,1965,estimates,5yearly,40_44,12.6890171316446
908,1965,estimates,5yearly,45_49,1.2301277488243
908,1970,estimates,5yearly,"Region, subregion, country or area *",EUROPE
908,1970,estimates,5yearly,15_19,36.3237106766986
908,1970,estimates,5yearly,20_24,150.386629972204
908,1970,estimates,5yearly,25_29,129.821865770706
908,1970,estimates,5yearly,30_34,72.6504357091652
908,1970,estimates,5yearly,35_39,34.7113525473985
908,1970,estimates,5yearly,40_44,9.8653914298807
908,1970,estimates,5yearly,45_49,0.787327762271372
908,1975,estimates,5yearly,"Region, subregion, country or area *",EUROPE
908,1975,estimates,5yearly,15_19,35.5916786780646
908,1975,estimates,5yearly,20_24,142.716554343819
