variant,region,year,infantmortalityper1000livebirth
estimates,948,1950,185.448
estimates,948,1951,183.179
estimates,948,1952,178.723
estimates,948,1953,174.435
estimates,948,1954,170.314
estimates,948,1955,166.361
estimates,948,1956,162.573
estimates,948,1957,158.948
estimates,948,1958,155.48
estimates,948,1959,152.16
estimates,948,1960,148.976
estimates,948,1961,145.918
estimates,948,1962,142.972
estimates,948,1963,140.128
estimates,948,1964,137.383
estimates,948,1965,134.755
estimates,948,1966,132.274
estimates,948,1967,129.95
estimates,948,1968,127.769
estimates,948,1969,125.698
estimates,948,1970,123.677
estimates,948,1971,121.637
estimates,948,1972,119.524
estimates,948,1973,117.299
estimates,948,1974,114.947
estimates,948,1975,112.472
estimates,948,1976,109.899
estimates,948,1977,107.285
estimates,948,1978,104.685
estimates,948,1979,102.126
estimates,948,1980,99.627
estimates,948,1981,97.193
estimates,948,1982,94.818
estimates,948,1983,92.506
estimates,948,1984,90.27
estimates,948,1985,88.14
estimates,948,1986,86.144
estimates,948,1987,84.289
estimates,948,1988,82.567
estimates,948,1989,80.961
estimates,948,1990,79.442
estimates,948,1991,77.972
estimates,948,1992,76.511
estimates,948,1993,75.02
estimates,948,1994,73.476
estimates,948,1995,71.861
estimates,948,1996,70.171
estimates,948,1997,68.424
estimates,948,1998,66.642
estimates,948,1999,64.832
estimates,948,2000,63.007
estimates,948,2001,61.174
estimates,948,2002,59.345
estimates,948,2003,57.534
estimates,948,2004,55.753
estimates,948,2005,54.011
estimates,948,2006,52.311
estimates,948,2007,50.654
estimates,948,2008,49.044
estimates,948,2009,47.488
estimates,948,2010,45.996
estimates,948,2011,44.576
estimates,948,2012,43.232
estimates,948,2013,41.963
estimates,948,2014,40.768
estimates,948,2015,39.646
medium_variant,948,2015,39.646
medium_variant,948,2016,38.592
medium_variant,948,2017,37.598
medium_variant,948,2018,36.654
medium_variant,948,2019,35.752
medium_variant,948,2020,34.886
medium_variant,948,2021,34.052
medium_variant,948,2022,33.248
medium_variant,948,2023,32.472
medium_variant,948,2024,31.719
medium_variant,948,2025,30.987
medium_variant,948,2026,30.276
medium_variant,948,2027,29.585
medium_variant,948,2028,28.916
medium_variant,948,2029,28.267
medium_variant,948,2030,27.636
medium_variant,948,2031,27.022
medium_variant,948,2032,26.425
medium_variant,948,2033,25.843
medium_variant,948,2034,25.276
medium_variant,948,2035,24.725
medium_variant,948,2036,24.19
medium_variant,948,2037,23.672
medium_variant,948,2038,23.171
medium_variant,948,2039,22.687
medium_variant,948,2040,22.22
medium_variant,948,2041,21.767
medium_variant,948,2042,21.329
medium_variant,948,2043,20.904
medium_variant,948,2044,20.49
medium_variant,948,2045,20.085
medium_variant,948,2046,19.687
medium_variant,948,2047,19.296
medium_variant,948,2048,18.911
medium_variant,948,2049,18.533
medium_variant,948,2050,18.162
medium_variant,948,2051,17.799
medium_variant,948,2052,17.447
medium_variant,948,2053,17.106
medium_variant,948,2054,16.778
medium_variant,948,2055,16.461
medium_variant,948,2056,16.156
medium_variant,948,2057,15.861
medium_variant,948,2058,15.576
medium_variant,948,2059,15.299
medium_variant,948,2060,15.029
medium_variant,948,2061,14.766
medium_variant,948,2062,14.509
medium_variant,948,2063,14.258
medium_variant,948,2064,14.013
medium_variant,948,2065,13.775
medium_variant,948,2066,13.543
medium_variant,948,2067,13.319
medium_variant,948,2068,13.103
medium_variant,948,2069,12.894
medium_variant,948,2070,12.692
medium_variant,948,2071,12.496
medium_variant,948,2072,12.305
medium_variant,948,2073,12.119
medium_variant,948,2074,11.937
medium_variant,948,2075,11.759
medium_variant,948,2076,11.585
medium_variant,948,2077,11.415
medium_variant,948,2078,11.251
medium_variant,948,2079,11.092
medium_variant,948,2080,10.937
medium_variant,948,2081,10.787
medium_variant,948,2082,10.641
medium_variant,948,2083,10.499
medium_variant,948,2084,10.36
medium_variant,948,2085,10.225
medium_variant,948,2086,10.092
medium_variant,948,2087,9.962
medium_variant,948,2088,9.834
medium_variant,948,2089,9.709
medium_variant,948,2090,9.585
medium_variant,948,2091,9.464
medium_variant,948,2092,9.345
medium_variant,948,2093,9.229
medium_variant,948,2094,9.115
medium_variant,948,2095,9.003
medium_variant,948,2096,8.894
medium_variant,948,2097,8.788
medium_variant,948,2098,8.683
medium_variant,948,2099,8.582
