variant,region,year,infantmortalityper1000livebirth
estimates,912,1950,214.005
estimates,912,1951,210.654
estimates,912,1952,204.144
estimates,912,1953,198.018
estimates,912,1954,192.275
estimates,912,1955,186.915
estimates,912,1956,181.932
estimates,912,1957,177.319
estimates,912,1958,173.058
estimates,912,1959,169.126
estimates,912,1960,165.488
estimates,912,1961,162.107
estimates,912,1962,158.939
estimates,912,1963,155.942
estimates,912,1964,153.082
estimates,912,1965,150.386
estimates,912,1966,147.909
estimates,912,1967,145.663
estimates,912,1968,143.6
estimates,912,1969,141.625
estimates,912,1970,139.573
estimates,912,1971,137.257
estimates,912,1972,134.549
estimates,912,1973,131.374
estimates,912,1974,127.714
estimates,912,1975,123.613
estimates,912,1976,119.176
estimates,912,1977,114.575
estimates,912,1978,109.959
estimates,912,1979,105.403
estimates,912,1980,100.921
estimates,912,1981,96.471
estimates,912,1982,92.006
estimates,912,1983,87.524
estimates,912,1984,83.091
estimates,912,1985,78.833
estimates,912,1986,74.898
estimates,912,1987,71.376
estimates,912,1988,68.301
estimates,912,1989,65.654
estimates,912,1990,63.337
estimates,912,1991,61.199
estimates,912,1992,59.078
estimates,912,1993,56.864
estimates,912,1994,54.529
estimates,912,1995,52.11
estimates,912,1996,49.702
estimates,912,1997,47.438
estimates,912,1998,45.411
estimates,912,1999,43.641
estimates,912,2000,42.118
estimates,912,2001,40.797
estimates,912,2002,39.596
estimates,912,2003,38.442
estimates,912,2004,37.302
estimates,912,2005,36.152
estimates,912,2006,34.987
estimates,912,2007,33.828
estimates,912,2008,32.693
estimates,912,2009,31.587
estimates,912,2010,30.518
estimates,912,2011,29.496
estimates,912,2012,28.529
estimates,912,2013,27.622
estimates,912,2014,26.778
estimates,912,2015,25.998
medium_variant,912,2015,25.998
medium_variant,912,2016,25.278
medium_variant,912,2017,24.611
medium_variant,912,2018,23.988
medium_variant,912,2019,23.403
medium_variant,912,2020,22.852
medium_variant,912,2021,22.332
medium_variant,912,2022,21.842
medium_variant,912,2023,21.376
medium_variant,912,2024,20.93
medium_variant,912,2025,20.499
medium_variant,912,2026,20.077
medium_variant,912,2027,19.664
medium_variant,912,2028,19.257
medium_variant,912,2029,18.854
medium_variant,912,2030,18.453
medium_variant,912,2031,18.052
medium_variant,912,2032,17.654
medium_variant,912,2033,17.262
medium_variant,912,2034,16.877
medium_variant,912,2035,16.5
medium_variant,912,2036,16.136
medium_variant,912,2037,15.785
medium_variant,912,2038,15.45
medium_variant,912,2039,15.13
medium_variant,912,2040,14.826
medium_variant,912,2041,14.537
medium_variant,912,2042,14.262
medium_variant,912,2043,13.998
medium_variant,912,2044,13.745
medium_variant,912,2045,13.502
medium_variant,912,2046,13.269
medium_variant,912,2047,13.045
medium_variant,912,2048,12.832
medium_variant,912,2049,12.627
medium_variant,912,2050,12.433
medium_variant,912,2051,12.251
medium_variant,912,2052,12.079
medium_variant,912,2053,11.918
medium_variant,912,2054,11.766
medium_variant,912,2055,11.621
medium_variant,912,2056,11.481
medium_variant,912,2057,11.343
medium_variant,912,2058,11.207
medium_variant,912,2059,11.072
medium_variant,912,2060,10.937
medium_variant,912,2061,10.803
medium_variant,912,2062,10.673
medium_variant,912,2063,10.547
medium_variant,912,2064,10.426
medium_variant,912,2065,10.31
medium_variant,912,2066,10.2
medium_variant,912,2067,10.094
medium_variant,912,2068,9.992
medium_variant,912,2069,9.894
medium_variant,912,2070,9.799
medium_variant,912,2071,9.706
medium_variant,912,2072,9.614
medium_variant,912,2073,9.524
medium_variant,912,2074,9.435
medium_variant,912,2075,9.347
medium_variant,912,2076,9.259
medium_variant,912,2077,9.172
medium_variant,912,2078,9.086
medium_variant,912,2079,9.001
medium_variant,912,2080,8.918
medium_variant,912,2081,8.838
medium_variant,912,2082,8.76
medium_variant,912,2083,8.686
medium_variant,912,2084,8.614
medium_variant,912,2085,8.546
medium_variant,912,2086,8.479
medium_variant,912,2087,8.414
medium_variant,912,2088,8.35
medium_variant,912,2089,8.289
medium_variant,912,2090,8.231
medium_variant,912,2091,8.179
medium_variant,912,2092,8.132
medium_variant,912,2093,8.093
medium_variant,912,2094,8.062
medium_variant,912,2095,8.039
medium_variant,912,2096,8.026
medium_variant,912,2097,8.022
medium_variant,912,2098,8.028
medium_variant,912,2099,8.042
