variant,region,year,infantmortalityper1000livebirth
estimates,957,1950,105.969
estimates,957,1951,103.93
estimates,957,1952,99.998
estimates,957,1953,96.358
estimates,957,1954,93.01
estimates,957,1955,89.952
estimates,957,1956,87.179
estimates,957,1957,84.68
estimates,957,1958,82.435
estimates,957,1959,80.412
estimates,957,1960,78.57
estimates,957,1961,76.866
estimates,957,1962,75.25
estimates,957,1963,73.679
estimates,957,1964,72.124
estimates,957,1965,70.581
estimates,957,1966,69.07
estimates,957,1967,67.618
estimates,957,1968,66.235
estimates,957,1969,64.905
estimates,957,1970,63.607
estimates,957,1971,62.319
estimates,957,1972,61.007
estimates,957,1973,59.634
estimates,957,1974,58.17
estimates,957,1975,56.569
estimates,957,1976,54.789
estimates,957,1977,52.833
estimates,957,1978,50.721
estimates,957,1979,48.48
estimates,957,1980,46.146
estimates,957,1981,43.761
estimates,957,1982,41.388
estimates,957,1983,39.092
estimates,957,1984,36.929
estimates,957,1985,34.962
estimates,957,1986,33.246
estimates,957,1987,31.776
estimates,957,1988,30.532
estimates,957,1989,29.494
estimates,957,1990,28.611
estimates,957,1991,27.812
estimates,957,1992,27.034
estimates,957,1993,26.228
estimates,957,1994,25.376
estimates,957,1995,24.49
estimates,957,1996,23.608
estimates,957,1997,22.785
estimates,957,1998,22.06
estimates,957,1999,21.436
estimates,957,2000,20.907
estimates,957,2001,20.453
estimates,957,2002,20.037
estimates,957,2003,19.63
estimates,957,2004,19.214
estimates,957,2005,18.777
estimates,957,2006,18.312
estimates,957,2007,17.829
estimates,957,2008,17.338
estimates,957,2009,16.844
estimates,957,2010,16.356
estimates,957,2011,15.885
estimates,957,2012,15.44
estimates,957,2013,15.027
estimates,957,2014,14.652
estimates,957,2015,14.315
medium_variant,957,2015,14.315
medium_variant,957,2016,14.015
medium_variant,957,2017,13.745
medium_variant,957,2018,13.496
medium_variant,957,2019,13.264
medium_variant,957,2020,13.047
medium_variant,957,2021,12.841
medium_variant,957,2022,12.645
medium_variant,957,2023,12.457
medium_variant,957,2024,12.275
medium_variant,957,2025,12.096
medium_variant,957,2026,11.92
medium_variant,957,2027,11.746
medium_variant,957,2028,11.576
medium_variant,957,2029,11.407
medium_variant,957,2030,11.239
medium_variant,957,2031,11.073
medium_variant,957,2032,10.908
medium_variant,957,2033,10.745
medium_variant,957,2034,10.583
medium_variant,957,2035,10.423
medium_variant,957,2036,10.265
medium_variant,957,2037,10.107
medium_variant,957,2038,9.952
medium_variant,957,2039,9.798
medium_variant,957,2040,9.645
medium_variant,957,2041,9.494
medium_variant,957,2042,9.345
medium_variant,957,2043,9.197
medium_variant,957,2044,9.052
medium_variant,957,2045,8.909
medium_variant,957,2046,8.769
medium_variant,957,2047,8.633
medium_variant,957,2048,8.5
medium_variant,957,2049,8.372
medium_variant,957,2050,8.248
medium_variant,957,2051,8.129
medium_variant,957,2052,8.014
medium_variant,957,2053,7.903
medium_variant,957,2054,7.795
medium_variant,957,2055,7.691
medium_variant,957,2056,7.588
medium_variant,957,2057,7.488
medium_variant,957,2058,7.389
medium_variant,957,2059,7.292
medium_variant,957,2060,7.194
medium_variant,957,2061,7.098
medium_variant,957,2062,7.002
medium_variant,957,2063,6.907
medium_variant,957,2064,6.812
medium_variant,957,2065,6.718
medium_variant,957,2066,6.624
medium_variant,957,2067,6.53
medium_variant,957,2068,6.438
medium_variant,957,2069,6.346
medium_variant,957,2070,6.254
medium_variant,957,2071,6.163
medium_variant,957,2072,6.073
medium_variant,957,2073,5.983
medium_variant,957,2074,5.894
medium_variant,957,2075,5.806
medium_variant,957,2076,5.719
medium_variant,957,2077,5.634
medium_variant,957,2078,5.55
medium_variant,957,2079,5.468
medium_variant,957,2080,5.388
medium_variant,957,2081,5.31
medium_variant,957,2082,5.234
medium_variant,957,2083,5.16
medium_variant,957,2084,5.088
medium_variant,957,2085,5.017
medium_variant,957,2086,4.948
medium_variant,957,2087,4.88
medium_variant,957,2088,4.813
medium_variant,957,2089,4.747
medium_variant,957,2090,4.682
medium_variant,957,2091,4.618
medium_variant,957,2092,4.555
medium_variant,957,2093,4.493
medium_variant,957,2094,4.431
medium_variant,957,2095,4.37
medium_variant,957,2096,4.311
medium_variant,957,2097,4.251
medium_variant,957,2098,4.193
medium_variant,957,2099,4.136
