variant,region,year,infantmortalityper1000livebirth
estimates,947,1950,190.441
estimates,947,1951,188.967
estimates,947,1952,186.029
estimates,947,1953,183.107
estimates,947,1954,180.203
estimates,947,1955,177.316
estimates,947,1956,174.448
estimates,947,1957,171.603
estimates,947,1958,168.786
estimates,947,1959,166.005
estimates,947,1960,163.272
estimates,947,1961,160.596
estimates,947,1962,157.988
estimates,947,1963,155.453
estimates,947,1964,152.99
estimates,947,1965,150.591
estimates,947,1966,148.245
estimates,947,1967,145.935
estimates,947,1968,143.649
estimates,947,1969,141.383
estimates,947,1970,139.125
estimates,947,1971,136.868
estimates,947,1972,134.621
estimates,947,1973,132.4
estimates,947,1974,130.225
estimates,947,1975,128.119
estimates,947,1976,126.11
estimates,947,1977,124.218
estimates,947,1978,122.462
estimates,947,1979,120.85
estimates,947,1980,119.386
estimates,947,1981,118.063
estimates,947,1982,116.86
estimates,947,1983,115.765
estimates,947,1984,114.772
estimates,947,1985,113.916
estimates,947,1986,113.248
estimates,947,1987,112.767
estimates,947,1988,112.437
estimates,947,1989,112.186
estimates,947,1990,111.901
estimates,947,1991,111.457
estimates,947,1992,110.75
estimates,947,1993,109.709
estimates,947,1994,108.296
estimates,947,1995,106.506
estimates,947,1996,104.378
estimates,947,1997,102.011
estimates,947,1998,99.497
estimates,947,1999,96.89
estimates,947,2000,94.222
estimates,947,2001,91.507
estimates,947,2002,88.745
estimates,947,2003,85.948
estimates,947,2004,83.149
estimates,947,2005,80.375
estimates,947,2006,77.647
estimates,947,2007,74.978
estimates,947,2008,72.383
estimates,947,2009,69.883
estimates,947,2010,67.498
estimates,947,2011,65.242
estimates,947,2012,63.11
estimates,947,2013,61.097
estimates,947,2014,59.201
estimates,947,2015,57.42
medium_variant,947,2015,57.42
medium_variant,947,2016,55.749
medium_variant,947,2017,54.175
medium_variant,947,2018,52.682
medium_variant,947,2019,51.26
medium_variant,947,2020,49.896
medium_variant,947,2021,48.583
medium_variant,947,2022,47.316
medium_variant,947,2023,46.092
medium_variant,947,2024,44.904
medium_variant,947,2025,43.749
medium_variant,947,2026,42.627
medium_variant,947,2027,41.541
medium_variant,947,2028,40.491
medium_variant,947,2029,39.477
medium_variant,947,2030,38.495
medium_variant,947,2031,37.544
medium_variant,947,2032,36.621
medium_variant,947,2033,35.726
medium_variant,947,2034,34.857
medium_variant,947,2035,34.014
medium_variant,947,2036,33.197
medium_variant,947,2037,32.407
medium_variant,947,2038,31.645
medium_variant,947,2039,30.911
medium_variant,947,2040,30.202
medium_variant,947,2041,29.52
medium_variant,947,2042,28.863
medium_variant,947,2043,28.229
medium_variant,947,2044,27.614
medium_variant,947,2045,27.015
medium_variant,947,2046,26.427
medium_variant,947,2047,25.849
medium_variant,947,2048,25.279
medium_variant,947,2049,24.718
medium_variant,947,2050,24.165
medium_variant,947,2051,23.624
medium_variant,947,2052,23.098
medium_variant,947,2053,22.591
medium_variant,947,2054,22.103
medium_variant,947,2055,21.636
medium_variant,947,2056,21.189
medium_variant,947,2057,20.762
medium_variant,947,2058,20.352
medium_variant,947,2059,19.958
medium_variant,947,2060,19.579
medium_variant,947,2061,19.213
medium_variant,947,2062,18.858
medium_variant,947,2063,18.514
medium_variant,947,2064,18.179
medium_variant,947,2065,17.854
medium_variant,947,2066,17.539
medium_variant,947,2067,17.234
medium_variant,947,2068,16.939
medium_variant,947,2069,16.655
medium_variant,947,2070,16.381
medium_variant,947,2071,16.116
medium_variant,947,2072,15.86
medium_variant,947,2073,15.611
medium_variant,947,2074,15.369
medium_variant,947,2075,15.134
medium_variant,947,2076,14.907
medium_variant,947,2077,14.687
medium_variant,947,2078,14.475
medium_variant,947,2079,14.271
medium_variant,947,2080,14.073
medium_variant,947,2081,13.881
medium_variant,947,2082,13.695
medium_variant,947,2083,13.513
medium_variant,947,2084,13.335
medium_variant,947,2085,13.161
medium_variant,947,2086,12.99
medium_variant,947,2087,12.822
medium_variant,947,2088,12.656
medium_variant,947,2089,12.494
medium_variant,947,2090,12.334
medium_variant,947,2091,12.177
medium_variant,947,2092,12.023
medium_variant,947,2093,11.872
medium_variant,947,2094,11.724
medium_variant,947,2095,11.579
medium_variant,947,2096,11.437
medium_variant,947,2097,11.298
medium_variant,947,2098,11.162
medium_variant,947,2099,11.03
