continent,year,variant,gender,freq,age5yearinterval,totaldeaths
935,1950,estimates,female,5yearly,"Region, subregion, country or area *",ASIA
935,1950,estimates,male,5yearly,"Region, subregion, country or area *",ASIA
935,1950,estimates,female,5yearly,0_4,33887.874
935,1950,estimates,male,5yearly,0_4,37167.546
935,1950,estimates,female,5yearly,5_9,2742.063
935,1950,estimates,male,5yearly,5_9,2852.698
935,1950,estimates,female,5yearly,10_14,1993.906
935,1950,estimates,male,5yearly,10_14,2268.403
935,1950,estimates,female,5yearly,15_19,1892.301
935,1950,estimates,male,5yearly,15_19,2187.689
935,1950,estimates,female,5yearly,20_24,2124.088
935,1950,estimates,male,5yearly,20_24,2416.082
935,1950,estimates,female,5yearly,25_29,2240.239
935,1950,estimates,male,5yearly,25_29,2317.822
935,1950,estimates,female,5yearly,30_34,2302.292
935,1950,estimates,male,5yearly,30_34,2259.503
935,1950,estimates,female,5yearly,35_39,2428.27
935,1950,estimates,male,5yearly,35_39,2476.845
935,1950,estimates,female,5yearly,40_44,2629.181
935,1950,estimates,male,5yearly,40_44,2901.256
935,1950,estimates,female,5yearly,45_49,2652.134
935,1950,estimates,male,5yearly,45_49,3328.066
935,1950,estimates,female,5yearly,50_54,2613.472
935,1950,estimates,male,5yearly,50_54,3621.873
935,1950,estimates,female,5yearly,55_59,3013.719
935,1950,estimates,male,5yearly,55_59,4093.901
935,1950,estimates,female,5yearly,60_64,3826.595
935,1950,estimates,male,5yearly,60_64,4668.395
935,1950,estimates,female,5yearly,65_69,4208.095
935,1950,estimates,male,5yearly,65_69,4682.185
935,1950,estimates,female,5yearly,70_74,4003.203
935,1950,estimates,male,5yearly,70_74,4087.08
935,1950,estimates,female,5yearly,75_79,3369.937
935,1950,estimates,male,5yearly,75_79,3072.879
935,1950,estimates,female,5yearly,80_84,2119.054
935,1950,estimates,male,5yearly,80_84,1683.666
935,1950,estimates,female,5yearly,85_89,881.866
935,1950,estimates,male,5yearly,85_89,608.023
935,1950,estimates,female,5yearly,90_94,265.944
935,1950,estimates,male,5yearly,90_94,157.761
935,1950,estimates,female,5yearly,95plus,64.937
935,1950,estimates,male,5yearly,95plus,29.117
935,1955,estimates,female,5yearly,"Region, subregion, country or area *",ASIA
935,1955,estimates,male,5yearly,"Region, subregion, country or area *",ASIA
935,1955,estimates,female,5yearly,0_4,33516.687
935,1955,estimates,male,5yearly,0_4,36804.489
935,1955,estimates,female,5yearly,5_9,2907.974
935,1955,estimates,male,5yearly,5_9,2917.198
935,1955,estimates,female,5yearly,10_14,1897.334
935,1955,estimates,male,5yearly,10_14,2068.795
935,1955,estimates,female,5yearly,15_19,1673.703
935,1955,estimates,male,5yearly,15_19,1963.63
935,1955,estimates,female,5yearly,20_24,1937.702
935,1955,estimates,male,5yearly,20_24,2230.235
935,1955,estimates,female,5yearly,25_29,2113.32
935,1955,estimates,male,5yearly,25_29,2197.337
935,1955,estimates,female,5yearly,30_34,2205.765
935,1955,estimates,male,5yearly,30_34,2151.807
935,1955,estimates,female,5yearly,35_39,2314.27
935,1955,estimates,male,5yearly,35_39,2345.622
935,1955,estimates,female,5yearly,40_44,2424.737
935,1955,estimates,male,5yearly,40_44,2766.299
935,1955,estimates,female,5yearly,45_49,2512.082
935,1955,estimates,male,5yearly,45_49,3224.223
935,1955,estimates,female,5yearly,50_54,2689.124
935,1955,estimates,male,5yearly,50_54,3762.546
935,1955,estimates,female,5yearly,55_59,3149.281
935,1955,estimates,male,5yearly,55_59,4397.962
935,1955,estimates,female,5yearly,60_64,3788.89
935,1955,estimates,male,5yearly,60_64,4804.282
935,1955,estimates,female,5yearly,65_69,4225.746
935,1955,estimates,male,5yearly,65_69,4847.871
935,1955,estimates,female,5yearly,70_74,4235.041
935,1955,estimates,male,5yearly,70_74,4369.664
935,1955,estimates,female,5yearly,75_79,3570.407
935,1955,estimates,male,5yearly,75_79,3165.315
935,1955,estimates,female,5yearly,80_84,2284.985
935,1955,estimates,male,5yearly,80_84,1742.952
935,1955,estimates,female,5yearly,85_89,990.377
935,1955,estimates,male,5yearly,85_89,629.677
935,1955,estimates,female,5yearly,90_94,297.479
935,1955,estimates,male,5yearly,90_94,155.666
935,1955,estimates,female,5yearly,95plus,68.438
935,1955,estimates,male,5yearly,95plus,26.163
935,1960,estimates,female,5yearly,"Region, subregion, country or area *",ASIA
935,1960,estimates,male,5yearly,"Region, subregion, country or area *",ASIA
935,1960,estimates,female,5yearly,0_4,35172.843
935,1960,estimates,male,5yearly,0_4,38250.705
935,1960,estimates,female,5yearly,5_9,3136.841
935,1960,estimates,male,5yearly,5_9,3141.534
935,1960,estimates,female,5yearly,10_14,2138.416
935,1960,estimates,male,5yearly,10_14,2331.137
935,1960,estimates,female,5yearly,15_19,1605.09
935,1960,estimates,male,5yearly,15_19,1867.987
935,1960,estimates,female,5yearly,20_24,1744.794
935,1960,estimates,male,5yearly,20_24,1951.761
935,1960,estimates,female,5yearly,25_29,1975.646
935,1960,estimates,male,5yearly,25_29,1987.853
935,1960,estimates,female,5yearly,30_34,2143.976
935,1960,estimates,male,5yearly,30_34,2065.857
935,1960,estimates,female,5yearly,35_39,2240.275
935,1960,estimates,male,5yearly,35_39,2272.807
935,1960,estimates,female,5yearly,40_44,2351.184
935,1960,estimates,male,5yearly,40_44,2682.67
935,1960,estimates,female,5yearly,45_49,2492.652
935,1960,estimates,male,5yearly,45_49,3262.686
935,1960,estimates,female,5yearly,50_54,2742.143
935,1960,estimates,male,5yearly,50_54,3872.352
935,1960,estimates,female,5yearly,55_59,3256.383
935,1960,estimates,male,5yearly,55_59,4514.529
935,1960,estimates,female,5yearly,60_64,3907.368
935,1960,estimates,male,5yearly,60_64,4892.174
935,1960,estimates,female,5yearly,65_69,4245.782
935,1960,estimates,male,5yearly,65_69,4850.466
935,1960,estimates,female,5yearly,70_74,4161.048
935,1960,estimates,male,5yearly,70_74,4310.215
935,1960,estimates,female,5yearly,75_79,3487.43
935,1960,estimates,male,5yearly,75_79,3044.334
935,1960,estimates,female,5yearly,80_84,2179.304
935,1960,estimates,male,5yearly,80_84,1607.303
935,1960,estimates,female,5yearly,85_89,968.845
935,1960,estimates,male,5yearly,85_89,632.847
935,1960,estimates,female,5yearly,90_94,310.628
935,1960,estimates,male,5yearly,90_94,165.259
935,1960,estimates,female,5yearly,95plus,73.804
935,1960,estimates,male,5yearly,95plus,27.317
935,1965,estimates,female,5yearly,"Region, subregion, country or area *",ASIA
935,1965,estimates,male,5yearly,"Region, subregion, country or area *",ASIA
935,1965,estimates,female,5yearly,0_4,30097.834
935,1965,estimates,male,5yearly,0_4,34571.05
935,1965,estimates,female,5yearly,5_9,2336.207
935,1965,estimates,male,5yearly,5_9,2353.367
935,1965,estimates,female,5yearly,10_14,1522.797
935,1965,estimates,male,5yearly,10_14,1616.223
935,1965,estimates,female,5yearly,15_19,1316.989
935,1965,estimates,male,5yearly,15_19,1447.451
935,1965,estimates,female,5yearly,20_24,1378.329
935,1965,estimates,male,5yearly,20_24,1475.528
935,1965,estimates,female,5yearly,25_29,1478.089
935,1965,estimates,male,5yearly,25_29,1517.936
935,1965,estimates,female,5yearly,30_34,1644.299
935,1965,estimates,male,5yearly,30_34,1653.906
935,1965,estimates,female,5yearly,35_39,1759.004
935,1965,estimates,male,5yearly,35_39,1862.143
935,1965,estimates,female,5yearly,40_44,1864.519
935,1965,estimates,male,5yearly,40_44,2140.131
935,1965,estimates,female,5yearly,45_49,2087.258
935,1965,estimates,male,5yearly,45_49,2506.61
935,1965,estimates,female,5yearly,50_54,2408.669
935,1965,estimates,male,5yearly,50_54,2988.014
935,1965,estimates,female,5yearly,55_59,2845.242
935,1965,estimates,male,5yearly,55_59,3605.309
935,1965,estimates,female,5yearly,60_64,3363.243
935,1965,estimates,male,5yearly,60_64,4198.723
935,1965,estimates,female,5yearly,65_69,3652.528
935,1965,estimates,male,5yearly,65_69,4339.453
935,1965,estimates,female,5yearly,70_74,3625.827
935,1965,estimates,male,5yearly,70_74,3848.149
935,1965,estimates,female,5yearly,75_79,3263.19
935,1965,estimates,male,5yearly,75_79,2908.285
935,1965,estimates,female,5yearly,80_84,2260.696
935,1965,estimates,male,5yearly,80_84,1694.262
935,1965,estimates,female,5yearly,85_89,1077.465
935,1965,estimates,male,5yearly,85_89,686.294
935,1965,estimates,female,5yearly,90_94,361.558
