region,year,variant,freq,age5yearinterval,noofbirthbymother
920,1950,estimates,5yearly,15_19,4230.106
920,1950,estimates,5yearly,20_24,10159.125
920,1950,estimates,5yearly,25_29,9895.044
920,1950,estimates,5yearly,30_34,7193.553
920,1950,estimates,5yearly,35_39,4424.706
920,1950,estimates,5yearly,40_44,1981.321
920,1950,estimates,5yearly,45_49,413.812
920,1955,estimates,5yearly,15_19,4645.885
920,1955,estimates,5yearly,20_24,11660.095
920,1955,estimates,5yearly,25_29,11730.799
920,1955,estimates,5yearly,30_34,8446.762
920,1955,estimates,5yearly,35_39,5032.672
920,1955,estimates,5yearly,40_44,2242.816
920,1955,estimates,5yearly,45_49,483.356
920,1960,estimates,5yearly,15_19,5143.141
920,1960,estimates,5yearly,20_24,12875.32
920,1960,estimates,5yearly,25_29,12551.242
920,1960,estimates,5yearly,30_34,9501.489
920,1960,estimates,5yearly,35_39,5888.355
920,1960,estimates,5yearly,40_44,2428.999
920,1960,estimates,5yearly,45_49,516.696
920,1965,estimates,5yearly,15_19,6090.137
920,1965,estimates,5yearly,20_24,13186.206
920,1965,estimates,5yearly,25_29,13541.503
920,1965,estimates,5yearly,30_34,10449.898
920,1965,estimates,5yearly,35_39,6344.042
920,1965,estimates,5yearly,40_44,2691.515
920,1965,estimates,5yearly,45_49,543.812
920,1970,estimates,5yearly,15_19,6557.633
920,1970,estimates,5yearly,20_24,14835.485
920,1970,estimates,5yearly,25_29,13902.053
920,1970,estimates,5yearly,30_34,10363.149
920,1970,estimates,5yearly,35_39,6562.099
920,1970,estimates,5yearly,40_44,2939.288
920,1970,estimates,5yearly,45_49,595.549
920,1975,estimates,5yearly,15_19,7117.098
920,1975,estimates,5yearly,20_24,16954.679
920,1975,estimates,5yearly,25_29,15019.763
920,1975,estimates,5yearly,30_34,9768.628
920,1975,estimates,5yearly,35_39,5851.248
920,1975,estimates,5yearly,40_44,2607.926
920,1975,estimates,5yearly,45_49,492.68
920,1980,estimates,5yearly,15_19,6966.476
920,1980,estimates,5yearly,20_24,18223.563
920,1980,estimates,5yearly,25_29,16717.246
920,1980,estimates,5yearly,30_34,10368.697
920,1980,estimates,5yearly,35_39,5372.648
920,1980,estimates,5yearly,40_44,2180.394
920,1980,estimates,5yearly,45_49,411.395
920,1985,estimates,5yearly,15_19,6414.866
920,1985,estimates,5yearly,20_24,18050.579
920,1985,estimates,5yearly,25_29,16984.044
920,1985,estimates,5yearly,30_34,11021.857
920,1985,estimates,5yearly,35_39,5499.212
920,1985,estimates,5yearly,40_44,1913.117
920,1985,estimates,5yearly,45_49,367.178
920,1990,estimates,5yearly,15_19,6319.596
920,1990,estimates,5yearly,20_24,17747.796
920,1990,estimates,5yearly,25_29,16614.962
920,1990,estimates,5yearly,30_34,10973.756
920,1990,estimates,5yearly,35_39,5952.629
920,1990,estimates,5yearly,40_44,1962.528
920,1990,estimates,5yearly,45_49,237.105
920,1995,estimates,5yearly,15_19,5595.71
920,1995,estimates,5yearly,20_24,16178.608
920,1995,estimates,5yearly,25_29,16041.995
920,1995,estimates,5yearly,30_34,10874.379
920,1995,estimates,5yearly,35_39,5864.014
920,1995,estimates,5yearly,40_44,2055.154
920,1995,estimates,5yearly,45_49,449.337
920,2000,estimates,5yearly,15_19,6013.111
920,2000,estimates,5yearly,20_24,16697.675
920,2000,estimates,5yearly,25_29,16195.914
920,2000,estimates,5yearly,30_34,11222.069
920,2000,estimates,5yearly,35_39,5988.374
920,2000,estimates,5yearly,40_44,1898.433
920,2000,estimates,5yearly,45_49,306.154
920,2005,estimates,5yearly,15_19,6085.032
920,2005,estimates,5yearly,20_24,16507.662
920,2005,estimates,5yearly,25_29,16521.041
920,2005,estimates,5yearly,30_34,11506.184
920,2005,estimates,5yearly,35_39,6076.821
920,2005,estimates,5yearly,40_44,1920.804
920,2005,estimates,5yearly,45_49,341.493
920,2010,estimates,5yearly,15_19,6245.676
920,2010,estimates,5yearly,20_24,16023.152
920,2010,estimates,5yearly,25_29,16337.346
920,2010,estimates,5yearly,30_34,11989.455
920,2010,estimates,5yearly,35_39,6347.911
920,2010,estimates,5yearly,40_44,1982.826
920,2010,estimates,5yearly,45_49,386.817
920,2015,constant_fertility,5yearly,15_19,6209.461
920,2015,constant_mortality,5yearly,15_19,5948.55
920,2015,high_variant,5yearly,15_19,6512.704
920,2015,instant_replacement,5yearly,15_19,5618.15
920,2015,low_variant,5yearly,15_19,5217.169
920,2015,medium_variant,5yearly,15_19,5949.855
920,2015,momentum,5yearly,15_19,5660.264
920,2015,no_change,5yearly,15_19,6208.109
920,2015,zero_migration,5yearly,15_19,5961.57
920,2015,constant_fertility,5yearly,20_24,16164.468
920,2015,constant_mortality,5yearly,20_24,14833.888
920,2015,high_variant,5yearly,20_24,16282.588
920,2015,instant_replacement,5yearly,20_24,13871.604
920,2015,low_variant,5yearly,20_24,13078.958
920,2015,medium_variant,5yearly,20_24,14838.501
920,2015,momentum,5yearly,20_24,13997.92
920,2015,no_change,5yearly,20_24,16159.561
920,2015,zero_migration,5yearly,20_24,14893.438
920,2015,constant_fertility,5yearly,25_29,16819.692
920,2015,constant_mortality,5yearly,25_29,15962.027
920,2015,high_variant,5yearly,25_29,17768.397
920,2015,instant_replacement,5yearly,25_29,15314.994
920,2015,low_variant,5yearly,25_29,14191.768
920,2015,medium_variant,5yearly,25_29,15967.59
920,2015,momentum,5yearly,25_29,15436.695
920,2015,no_change,5yearly,25_29,16813.791
920,2015,zero_migration,5yearly,25_29,16018.139
920,2015,constant_fertility,5yearly,30_34,12615.322
920,2015,constant_mortality,5yearly,30_34,12509.45
920,2015,high_variant,5yearly,30_34,14020.849
920,2015,instant_replacement,5yearly,30_34,12067.703
920,2015,low_variant,5yearly,30_34,11184.015
920,2015,medium_variant,5yearly,30_34,12514.26
920,2015,momentum,5yearly,30_34,12149.735
920,2015,no_change,5yearly,30_34,12610.302
920,2015,zero_migration,5yearly,30_34,12542.21
920,2015,constant_fertility,5yearly,35_39,6804.02
920,2015,constant_mortality,5yearly,35_39,6612.862
920,2015,high_variant,5yearly,35_39,7442.434
920,2015,instant_replacement,5yearly,35_39,6329.97
920,2015,low_variant,5yearly,35_39,5947.913
920,2015,medium_variant,5yearly,35_39,6616.105
920,2015,momentum,5yearly,35_39,6369.989
920,2015,no_change,5yearly,35_39,6800.56
920,2015,zero_migration,5yearly,35_39,6627.111
920,2015,constant_fertility,5yearly,40_44,2124.379
920,2015,constant_mortality,5yearly,40_44,1992.979
920,2015,high_variant,5yearly,40_44,2233.619
920,2015,instant_replacement,5yearly,40_44,1854.641
920,2015,low_variant,5yearly,40_44,1796.729
920,2015,medium_variant,5yearly,40_44,1994.152
920,2015,momentum,5yearly,40_44,1866.591
920,2015,no_change,5yearly,40_44,2123.114
920,2015,zero_migration,5yearly,40_44,1997.121
920,2015,constant_fertility,5yearly,45_49,429.615
920,2015,constant_mortality,5yearly,45_49,414.947
920,2015,high_variant,5yearly,45_49,456.335
920,2015,instant_replacement,5yearly,45_49,371.951
