region,year,variant,freq,age5yearinterval,noofbirthbymother
5501,1950,estimates,5yearly,15_19,14405.393
5501,1950,estimates,5yearly,20_24,29578.496
5501,1950,estimates,5yearly,25_29,28765.87
5501,1950,estimates,5yearly,30_34,21041.179
5501,1950,estimates,5yearly,35_39,12745.564
5501,1950,estimates,5yearly,40_44,5462.524
5501,1950,estimates,5yearly,45_49,1496.488
5501,1955,estimates,5yearly,15_19,15327.943
5501,1955,estimates,5yearly,20_24,32195.898
5501,1955,estimates,5yearly,25_29,31463.062
5501,1955,estimates,5yearly,30_34,22850.153
5501,1955,estimates,5yearly,35_39,13788.397
5501,1955,estimates,5yearly,40_44,5855.444
5501,1955,estimates,5yearly,45_49,1642.773
5501,1960,estimates,5yearly,15_19,16673.668
5501,1960,estimates,5yearly,20_24,34485.626
5501,1960,estimates,5yearly,25_29,33952.765
5501,1960,estimates,5yearly,30_34,25279.489
5501,1960,estimates,5yearly,35_39,15191.815
5501,1960,estimates,5yearly,40_44,6433.91
5501,1960,estimates,5yearly,45_49,1687.705
5501,1965,estimates,5yearly,15_19,19611.934
5501,1965,estimates,5yearly,20_24,37922.915
5501,1965,estimates,5yearly,25_29,35455.945
5501,1965,estimates,5yearly,30_34,26725.159
5501,1965,estimates,5yearly,35_39,16142.853
5501,1965,estimates,5yearly,40_44,6765.075
5501,1965,estimates,5yearly,45_49,1694.64
5501,1970,estimates,5yearly,15_19,22932.11
5501,1970,estimates,5yearly,20_24,44525.094
5501,1970,estimates,5yearly,25_29,37479.469
5501,1970,estimates,5yearly,30_34,26867.881
5501,1970,estimates,5yearly,35_39,16090.934
5501,1970,estimates,5yearly,40_44,6568.369
5501,1970,estimates,5yearly,45_49,1718.146
5501,1975,estimates,5yearly,15_19,25894.243
5501,1975,estimates,5yearly,20_24,51701.023
5501,1975,estimates,5yearly,25_29,41332.732
5501,1975,estimates,5yearly,30_34,26681.173
5501,1975,estimates,5yearly,35_39,15377.002
5501,1975,estimates,5yearly,40_44,6327.549
5501,1975,estimates,5yearly,45_49,1666.379
5501,1980,estimates,5yearly,15_19,29318.44
5501,1980,estimates,5yearly,20_24,59348.605
5501,1980,estimates,5yearly,25_29,46490.058
5501,1980,estimates,5yearly,30_34,28028.099
5501,1980,estimates,5yearly,35_39,14766.768
5501,1980,estimates,5yearly,40_44,6052.39
5501,1980,estimates,5yearly,45_49,1646.894
