region,variant,year,childdependencyratio2069
916,estimates,1950,117.705973614759
916,estimates,1955,123.252455882973
916,estimates,1960,130.805846987414
916,estimates,1965,135.80284904221
916,estimates,1970,139.945768666761
916,estimates,1975,138.985279216289
916,estimates,1980,133.260467301863
916,estimates,1985,124.579989950095
916,estimates,1990,112.916651372117
916,estimates,1995,99.5826816084643
916,estimates,2000,90.4454451416079
916,estimates,2005,82.5057579607403
916,estimates,2010,74.185439712385
916,constant-fertility,2015,66.3332678994638
916,constant-mortality,2015,66.3332678994638
916,estimates,2015,66.3332678994638
916,high variant,2015,66.3332678994638
916,instant-replacement,2015,66.3332678994638
916,low variant,2015,66.3332678994638
916,medium variant,2015,66.3332678994638
916,no change,2015,66.3332678994638
916,zero-migration,2015,66.3332678994638
916,constant-fertility,2020,60.308825461887
916,constant-mortality,2020,59.2574189676827
916,high variant,2020,60.9080583118399
916,instant-replacement,2020,58.5246831961758
916,low variant,2020,57.5898123142823
916,medium variant,2020,59.2489353130611
916,no change,2020,60.3151502830603
916,zero-migration,2020,59.1537398691736
916,constant-fertility,2025,56.7676754719532
916,constant-mortality,2025,53.9292892811982
916,high variant,2025,57.9722568045357
916,instant-replacement,2025,53.335403444978
916,low variant,2025,49.8383466841906
916,medium variant,2025,53.9053034233766
916,no change,2025,56.7853502102419
916,zero-migration,2025,53.7342312226913
916,constant-fertility,2030,54.813508964144
916,constant-mortality,2030,49.6932247674754
916,high variant,2030,56.4851215181327
916,instant-replacement,2030,49.8178736262639
916,low variant,2030,42.821758372031
916,medium variant,2030,49.6534411263272
916,no change,2030,54.8459034122408
916,zero-migration,2030,49.4616569915703
916,constant-fertility,2035,53.6919707713175
916,constant-mortality,2035,45.9273960873091
916,high variant,2035,55.3155347251765
916,instant-replacement,2035,47.0766204625893
916,low variant,2035,36.4595306987397
916,medium variant,2035,45.8667152978165
916,no change,2035,53.7525670801273
916,zero-migration,2035,45.7215979491612
916,constant-fertility,2040,52.3663913397035
916,constant-mortality,2040,42.8009497229904
916,high variant,2040,52.9486458273246
916,instant-replacement,2040,45.8901066372676
916,low variant,2040,32.3650358216866
916,medium variant,2040,42.6779633232136
916,no change,2040,52.5009619176261
916,zero-migration,2040,42.5960291950406
916,constant-fertility,2045,51.249622310254
916,constant-mortality,2045,40.3337879275646
916,high variant,2045,50.6343774647902
916,instant-replacement,2045,44.4899893725291
916,low variant,2045,29.5712061910663
916,medium variant,2045,40.1297843315361
916,no change,2045,51.4789928199814
916,zero-migration,2045,40.0636744090088
916,constant-fertility,2050,50.5832079741736
916,constant-mortality,2050,38.4697920011855
916,high variant,2050,48.8760758812093
916,instant-replacement,2050,43.1455309542982
916,low variant,2050,27.5937624166334
916,medium variant,2050,38.1773726044741
916,no change,2050,50.9156837805767
916,zero-migration,2050,38.1072043497689
916,constant-fertility,2055,50.4099715217926
916,constant-mortality,2055,37.1154385182725
916,high variant,2055,48.1405641435984
916,instant-replacement,2055,42.1281453816884
916,low variant,2055,25.7308948498775
916,medium variant,2055,36.7300450750362
916,no change,2055,50.8517199869025
916,zero-migration,2055,36.6595346264221
916,constant-fertility,2060,50.5620842210727
916,constant-mortality,2060,36.1775918740513
916,high variant,2060,47.8788144448531
916,instant-replacement,2060,41.5931367416992
916,low variant,2060,24.1469795047118
916,medium variant,2060,35.6977069252616
916,no change,2060,51.1137690801306
916,zero-migration,2060,35.6450154684119
916,constant-fertility,2065,50.8627654702224
916,constant-mortality,2065,35.5947219790519
916,high variant,2065,47.6543723184808
916,instant-replacement,2065,41.4867075180259
916,low variant,2065,23.0364674518151
916,medium variant,2065,35.0228116209913
916,no change,2065,51.5150187494498
916,zero-migration,2065,35.0044127816596
916,constant-fertility,2070,51.1589525020403
916,constant-mortality,2070,35.2549090176616
916,high variant,2070,47.2507822934711
916,instant-replacement,2070,41.548490927612
916,low variant,2070,22.4313921473353
916,medium variant,2070,34.5964249950456
916,no change,2070,51.8956539811922
916,zero-migration,2070,34.6191344892588
916,constant-fertility,2075,51.3001962210197
916,constant-mortality,2075,35.0176453625275
916,high variant,2075,46.6608511767392
916,instant-replacement,2075,41.4827475118923
916,low variant,2075,22.192509288986
916,medium variant,2075,34.2709545807475
916,no change,2075,52.1175727173191
916,zero-migration,2075,34.3317302306102
916,constant-fertility,2080,51.3398119353366
916,constant-mortality,2080,34.8911650313391
916,high variant,2080,46.1161993882494
916,instant-replacement,2080,41.2869749355196
916,low variant,2080,22.2203871291713
916,medium variant,2080,34.0534065696495
916,no change,2080,52.2433856836641
916,zero-migration,2080,34.1395809224501
916,constant-fertility,2085,51.3719830459164
916,constant-mortality,2085,34.9373517165248
916,high variant,2085,45.7694675531791
916,instant-replacement,2085,41.1240545385681
916,low variant,2085,22.5127191118676
916,medium variant,2085,34.0122294882518
916,no change,2085,52.3699167290625
916,zero-migration,2085,34.1060323932336
916,constant-fertility,2090,51.5969593446641
916,constant-mortality,2090,35.0857331812072
916,high variant,2090,45.8712750069124
916,instant-replacement,2090,40.8267695632387
916,low variant,2090,22.6136037760371
916,medium variant,2090,34.0871254832722
916,no change,2090,52.6694549578128
916,zero-migration,2090,34.1831399393589
916,constant-fertility,2095,51.8912020883651
916,constant-mortality,2095,35.2608253575839
916,high variant,2095,46.053930165659
916,instant-replacement,2095,40.7461026325403
916,low variant,2095,22.6108799369906
916,medium variant,2095,34.1991841299174
916,no change,2095,53.022245010306
916,zero-migration,2095,34.3081315618651
916,constant-fertility,2100,52.1631421313212
916,constant-mortality,2100,35.4129104340961
916,high variant,2100,46.1237240439204
