variant,region,year,infantmortality
estimates,915,1950,91.364
estimates,915,1951,90.518
estimates,915,1952,88.936
estimates,915,1953,87.569
estimates,915,1954,86.419
estimates,915,1955,85.48
estimates,915,1956,84.735
estimates,915,1957,84.157
estimates,915,1958,83.698
estimates,915,1959,83.273
estimates,915,1960,82.783
estimates,915,1961,82.125
estimates,915,1962,81.2
estimates,915,1963,79.941
estimates,915,1964,78.337
estimates,915,1965,76.408
estimates,915,1966,74.216
estimates,915,1967,71.889
estimates,915,1968,69.548
estimates,915,1969,67.276
estimates,915,1970,65.13
estimates,915,1971,63.14
estimates,915,1972,61.305
estimates,915,1973,59.631
estimates,915,1974,58.153
estimates,915,1975,56.948
estimates,915,1976,56.097
estimates,915,1977,55.594
estimates,915,1978,55.381
estimates,915,1979,55.373
estimates,915,1980,55.415
estimates,915,1981,55.33
estimates,915,1982,54.972
estimates,915,1983,54.248
estimates,915,1984,53.122
estimates,915,1985,51.614
estimates,915,1986,49.801
estimates,915,1987,47.837
estimates,915,1988,45.86
estimates,915,1989,43.942
estimates,915,1990,42.14
estimates,915,1991,40.478
estimates,915,1992,38.929
estimates,915,1993,37.468
estimates,915,1994,36.093
estimates,915,1995,34.783
estimates,915,1996,33.509
estimates,915,1997,32.248
estimates,915,1998,30.991
estimates,915,1999,29.747
estimates,915,2000,28.55
estimates,915,2001,27.446
estimates,915,2002,26.472
estimates,915,2003,25.645
estimates,915,2004,24.96
estimates,915,2005,24.394
estimates,915,2006,23.905
estimates,915,2007,23.442
estimates,915,2008,22.966
estimates,915,2009,22.456
estimates,915,2010,21.904
estimates,915,2011,21.318
estimates,915,2012,20.724
estimates,915,2013,20.143
estimates,915,2014,19.579
estimates,915,2015,19.037
medium_variant,915,2015,19.037
medium_variant,915,2016,18.514
medium_variant,915,2017,18.007
medium_variant,915,2018,17.51
medium_variant,915,2019,17.025
medium_variant,915,2020,16.551
medium_variant,915,2021,16.088
medium_variant,915,2022,15.637
medium_variant,915,2023,15.197
medium_variant,915,2024,14.77
medium_variant,915,2025,14.353
medium_variant,915,2026,13.947
medium_variant,915,2027,13.55
medium_variant,915,2028,13.163
medium_variant,915,2029,12.785
medium_variant,915,2030,12.416
medium_variant,915,2031,12.056
medium_variant,915,2032,11.705
medium_variant,915,2033,11.364
medium_variant,915,2034,11.034
medium_variant,915,2035,10.714
medium_variant,915,2036,10.407
medium_variant,915,2037,10.111
medium_variant,915,2038,9.827
medium_variant,915,2039,9.555
medium_variant,915,2040,9.293
medium_variant,915,2041,9.042
medium_variant,915,2042,8.8
medium_variant,915,2043,8.566
medium_variant,915,2044,8.339
medium_variant,915,2045,8.118
medium_variant,915,2046,7.902
medium_variant,915,2047,7.691
medium_variant,915,2048,7.484
medium_variant,915,2049,7.281
medium_variant,915,2050,7.083
medium_variant,915,2051,6.89
medium_variant,915,2052,6.702
medium_variant,915,2053,6.521
medium_variant,915,2054,6.346
medium_variant,915,2055,6.177
medium_variant,915,2056,6.013
medium_variant,915,2057,5.855
medium_variant,915,2058,5.701
medium_variant,915,2059,5.551
medium_variant,915,2060,5.405
medium_variant,915,2061,5.263
medium_variant,915,2062,5.126
medium_variant,915,2063,4.994
medium_variant,915,2064,4.866
medium_variant,915,2065,4.742
medium_variant,915,2066,4.622
medium_variant,915,2067,4.504
medium_variant,915,2068,4.391
medium_variant,915,2069,4.28
medium_variant,915,2070,4.172
medium_variant,915,2071,4.069
medium_variant,915,2072,3.97
medium_variant,915,2073,3.875
medium_variant,915,2074,3.785
medium_variant,915,2075,3.699
medium_variant,915,2076,3.616
medium_variant,915,2077,3.535
medium_variant,915,2078,3.457
medium_variant,915,2079,3.38
medium_variant,915,2080,3.305
medium_variant,915,2081,3.232
medium_variant,915,2082,3.161
medium_variant,915,2083,3.091
medium_variant,915,2084,3.024
medium_variant,915,2085,2.958
medium_variant,915,2086,2.894
medium_variant,915,2087,2.831
medium_variant,915,2088,2.77
medium_variant,915,2089,2.71
medium_variant,915,2090,2.651
medium_variant,915,2091,2.594
medium_variant,915,2092,2.538
medium_variant,915,2093,2.483
medium_variant,915,2094,2.43
medium_variant,915,2095,2.378
medium_variant,915,2096,2.328
medium_variant,915,2097,2.28
medium_variant,915,2098,2.233
medium_variant,915,2099,2.188
