variant,region,year,infantmortality
estimates,948,1950,9615.523
estimates,948,1951,9604.513
estimates,948,1952,9583.156
estimates,948,1953,9563.127
estimates,948,1954,9544.425
estimates,948,1955,9526.977
estimates,948,1956,9510.547
estimates,948,1957,9494.879
estimates,948,1958,9479.444
estimates,948,1959,9463.279
estimates,948,1960,9445.361
estimates,948,1961,9424.764
estimates,948,1962,9400.814
estimates,948,1963,9373.553
estimates,948,1964,9343.894
estimates,948,1965,9314.97
estimates,948,1966,9290.821
estimates,948,1967,9273.605
estimates,948,1968,9263.526
estimates,948,1969,9258.885
estimates,948,1970,9255.291
estimates,948,1971,9246.861
estimates,948,1972,9228.333
estimates,948,1973,9196.286
estimates,948,1974,9149.888
estimates,948,1975,9091.127
estimates,948,1976,9024.247
estimates,948,1977,8954.486
estimates,948,1978,8885.377
estimates,948,1979,8817.468
estimates,948,1980,8748.889
estimates,948,1981,8676.017
estimates,948,1982,8594.975
estimates,948,1983,8503.504
estimates,948,1984,8401.799
estimates,948,1985,8292.022
estimates,948,1986,8177.719
estimates,948,1987,8062.701
estimates,948,1988,7949.542
estimates,948,1989,7838.809
estimates,948,1990,7729.574
estimates,948,1991,7619.596
estimates,948,1992,7505.718
estimates,948,1993,7385.585
estimates,948,1994,7258.488
estimates,948,1995,7124.069
estimates,948,1996,6982.666
estimates,948,1997,6836.085
estimates,948,1998,6686.252
estimates,948,1999,6534.497
estimates,948,2000,6382.138
estimates,948,2001,6230.239
estimates,948,2002,6079.42
estimates,948,2003,5930.311
estimates,948,2004,5783.625
estimates,948,2005,5639.522
estimates,948,2006,5497.673
estimates,948,2007,5357.603
estimates,948,2008,5219.242
estimates,948,2009,5083.098
estimates,948,2010,4949.983
estimates,948,2011,4820.814
estimates,948,2012,4696.325
estimates,948,2013,4577.04
estimates,948,2014,4463.212
estimates,948,2015,4354.898
medium_variant,948,2015,4354.898
medium_variant,948,2016,4251.862
medium_variant,948,2017,4153.372
medium_variant,948,2018,4058.71
medium_variant,948,2019,3967.44
medium_variant,948,2020,3879.198
medium_variant,948,2021,3793.754
medium_variant,948,2022,3711.03
medium_variant,948,2023,3630.898
medium_variant,948,2024,3553.131
medium_variant,948,2025,3477.61
medium_variant,948,2026,3404.328
medium_variant,948,2027,3333.328
medium_variant,948,2028,3264.571
medium_variant,948,2029,3197.904
medium_variant,948,2030,3133.156
medium_variant,948,2031,3070.17
medium_variant,948,2032,3008.831
medium_variant,948,2033,2949.033
medium_variant,948,2034,2890.677
medium_variant,948,2035,2833.766
medium_variant,948,2036,2778.378
medium_variant,948,2037,2724.589
medium_variant,948,2038,2672.396
medium_variant,948,2039,2621.699
medium_variant,948,2040,2572.401
medium_variant,948,2041,2524.405
medium_variant,948,2042,2477.547
medium_variant,948,2043,2431.63
medium_variant,948,2044,2386.462
medium_variant,948,2045,2341.796
medium_variant,948,2046,2297.415
medium_variant,948,2047,2253.276
medium_variant,948,2048,2209.403
medium_variant,948,2049,2165.845
medium_variant,948,2050,2122.732
medium_variant,948,2051,2080.261
medium_variant,948,2052,2038.681
medium_variant,948,2053,1998.205
medium_variant,948,2054,1958.95
medium_variant,948,2055,1921.013
medium_variant,948,2056,1884.419
medium_variant,948,2057,1849.058
medium_variant,948,2058,1814.808
medium_variant,948,2059,1781.596
medium_variant,948,2060,1749.33
medium_variant,948,2061,1717.911
medium_variant,948,2062,1687.264
medium_variant,948,2063,1657.328
medium_variant,948,2064,1628.058
medium_variant,948,2065,1599.475
medium_variant,948,2066,1571.642
medium_variant,948,2067,1544.619
medium_variant,948,2068,1518.422
medium_variant,948,2069,1493.007
medium_variant,948,2070,1468.293
medium_variant,948,2071,1444.181
medium_variant,948,2072,1420.574
medium_variant,948,2073,1397.387
medium_variant,948,2074,1374.575
medium_variant,948,2075,1352.127
medium_variant,948,2076,1330.075
medium_variant,948,2077,1308.481
medium_variant,948,2078,1287.385
medium_variant,948,2079,1266.783
medium_variant,948,2080,1246.67
medium_variant,948,2081,1227.029
medium_variant,948,2082,1207.826
medium_variant,948,2083,1189.02
medium_variant,948,2084,1170.579
medium_variant,948,2085,1152.471
medium_variant,948,2086,1134.67
medium_variant,948,2087,1117.169
medium_variant,948,2088,1099.958
medium_variant,948,2089,1083.027
medium_variant,948,2090,1066.374
medium_variant,948,2091,1050.005
medium_variant,948,2092,1033.928
medium_variant,948,2093,1018.153
medium_variant,948,2094,1002.689
medium_variant,948,2095,987.543
medium_variant,948,2096,972.716
medium_variant,948,2097,958.21
medium_variant,948,2098,944.027
medium_variant,948,2099,930.167
