variant,region,year,infantmortality
estimates,923,1950,621.638
estimates,923,1951,598.948
estimates,923,1952,554.399
estimates,923,1953,511.514
estimates,923,1954,470.293
estimates,923,1955,430.752
estimates,923,1956,392.944
estimates,923,1957,356.947
estimates,923,1958,322.903
estimates,923,1959,291.067
estimates,923,1960,261.726
estimates,923,1961,235.177
estimates,923,1962,211.694
estimates,923,1963,191.435
estimates,923,1964,174.384
estimates,923,1965,160.479
estimates,923,1966,149.557
estimates,923,1967,141.195
estimates,923,1968,134.92
estimates,923,1969,130.351
estimates,923,1970,127.245
estimates,923,1971,125.489
estimates,923,1972,124.954
estimates,923,1973,125.371
estimates,923,1974,126.335
estimates,923,1975,127.392
estimates,923,1976,128.143
estimates,923,1977,128.392
estimates,923,1978,127.989
estimates,923,1979,126.804
estimates,923,1980,124.88
estimates,923,1981,122.413
estimates,923,1982,119.689
estimates,923,1983,116.891
estimates,923,1984,114.014
estimates,923,1985,110.877
estimates,923,1986,107.2
estimates,923,1987,102.783
estimates,923,1988,97.568
estimates,923,1989,91.658
estimates,923,1990,85.283
estimates,923,1991,78.758
estimates,923,1992,72.444
estimates,923,1993,66.642
estimates,923,1994,61.519
estimates,923,1995,57.168
estimates,923,1996,53.57
estimates,923,1997,50.532
estimates,923,1998,47.875
estimates,923,1999,45.524
estimates,923,2000,43.411
estimates,923,2001,41.481
estimates,923,2002,39.705
estimates,923,2003,38.05
estimates,923,2004,36.477
estimates,923,2005,34.963
estimates,923,2006,33.51
estimates,923,2007,32.139
estimates,923,2008,30.858
estimates,923,2009,29.655
estimates,923,2010,28.513
estimates,923,2011,27.413
estimates,923,2012,26.344
estimates,923,2013,25.296
estimates,923,2014,24.262
estimates,923,2015,23.242
medium_variant,923,2015,23.242
medium_variant,923,2016,22.242
medium_variant,923,2017,21.275
medium_variant,923,2018,20.349
medium_variant,923,2019,19.466
medium_variant,923,2020,18.624
medium_variant,923,2021,17.816
medium_variant,923,2022,17.038
medium_variant,923,2023,16.288
medium_variant,923,2024,15.568
medium_variant,923,2025,14.882
medium_variant,923,2026,14.237
medium_variant,923,2027,13.641
medium_variant,923,2028,13.097
medium_variant,923,2029,12.611
medium_variant,923,2030,12.186
medium_variant,923,2031,11.823
medium_variant,923,2032,11.518
medium_variant,923,2033,11.266
medium_variant,923,2034,11.06
medium_variant,923,2035,10.898
medium_variant,923,2036,10.776
medium_variant,923,2037,10.689
medium_variant,923,2038,10.628
medium_variant,923,2039,10.582
medium_variant,923,2040,10.543
medium_variant,923,2041,10.501
medium_variant,923,2042,10.451
medium_variant,923,2043,10.39
medium_variant,923,2044,10.311
medium_variant,923,2045,10.209
medium_variant,923,2046,10.084
medium_variant,923,2047,9.938
medium_variant,923,2048,9.776
medium_variant,923,2049,9.6
medium_variant,923,2050,9.412
medium_variant,923,2051,9.215
medium_variant,923,2052,9.012
medium_variant,923,2053,8.807
medium_variant,923,2054,8.604
medium_variant,923,2055,8.407
medium_variant,923,2056,8.218
medium_variant,923,2057,8.037
medium_variant,923,2058,7.867
medium_variant,923,2059,7.708
medium_variant,923,2060,7.564
medium_variant,923,2061,7.434
medium_variant,923,2062,7.319
medium_variant,923,2063,7.216
medium_variant,923,2064,7.126
medium_variant,923,2065,7.049
medium_variant,923,2066,6.983
medium_variant,923,2067,6.929
medium_variant,923,2068,6.883
medium_variant,923,2069,6.844
medium_variant,923,2070,6.808
medium_variant,923,2071,6.774
medium_variant,923,2072,6.739
medium_variant,923,2073,6.703
medium_variant,923,2074,6.663
medium_variant,923,2075,6.617
medium_variant,923,2076,6.566
medium_variant,923,2077,6.51
medium_variant,923,2078,6.449
medium_variant,923,2079,6.385
medium_variant,923,2080,6.315
medium_variant,923,2081,6.241
medium_variant,923,2082,6.163
medium_variant,923,2083,6.081
medium_variant,923,2084,5.997
medium_variant,923,2085,5.911
medium_variant,923,2086,5.825
medium_variant,923,2087,5.74
medium_variant,923,2088,5.657
medium_variant,923,2089,5.578
medium_variant,923,2090,5.504
medium_variant,923,2091,5.435
medium_variant,923,2092,5.372
medium_variant,923,2093,5.315
medium_variant,923,2094,5.264
medium_variant,923,2095,5.219
medium_variant,923,2096,5.182
medium_variant,923,2097,5.15
medium_variant,923,2098,5.125
medium_variant,923,2099,5.106
