variant,region,year,infantmortality
estimates,931,1950,636.292
estimates,931,1951,636.885
estimates,931,1952,638.233
estimates,931,1953,639.902
estimates,931,1954,641.893
estimates,931,1955,644.19
estimates,931,1956,646.738
estimates,931,1957,649.447
estimates,931,1958,652.149
estimates,931,1959,654.562
estimates,931,1960,656.349
estimates,931,1961,657.144
estimates,931,1962,656.575
estimates,931,1963,654.356
estimates,931,1964,650.359
estimates,931,1965,644.425
estimates,931,1966,636.496
estimates,931,1967,626.938
estimates,931,1968,616.245
estimates,931,1969,604.874
estimates,931,1970,593.558
estimates,931,1971,583.07
estimates,931,1972,573.785
estimates,931,1973,565.821
estimates,931,1974,559.083
estimates,931,1975,553.196
estimates,931,1976,547.547
estimates,931,1977,541.297
estimates,931,1978,533.722
estimates,931,1979,524.414
estimates,931,1980,512.978
estimates,931,1981,499.206
estimates,931,1982,483.428
estimates,931,1983,466.084
estimates,931,1984,447.513
estimates,931,1985,428.121
estimates,931,1986,408.337
estimates,931,1987,388.608
estimates,931,1988,369.378
estimates,931,1989,351.015
estimates,931,1990,333.849
estimates,931,1991,318.06
estimates,931,1992,303.498
estimates,931,1993,289.975
estimates,931,1994,277.401
estimates,931,1995,265.592
estimates,931,1996,254.31
estimates,931,1997,243.32
estimates,931,1998,232.442
estimates,931,1999,221.59
estimates,931,2000,210.717
estimates,931,2001,199.852
estimates,931,2002,189.171
estimates,931,2003,178.856
estimates,931,2004,169.023
estimates,931,2005,159.845
estimates,931,2006,151.489
estimates,931,2007,144.004
estimates,931,2008,137.38
estimates,931,2009,131.572
estimates,931,2010,126.469
estimates,931,2011,121.913
estimates,931,2012,117.704
estimates,931,2013,113.669
estimates,931,2014,109.707
estimates,931,2015,105.765
medium_variant,931,2015,105.765
medium_variant,931,2016,101.857
medium_variant,931,2017,98.064
medium_variant,931,2018,94.448
medium_variant,931,2019,91.007
medium_variant,931,2020,87.732
medium_variant,931,2021,84.611
medium_variant,931,2022,81.626
medium_variant,931,2023,78.762
medium_variant,931,2024,76.012
medium_variant,931,2025,73.374
medium_variant,931,2026,70.856
medium_variant,931,2027,68.464
medium_variant,931,2028,66.199
medium_variant,931,2029,64.055
medium_variant,931,2030,62.021
medium_variant,931,2031,60.089
medium_variant,931,2032,58.245
medium_variant,931,2033,56.477
medium_variant,931,2034,54.777
medium_variant,931,2035,53.139
medium_variant,931,2036,51.56
medium_variant,931,2037,50.045
medium_variant,931,2038,48.594
medium_variant,931,2039,47.201
medium_variant,931,2040,45.862
medium_variant,931,2041,44.573
medium_variant,931,2042,43.332
medium_variant,931,2043,42.136
medium_variant,931,2044,40.98
medium_variant,931,2045,39.863
medium_variant,931,2046,38.787
medium_variant,931,2047,37.751
medium_variant,931,2048,36.756
medium_variant,931,2049,35.798
medium_variant,931,2050,34.874
medium_variant,931,2051,33.983
medium_variant,931,2052,33.122
medium_variant,931,2053,32.287
medium_variant,931,2054,31.477
medium_variant,931,2055,30.69
medium_variant,931,2056,29.924
medium_variant,931,2057,29.182
medium_variant,931,2058,28.464
medium_variant,931,2059,27.767
medium_variant,931,2060,27.092
medium_variant,931,2061,26.438
medium_variant,931,2062,25.805
medium_variant,931,2063,25.192
medium_variant,931,2064,24.599
medium_variant,931,2065,24.025
medium_variant,931,2066,23.47
medium_variant,931,2067,22.935
medium_variant,931,2068,22.419
medium_variant,931,2069,21.921
medium_variant,931,2070,21.438
medium_variant,931,2071,20.97
medium_variant,931,2072,20.515
medium_variant,931,2073,20.073
medium_variant,931,2074,19.641
medium_variant,931,2075,19.22
medium_variant,931,2076,18.809
medium_variant,931,2077,18.411
medium_variant,931,2078,18.024
medium_variant,931,2079,17.647
medium_variant,931,2080,17.28
medium_variant,931,2081,16.922
medium_variant,931,2082,16.571
medium_variant,931,2083,16.226
medium_variant,931,2084,15.888
medium_variant,931,2085,15.556
medium_variant,931,2086,15.231
medium_variant,931,2087,14.915
medium_variant,931,2088,14.607
medium_variant,931,2089,14.308
medium_variant,931,2090,14.016
medium_variant,931,2091,13.732
medium_variant,931,2092,13.454
medium_variant,931,2093,13.182
medium_variant,931,2094,12.915
medium_variant,931,2095,12.653
medium_variant,931,2096,12.396
medium_variant,931,2097,12.143
medium_variant,931,2098,11.894
medium_variant,931,2099,11.65
