variant,continent,year,potentialsupport1664_65
estimates,935,1950,14.662
estimates,935,1951,14.558
estimates,935,1952,14.534
estimates,935,1953,14.599
estimates,935,1954,14.76
estimates,935,1955,15.015
estimates,935,1956,14.954
estimates,935,1957,14.989
estimates,935,1958,15.111
estimates,935,1959,15.31
estimates,935,1960,15.582
estimates,935,1961,15.431
estimates,935,1962,15.36
estimates,935,1963,15.367
estimates,935,1964,15.453
estimates,935,1965,15.618
estimates,935,1966,15.361
estimates,935,1967,15.178
estimates,935,1968,15.05
estimates,935,1969,14.956
estimates,935,1970,14.883
estimates,935,1971,14.66
estimates,935,1972,14.474
estimates,935,1973,14.322
estimates,935,1974,14.206
estimates,935,1975,14.12
estimates,935,1976,13.932
estimates,935,1977,13.784
estimates,935,1978,13.672
estimates,935,1979,13.592
estimates,935,1980,13.541
estimates,935,1981,13.422
estimates,935,1982,13.34
estimates,935,1983,13.286
estimates,935,1984,13.251
estimates,935,1985,13.229
estimates,935,1986,13.14
estimates,935,1987,13.074
estimates,935,1988,13.015
estimates,935,1989,12.946
estimates,935,1990,12.856
estimates,935,1991,12.676
estimates,935,1992,12.496
estimates,935,1993,12.318
estimates,935,1994,12.146
estimates,935,1995,11.979
estimates,935,1996,11.765
estimates,935,1997,11.57
estimates,935,1998,11.394
estimates,935,1999,11.238
estimates,935,2000,11.101
estimates,935,2001,10.937
estimates,935,2002,10.798
estimates,935,2003,10.682
estimates,935,2004,10.585
estimates,935,2005,10.502
estimates,935,2006,10.395
estimates,935,2007,10.299
estimates,935,2008,10.204
estimates,935,2009,10.099
estimates,935,2010,9.978
estimates,935,2011,9.823
estimates,935,2012,9.663
estimates,935,2013,9.487
estimates,935,2014,9.281
estimates,935,2015,9.04
medium_variant,935,2015,9.04
medium_variant,935,2016,8.755
medium_variant,935,2017,8.454
medium_variant,935,2018,8.158
medium_variant,935,2019,7.886
medium_variant,935,2020,7.644
medium_variant,935,2021,7.418
medium_variant,935,2022,7.218
medium_variant,935,2023,7.031
medium_variant,935,2024,6.846
medium_variant,935,2025,6.656
medium_variant,935,2026,6.462
medium_variant,935,2027,6.272
medium_variant,935,2028,6.084
medium_variant,935,2029,5.896
medium_variant,935,2030,5.706
medium_variant,935,2031,5.52
medium_variant,935,2032,5.338
medium_variant,935,2033,5.162
medium_variant,935,2034,4.996
medium_variant,935,2035,4.84
medium_variant,935,2036,4.697
medium_variant,935,2037,4.564
medium_variant,935,2038,4.441
medium_variant,935,2039,4.331
medium_variant,935,2040,4.233
medium_variant,935,2041,4.149
medium_variant,935,2042,4.076
medium_variant,935,2043,4.009
medium_variant,935,2044,3.943
medium_variant,935,2045,3.874
medium_variant,935,2046,3.807
medium_variant,935,2047,3.739
medium_variant,935,2048,3.67
medium_variant,935,2049,3.596
medium_variant,935,2050,3.516
medium_variant,935,2051,3.435
medium_variant,935,2052,3.35
medium_variant,935,2053,3.265
medium_variant,935,2054,3.186
medium_variant,935,2055,3.114
medium_variant,935,2056,3.053
medium_variant,935,2057,2.999
medium_variant,935,2058,2.95
medium_variant,935,2059,2.907
medium_variant,935,2060,2.868
medium_variant,935,2061,2.837
medium_variant,935,2062,2.81
medium_variant,935,2063,2.785
medium_variant,935,2064,2.763
medium_variant,935,2065,2.74
medium_variant,935,2066,2.721
medium_variant,935,2067,2.7
medium_variant,935,2068,2.68
medium_variant,935,2069,2.658
medium_variant,935,2070,2.636
medium_variant,935,2071,2.616
medium_variant,935,2072,2.595
medium_variant,935,2073,2.573
medium_variant,935,2074,2.549
medium_variant,935,2075,2.523
medium_variant,935,2076,2.5
medium_variant,935,2077,2.476
medium_variant,935,2078,2.45
medium_variant,935,2079,2.424
medium_variant,935,2080,2.397
medium_variant,935,2081,2.376
medium_variant,935,2082,2.353
medium_variant,935,2083,2.33
medium_variant,935,2084,2.308
medium_variant,935,2085,2.288
medium_variant,935,2086,2.271
medium_variant,935,2087,2.255
medium_variant,935,2088,2.239
medium_variant,935,2089,2.223
medium_variant,935,2090,2.207
medium_variant,935,2091,2.195
medium_variant,935,2092,2.183
medium_variant,935,2093,2.17
medium_variant,935,2094,2.155
medium_variant,935,2095,2.14
medium_variant,935,2096,2.131
medium_variant,935,2097,2.12
medium_variant,935,2098,2.107
medium_variant,935,2099,2.093
medium_variant,935,2100,2.078
high_variant,935,2015,9.04042631455454
low_variant,935,2015,9.04042631455454
constant_fertility,935,2015,9.04042631455454
instant_replacement,935,2015,9.04042631455454
zero_migration,935,2015,9.04042631455454
constant_mortality,935,2015,9.04042631455454
no_change,935,2015,9.04042631455454
high_variant,935,2020,7.64401677957649
low_variant,935,2020,7.64401677957649
constant_fertility,935,2020,7.64401677957649
instant_replacement,935,2020,7.64401566771802
zero_migration,935,2020,7.65378396242536
constant_mortality,935,2020,7.73518931612664
no_change,935,2020,7.73518952685449
high_variant,935,2025,6.65572534379192
low_variant,935,2025,6.65572534379192
constant_fertility,935,2025,6.65572534379192
instant_replacement,935,2025,6.65572222264039
zero_migration,935,2025,6.67147211281233
constant_mortality,935,2025,6.86328101785632
no_change,935,2025,6.86328172503828
high_variant,935,2030,5.70607562186889
low_variant,935,2030,5.70607562186889
constant_fertility,935,2030,5.70607562186889
instant_replacement,935,2030,5.70607233193634
zero_migration,935,2030,5.72590247111791
constant_mortality,935,2030,6.02609980681844
no_change,935,2030,6.02610093528493
high_variant,935,2035,4.90088278447228
low_variant,935,2035,4.7791590836634
constant_fertility,935,2035,4.86017776446908
instant_replacement,935,2035,4.85723546053987
zero_migration,935,2035,4.86096158215572
constant_mortality,935,2035,5.24619352133939
no_change,935,2035,5.2678609378501
high_variant,935,2040,4.36807882932176
low_variant,935,2040,4.09696450567157
constant_fertility,935,2040,4.28558123146175
instant_replacement,935,2040,4.26639283478874
zero_migration,935,2040,4.25272175572918
constant_mortality,935,2040,4.7257397470817
no_change,935,2040,4.78446725775835
high_variant,935,2045,4.09030082485363
low_variant,935,2045,3.65761335243393
