variant,continent,year,potentialsupport1664_65
estimates,905,1950,7.86
estimates,905,1951,7.66
estimates,905,1952,7.486
estimates,905,1953,7.327
estimates,905,1954,7.18
estimates,905,1955,7.043
estimates,905,1956,6.924
estimates,905,1957,6.827
estimates,905,1958,6.749
estimates,905,1959,6.69
estimates,905,1960,6.647
estimates,905,1961,6.57
estimates,905,1962,6.515
estimates,905,1963,6.477
estimates,905,1964,6.458
estimates,905,1965,6.459
estimates,905,1966,6.453
estimates,905,1967,6.463
estimates,905,1968,6.478
estimates,905,1969,6.484
estimates,905,1970,6.478
estimates,905,1971,6.447
estimates,905,1972,6.409
estimates,905,1973,6.364
estimates,905,1974,6.319
estimates,905,1975,6.28
estimates,905,1976,6.207
estimates,905,1977,6.139
estimates,905,1978,6.07
estimates,905,1979,5.997
estimates,905,1980,5.923
estimates,905,1981,5.866
estimates,905,1982,5.813
estimates,905,1983,5.759
estimates,905,1984,5.699
estimates,905,1985,5.635
estimates,905,1986,5.569
estimates,905,1987,5.503
estimates,905,1988,5.439
estimates,905,1989,5.382
estimates,905,1990,5.334
estimates,905,1991,5.296
estimates,905,1992,5.269
estimates,905,1993,5.253
estimates,905,1994,5.249
estimates,905,1995,5.258
estimates,905,1996,5.274
estimates,905,1997,5.3
estimates,905,1998,5.333
estimates,905,1999,5.367
estimates,905,2000,5.398
estimates,905,2001,5.418
estimates,905,2002,5.433
estimates,905,2003,5.442
estimates,905,2004,5.445
estimates,905,2005,5.44
estimates,905,2006,5.407
estimates,905,2007,5.366
estimates,905,2008,5.312
estimates,905,2009,5.236
estimates,905,2010,5.139
estimates,905,2011,5.024
estimates,905,2012,4.89
estimates,905,2013,4.744
estimates,905,2014,4.596
estimates,905,2015,4.452
medium_variant,905,2015,4.452
medium_variant,905,2016,4.323
medium_variant,905,2017,4.201
medium_variant,905,2018,4.081
medium_variant,905,2019,3.962
medium_variant,905,2020,3.841
medium_variant,905,2021,3.726
medium_variant,905,2022,3.613
medium_variant,905,2023,3.502
medium_variant,905,2024,3.396
medium_variant,905,2025,3.295
medium_variant,905,2026,3.206
medium_variant,905,2027,3.12
medium_variant,905,2028,3.041
medium_variant,905,2029,2.972
medium_variant,905,2030,2.915
medium_variant,905,2031,2.877
medium_variant,905,2032,2.849
medium_variant,905,2033,2.827
medium_variant,905,2034,2.807
medium_variant,905,2035,2.785
medium_variant,905,2036,2.772
medium_variant,905,2037,2.756
medium_variant,905,2038,2.741
medium_variant,905,2039,2.727
medium_variant,905,2040,2.718
medium_variant,905,2041,2.721
medium_variant,905,2042,2.725
medium_variant,905,2043,2.729
medium_variant,905,2044,2.729
medium_variant,905,2045,2.723
medium_variant,905,2046,2.719
medium_variant,905,2047,2.707
medium_variant,905,2048,2.69
medium_variant,905,2049,2.672
medium_variant,905,2050,2.655
medium_variant,905,2051,2.646
medium_variant,905,2052,2.636
medium_variant,905,2053,2.624
medium_variant,905,2054,2.608
medium_variant,905,2055,2.587
medium_variant,905,2056,2.568
medium_variant,905,2057,2.542
medium_variant,905,2058,2.513
medium_variant,905,2059,2.486
medium_variant,905,2060,2.464
medium_variant,905,2061,2.453
medium_variant,905,2062,2.444
medium_variant,905,2063,2.436
medium_variant,905,2064,2.426
medium_variant,905,2065,2.413
medium_variant,905,2066,2.408
medium_variant,905,2067,2.399
medium_variant,905,2068,2.387
